capture,actorId,instanceName,baseClass,classPath,zoneTag,x,y,z,rotation,hadInstantiate,hadAddActor
combat_autoattack.pcapng,0x50e0eb97,slugLesserS_fst0Fld05_Gr@09A00,SlugLesserStandard,/Chara/Npc/Monster/Slug/SlugLesserStandard,fst0Fld05,894.006,0.980,1113.847,-1.1776,true,true
combat_autoattack.pcapng,0x50e0ebac,monkeyLesse_fst0Fld05_54@09A00,MonkeyLesserStandard,/Chara/Npc/Monster/Monkey/MonkeyLesserStandard,fst0Fld05,840.624,0.500,1155.199,-2.1976,true,true
from_gridania_to_blackshroud.pcapng,0x50e0ea2b,taskBoard_fst0Twn01_0P@09B00,TaskBoard,/Chara/Npc/Object/TaskBoard,fst0Twn01,75.730,5.500,-1201.370,0.0000,true,true
from_gridania_to_blackshroud.pcapng,0x50e0ea2c,pplStd_fst0Twn01_0k@09B00,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Twn01,66.940,4.000,-1194.130,-2.3200,true,true
from_gridania_to_blackshroud.pcapng,0x50e0ea2e,pplStd_fst0Twn01_0E@09B00,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Twn01,98.770,3.590,-1213.670,2.4700,true,true
from_gridania_to_blackshroud.pcapng,0x50e0ea2f,pplStd_fst0Twn01_0y@09B00,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Twn01,53.550,-7.000,-1216.540,1.6100,true,true
from_gridania_to_blackshroud.pcapng,0x50e0ea33,pplStd_fst0Twn01_0z@09B00,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Twn01,53.820,-7.000,-1213.100,1.5700,true,true
from_gridania_to_blackshroud.pcapng,0x50e0ea34,pplStd_fst0Twn01_0t@09B00,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Twn01,162.790,-1.480,-1153.320,1.9400,true,true
from_gridania_to_blackshroud.pcapng,0x50e0ea35,pplStd_fst0Twn01_0o@09B00,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Twn01,175.380,-1.210,-1156.510,0.0000,true,true
from_gridania_to_blackshroud.pcapng,0x50e0ea38,pplStd_fst0Twn01_0v@09B00,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Twn01,58.080,3.800,-1183.330,2.9300,true,true
from_gridania_to_blackshroud.pcapng,0x50e0ea39,pplStd_fst0Twn01_0p@09B00,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Twn01,179.560,2.750,-1144.660,-2.9700,true,true
from_gridania_to_blackshroud.pcapng,0x50e0ea3a,pplStd_fst0Twn01_0v@09B00,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Twn01,192.070,-0.850,-1159.970,0.7800,true,true
from_gridania_to_blackshroud.pcapng,0x50e0ea3c,pplStd_fst0Twn01_0w@09B00,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Twn01,63.630,4.000,-1216.160,1.0700,true,true
from_gridania_to_blackshroud.pcapng,0x50e0ea6e,chocoboStop_fst0Twn01_0J@09B00,ChocoboStop,/Chara/Npc/Object/ChocoboStop,fst0Twn01,318.720,4.040,-992.740,2.7300,true,true
from_gridania_to_blackshroud.pcapng,0x50e0ea81,chocoboStop_fst0Fld01_0h@09600,ChocoboStop,/Chara/Npc/Object/ChocoboStop,fst0Fld01,314.363,5.674,-978.668,0.0148,true,true
gather_wood.pcapng,0x50e101d0,hareStd_fst0Fld01_MC@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,321.696,5.276,-507.510,1.0742,true,true
gather_wood.pcapng,0x50e101d3,hareStd_fst0Fld01_sU@09600,HareStandard,/Chara/Npc/Monster/Lemming/HareStandard,fst0Fld01,406.105,5.565,-393.051,2.3401,true,true
gridania_to_coerthas.pcapng,0x50e0f2cf,pplStd_fst0Twn01_0v@09B00,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Twn01,58.080,3.800,-1183.330,2.9300,true,true
gridania_to_coerthas.pcapng,0x50e0f2d1,pplStd_fst0Twn01_0b@09B00,PopulaceStandard,/Chara/Npc/Populace/PopulaceStandard,fst0Twn01,179.560,2.750,-1144.660,-2.9700,true,true
gridania_to_coerthas.pcapng,0x50e0f301,chocoboStop_fst0Twn01_0J@09B00,ChocoboStop,/Chara/Npc/Object/ChocoboStop,fst0Twn01,318.720,4.040,-992.740,2.7300,true,true
gridania_to_coerthas.pcapng,0x50e0f313,chocoboStop_fst0Fld01_0h@09600,ChocoboStop,/Chara/Npc/Object/ChocoboStop,fst0Fld01,316.305,4.783,-983.190,-0.2220,true,true
