row_index,capture,scenario_id,wire_index,lane_index,frame_index,outer_timestamp_or_seq_hex,subevent_index,subevent_offset,opcode,shape,row_index_in_packet,row_count,source_actor_id,target_actor_id,effect_or_animation_id,command_id,numeric_value,world_master_text_id,message_class,effect_id,text_param,row_ordinal_or_filter,header_control_value,presentation_flags
0,action_and_traits.pcapng,action-mechanic-combat-and-actions,53,0,22,4ae890ee3b010000,5,608,0x0139,X01,0,1,43723073,43723073,2080374882,12010,0,0,unknown,1,0,1,0,2064
1,action_and_traits.pcapng,action-mechanic-combat-and-actions,68,0,27,20ef90ee3b010000,5,608,0x0139,X01,0,1,43723073,43723073,2080374882,12010,0,0,unknown,1,0,1,0,2064
2,battle_mode_passive_mode.pcapng,action-mechanic-combat-and-actions,14,0,4,59a497ee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,2080374882,21001,0,0,unknown,1,0,1,0,2064
3,battle_mode_passive_mode.pcapng,action-mechanic-combat-and-actions,33,0,12,a8ac97ee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,2080374882,21002,0,0,unknown,1,0,1,0,2064
4,change_bodyarmor.pcapng,inventory-mechanic-bags-and-gear,59,0,20,c732a3ee3b010000,6,952,0x0139,X01,0,1,43723073,43723073,2080374882,12009,0,0,unknown,1,0,1,0,2064
5,change_helm.pcapng,inventory-mechanic-bags-and-gear,46,0,15,c265a2ee3b010000,6,952,0x0139,X01,0,1,43723073,43723073,2080374882,12009,0,0,unknown,1,0,1,0,2064
6,change_helm.pcapng,inventory-mechanic-bags-and-gear,85,0,29,d981a2ee3b010000,6,952,0x0139,X01,0,1,43723073,43723073,2080374882,12009,0,0,unknown,1,0,1,0,2064
7,change_to_botanist.pcapng,character-mechanic-attributes-and-class,84,0,22,c3a3e2ee3b010000,8,1096,0x0139,X01,0,1,43723073,43723073,2080374882,12009,0,0,unknown,1,0,1,0,2064
8,change_to_botanist.pcapng,character-mechanic-attributes-and-class,141,0,35,3cbbe2ee3b010000,7,992,0x0139,X01,0,1,43723073,43723073,2080374882,12009,0,0,unknown,1,0,1,0,2064
9,combat_autoattack.pcapng,action-mechanic-combat-and-actions,27,0,7,d71c98ee3b010000,1,40,0x0139,X01,0,1,43723073,43723073,2080374882,21001,0,0,unknown,1,0,1,0,2064
10,combat_autoattack.pcapng,action-mechanic-combat-and-actions,64,0,20,252d98ee3b010000,1,64,0x0139,X01,0,1,43723073,1154495952,419434496,22104,88,30301,normal_damage,134219268,4,1,0,2064
11,combat_autoattack.pcapng,action-mechanic-combat-and-actions,67,0,22,cf2e98ee3b010000,1,40,0x0139,X01,0,1,1154495952,1154495952,2080374882,21001,0,0,unknown,1,0,1,0,2064
12,combat_autoattack.pcapng,action-mechanic-combat-and-actions,86,0,31,3c3498ee3b010000,0,0,0x0139,X01,0,1,1154495952,43723073,285216768,23003,28,30301,normal_damage,134219276,1,1,0,2064
13,combat_autoattack.pcapng,action-mechanic-combat-and-actions,103,0,39,333e98ee3b010000,0,0,0x0139,X01,0,1,43723073,1154495952,419434496,22104,94,30301,normal_damage,134219268,1,1,0,2064
