comparison,scenario_id,command_id,source_actor_id,target_actor_id,normal_count,outcome_count,one_to_one_pair_capacity,candidate_pair_count,normal_values,outcome_values,normal_row_indices,outcome_row_indices,normal_csv_lines,outcome_csv_lines
critical_vs_normal,battlecraft-leve-accept-and-complete,22104,43722707,1158679894,2,1,1,2,19;18,25,304;341,314,306;343,316
critical_vs_normal,battlecraft-leve-accept-and-complete,22104,43722707,1158679897,3,1,1,3,21;21;21,22,408;432;435,438,410;434;437,440
critical_vs_normal,battlecraft-leve-accept-and-complete,22104,43723073,1158679843,2,1,1,2,66;66,83,277;285,273,279;287,275
critical_vs_normal,battlecraft-leve-accept-and-complete,22104,43723073,1158679894,3,1,1,3,45;44;47,57,308;336;340,317,310;338;342,319
critical_vs_normal,battlecraft-leve-accept-and-complete,23003,1158679892,43722707,1,2,1,2,66,85;94,187,181;218,189,183;220
critical_vs_normal,battlecraft-leve-accept-and-complete,23003,1158679898,43722707,2,1,1,2,59;58,89,431;437,404,433;439,406
critical_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679898,43722707,1,2,1,2,60,89;87,445,412;425,447,414;427
critical_vs_normal,job-quest-war-updates,22104,43722707,1163947558,4,2,2,8,172;155;175;151,269;296,574;575;580;581,571;572,576;577;582;583,573;574
critical_vs_normal,job-quest-war-updates,22104,43722707,1163947559,9,3,3,27,115;111;124;106;111;122;111;110;118,193;190;187,515;516;520;521;522;529;532;533;534,514;528;530,517;518;522;523;524;531;534;535;536,516;530;532
block_vs_normal,battlecraft-leve-accept-and-complete,23003,1158679889,43722707,1,2,1,2,56,0;60,96,106;157,98,108;159
block_vs_normal,battlecraft-leve-accept-and-complete,23003,1158679892,43722707,1,2,1,2,66,44;0,187,197;208,189,199;210
block_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679889,43722707,4,3,3,12,61;56;77;79,38;35;38,116;122;146;161,102;128;137,118;124;148;163,104;130;139
block_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679890,43722707,2,2,2,4,57;61,35;43,98;119,114;131,100;121,116;133
