comparison,scenario_id,command_id,source_actor_id,target_actor_id,normal_count,outcome_count,positive_outcome_count,excluded_zero_outcome_count,normal_mean,outcome_mean,outcome_to_normal_ratio,normal_values,outcome_values,normal_row_indices,outcome_row_indices,normal_csv_lines,outcome_csv_lines
critical_vs_normal,battlecraft-leve-accept-and-complete,22104,43722707,1158679894,2,1,1,0,18.500000,25.000000,1.351351,19;18,25,304;341,314,306;343,316
critical_vs_normal,battlecraft-leve-accept-and-complete,22104,43722707,1158679897,3,1,1,0,21.000000,22.000000,1.047619,21;21;21,22,408;432;435,438,410;434;437,440
critical_vs_normal,battlecraft-leve-accept-and-complete,22104,43723073,1158679843,2,1,1,0,66.000000,83.000000,1.257576,66;66,83,277;285,273,279;287,275
critical_vs_normal,battlecraft-leve-accept-and-complete,22104,43723073,1158679894,3,1,1,0,45.333333,57.000000,1.257353,45;44;47,57,308;336;340,317,310;338;342,319
critical_vs_normal,battlecraft-leve-accept-and-complete,23003,1158679892,43722707,1,2,2,0,66.000000,89.500000,1.356061,66,85;94,187,181;218,189,183;220
critical_vs_normal,battlecraft-leve-accept-and-complete,23003,1158679898,43722707,2,1,1,0,58.500000,89.000000,1.521368,59;58,89,431;437,404,433;439,406
critical_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679898,43722707,1,2,2,0,60.000000,88.000000,1.466667,60,89;87,445,412;425,447,414;427
critical_vs_normal,job-quest-war-updates,22104,43722707,1163947558,4,2,2,0,163.250000,282.500000,1.730475,172;155;175;151,269;296,574;575;580;581,571;572,576;577;582;583,573;574
critical_vs_normal,job-quest-war-updates,22104,43722707,1163947559,9,3,3,0,114.222222,190.000000,1.663424,115;111;124;106;111;122;111;110;118,193;190;187,515;516;520;521;522;529;532;533;534,514;528;530,517;518;522;523;524;531;534;535;536,516;530;532
block_vs_normal,battlecraft-leve-accept-and-complete,23003,1158679889,43722707,1,2,1,1,56.000000,60.000000,1.071429,56,0;60,96,106;157,98,108;159
block_vs_normal,battlecraft-leve-accept-and-complete,23003,1158679892,43722707,1,2,1,1,66.000000,44.000000,0.666667,66,44;0,187,197;208,189,199;210
block_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679889,43722707,4,3,3,0,68.250000,37.000000,0.542125,61;56;77;79,38;35;38,116;122;146;161,102;128;137,118;124;148;163,104;130;139
block_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679890,43722707,2,2,2,0,59.000000,39.000000,0.661017,57;61,35;43,98;119,114;131,100;121,116;133
block_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679895,43722707,5,2,1,1,52.400000,27.000000,0.515267,63;58;58;35;48,0;27,299;307;327;338;379,311;332,301;309;329;340;381,313;334
block_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679897,43722707,1,1,0,1,64.000000,,,64,0,407,415,409,417
block_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679898,43722707,1,1,1,0,60.000000,38.000000,0.633333,60,38,445,420,447,422
block_vs_normal,battlecraft-leve-accept-and-complete,23091,1158679895,43722707,2,1,1,0,86.500000,57.000000,0.658960,85;88,57,364;371,385,366;373,387
parry_vs_normal,battlecraft-leve-accept-and-complete,23003,1158679894,43723073,1,1,1,0,28.000000,33.000000,1.178571,28,33,335,321,337,323
parry_vs_normal,battlecraft-leve-accept-and-complete,23005,1158679892,43723073,1,1,1,0,71.000000,59.000000,0.830986,71,59,246,221,248,223
parry_vs_normal,job-quest-war-updates,23005,1163947556,43722707,3,1,1,0,91.666667,66.000000,0.720000,94;93;88,66,569;579;582,597,571;581;584,599
