capture,direction,lane_index,frame_index,subevent_index,subevent_offset,event_name,trigger_actor_id,owner_actor_id,owner_high_nibble
accept_leve.pcapng,c2s,0,11,2,104,talkDefault,43723073,1155006474,4
accept_local_leve.pcapng,c2s,0,6,2,104,talkDefault,43723073,1155006473,4
accept_quest.pcapng,c2s,0,5,2,104,talkDefault,43723073,1155006509,4
action_and_traits.pcapng,c2s,0,32,1,64,commandForced,43723073,2700095210,10
action_and_traits.pcapng,c2s,0,37,1,64,commandForced,43723073,2700095210,10
add_str.pcapng,c2s,0,6,1,64,commandJudgeMode,43723073,2700095205,10
battle_mode_passive_mode.pcapng,c2s,0,5,1,64,commandForced,43723073,2700104201,10
battle_mode_passive_mode.pcapng,c2s,0,11,2,120,commandForced,43723073,2700104202,10
buy_square_maple_shield.pcapng,c2s,0,6,2,104,talkDefault,43723073,1155006502,4
change_bodyarmor.pcapng,c2s,0,29,1,64,commandRequest,43723073,2700095209,10
change_helm.pcapng,c2s,0,21,1,64,commandRequest,43723073,2700095209,10
change_helm.pcapng,c2s,0,41,1,64,commandRequest,43723073,2700095209,10
change_to_botanist.pcapng,c2s,0,29,1,64,commandRequest,43723073,2700095209,10
change_to_botanist.pcapng,c2s,0,46,1,64,commandRequest,43723073,2700095209,10
checkbed.pcapng,c2s,0,5,2,104,talkDefault,43723073,1201668108,4
combat_autoattack.pcapng,c2s,0,7,1,64,commandForced,43723073,2700104201,10
combat_autoattack.pcapng,c2s,0,100,2,120,commandForced,43723073,2700104202,10
combat_skills.pcapng,c2s,0,6,1,64,commandForced,43723073,2700104201,10
combat_skills.pcapng,c2s,0,17,2,128,commandDefault,43723073,2700110460,10
combat_skills.pcapng,c2s,0,22,0,0,commandDefault,43723073,2700110464,10
combat_skills.pcapng,c2s,0,29,1,64,commandDefault,43723073,2700110390,10
combat_skills.pcapng,c2s,0,36,2,120,commandDefault,43723073,2700110391,10
combat_skills.pcapng,c2s,0,44,0,0,commandDefault,43723073,2700110398,10
combat_skills.pcapng,c2s,0,63,2,120,commandForced,43723073,2700104202,10
emote_dance.pcapng,c2s,0,21,1,64,commandRequest,43723073,2700107302,10
emote_kneel.pcapng,c2s,0,14,1,64,commandRequest,43723073,2700107302,10
from_gridania_to_blackshroud.pcapng,c2s,0,103,3,184,caution,43723073,1155006511,4
from_gridania_to_blackshroud.pcapng,c2s,0,109,1,64,exit,43723073,1155006511,4
gather_wood.pcapng,c2s,0,8,1,64,commandRequest,43723073,2700107501,10
gather_wood.pcapng,c2s,0,10,1,64,commandJudgeMode,43723073,2700105203,10
gear_changesoul.pcapng,c2s,0,19,0,0,commandRequest,43723073,2700095217,10
gear_changeweapon.pcapng,c2s,0,16,3,192,commandRequest,43723073,2700095209,10
gridania_to_coerthas.pcapng,c2s,0,68,1,64,caution,43723073,1155006511,4
gridania_to_coerthas.pcapng,c2s,0,74,1,64,exit,43723073,1155006511,4
gridania_to_coerthas.pcapng,c2s,0,222,1,64,commandForced,43723073,2700095214,10
gridania_to_coerthas.pcapng,c2s,0,1262,2,120,regionChange,43723073,1153433618,4
gridania_to_coerthas.pcapng,c2s,0,1268,0,0,commandRequest,43723073,2700095215,10
gridania_to_coerthas.pcapng,c2s,0,1293,2,120,commandRequest,43723073,2700095215,10
harvest.pcapng,c2s,0,7,1,64,commandRequest,43723073,2700107501,10
harvest.pcapng,c2s,0,9,1,64,commandJudgeMode,43723073,2700105207,10
harvest.pcapng,c2s,0,45,1,64,commandRequest,43723073,2700107501,10
harvest.pcapng,c2s,0,47,1,64,commandJudgeMode,43723073,2700105207,10
invite_join_party.pcapng,c2s,0,24,0,0,commandRequest,43723073,2700107403,10
local_leve_complete.pcapng,c2s,0,5,2,104,talkDefault,43723073,1152385029,4
local_leve_complete.pcapng,c2s,0,43,1,64,commandJudgeMode,43723073,2700105201,10
local_leve_complete.pcapng,c2s,0,458,2,104,talkDefault,43723073,1152385029,4
mount_unmount_chocobo.pcapng,c2s,0,5,1,64,commandForced,43723073,2700095214,10
mount_unmount_chocobo.pcapng,c2s,0,23,1,64,commandRequest,43723073,2700095215,10
move_out_of_room.pcapng,c2s,0,8,2,104,talkDefault,43723073,1201668103,4
party_battle_leve.pcapng,c2s,0,6,2,104,talkDefault,43723073,1158676492,4
party_battle_leve.pcapng,c2s,0,221,1,64,commandForced,43723073,2700104201,10
party_battle_leve.pcapng,c2s,0,243,1,64,commandDefault,43723073,2700110460,10
party_battle_leve.pcapng,c2s,0,255,1,64,commandDefault,43723073,2700110390,10
party_battle_leve.pcapng,c2s,0,300,1,64,commandDefault,43723073,2700110390,10
party_battle_leve.pcapng,c2s,0,307,1,64,commandDefault,43723073,2700110464,10
party_battle_leve.pcapng,c2s,0,312,0,0,commandDefault,43723073,2700110391,10
party_battle_leve.pcapng,c2s,0,332,0,0,commandDefault,43723073,2700110390,10
party_battle_leve.pcapng,c2s,0,367,2,120,commandForced,43723073,2700104202,10
party_battle_leve.pcapng,c2s,0,385,1,64,commandDefault,43723073,2700110546,10
party_battle_leve.pcapng,c2s,0,527,0,0,commandForced,43723073,2700104201,10
party_battle_leve.pcapng,c2s,0,909,0,0,commandDefault,43723073,2700110460,10
party_battle_leve.pcapng,c2s,0,913,0,0,commandDefault,43723073,2700110390,10
party_battle_leve.pcapng,c2s,0,916,0,0,commandDefault,43723073,2700110391,10
party_battle_leve.pcapng,c2s,0,948,2,120,commandDefault,43723073,2700110464,10
party_battle_leve.pcapng,c2s,0,952,0,0,commandDefault,43723073,2700110398,10
party_battle_leve.pcapng,c2s,0,964,1,64,commandDefault,43723073,2700110390,10
party_battle_leve.pcapng,c2s,0,997,1,64,commandDefault,43723073,2700110391,10
party_battle_leve.pcapng,c2s,0,1035,0,0,commandForced,43723073,2700104202,10
party_battle_leve.pcapng,c2s,0,1045,1,64,commandForced,43723073,2700104201,10
party_battle_leve.pcapng,c2s,0,1062,1,64,commandForced,43723073,2700104202,10
party_battle_leve.pcapng,c2s,0,1075,2,104,commandDefault,43723073,2700110300,10
party_battle_leve.pcapng,c2s,0,1111,1,64,commandForced,43723073,2700104201,10
party_battle_leve.pcapng,c2s,0,1120,1,64,commandForced,43723073,2700104202,10
party_battle_leve.pcapng,c2s,0,1168,1,64,commandForced,43723073,2700104201,10
party_battle_leve.pcapng,c2s,0,1197,0,0,commandDefault,43723073,2700110460,10
party_battle_leve.pcapng,c2s,0,1204,1,64,commandDefault,43723073,2700110390,10
party_battle_leve.pcapng,c2s,0,1209,0,0,commandDefault,43723073,2700110464,10
party_battle_leve.pcapng,c2s,0,1216,2,128,commandDefault,43723073,2700110464,10
party_battle_leve.pcapng,c2s,0,1220,0,0,commandDefault,43723073,2700110391,10
party_battle_leve.pcapng,c2s,0,1240,2,120,commandForced,43723073,2700104202,10
party_battle_leve.pcapng,c2s,0,1272,1,64,commandForced,43723073,2700104201,10
party_battle_leve.pcapng,c2s,0,1292,1,64,commandDefault,43723073,2700110390,10
party_battle_leve.pcapng,c2s,0,1304,1,64,commandDefault,43723073,2700110382,10
party_battle_leve.pcapng,c2s,0,1307,1,64,commandDefault,43723073,2700110391,10
party_battle_leve.pcapng,c2s,0,1314,0,0,commandDefault,43723073,2700110398,10
party_battle_leve.pcapng,c2s,0,1398,1,64,commandDefault,43723073,2700110393,10
party_battle_leve.pcapng,c2s,0,1410,1,64,commandDefault,43723073,2700110390,10
party_battle_leve.pcapng,c2s,0,1418,1,64,commandDefault,43723073,2700110391,10
party_battle_leve.pcapng,c2s,0,1430,2,120,commandDefault,43723073,2700110460,10
party_battle_leve.pcapng,c2s,0,1434,0,0,commandDefault,43723073,2700110464,10
party_battle_leve.pcapng,c2s,0,1482,2,120,commandForced,43723073,2700104202,10
party_battle_leve.pcapng,c2s,0,1498,1,64,commandForced,43723073,2700104201,10
party_battle_leve.pcapng,c2s,0,1531,1,64,commandDefault,43723073,2700110390,10
party_battle_leve.pcapng,c2s,0,1537,0,0,commandDefault,43723073,2700110391,10
party_battle_leve.pcapng,c2s,0,1566,1,64,commandDefault,43723073,2700110390,10
party_battle_leve.pcapng,c2s,0,1588,0,0,commandDefault,43723073,2700110393,10
party_battle_leve.pcapng,c2s,0,1600,1,64,commandDefault,43723073,2700110300,10
party_battle_leve.pcapng,c2s,0,1658,1,64,commandDefault,43723073,2700110393,10
party_battle_leve.pcapng,c2s,0,1674,1,40,commandDefault,43723073,2700110546,10
party_battle_leve.pcapng,c2s,0,1682,1,64,commandDefault,43723073,2700110382,10
party_battle_leve.pcapng,c2s,0,1692,1,64,commandDefault,43723073,2700110390,10
party_battle_leve.pcapng,c2s,0,1702,1,64,commandForced,43723073,2700104202,10
party_battle_leve.pcapng,c2s,0,1763,1,40,talkDefault,43723073,1158679899,4
party_battle_leve.pcapng,c2s,0,1785,3,184,talkDefault,43723073,1158679899,4
quest_journal.pcapng,c2s,0,21,2,120,commandRequest,43723073,2700107411,10
quest_journal.pcapng,c2s,0,30,1,64,commandRequest,43723073,2700107411,10
quest_update.pcapng,c2s,0,6,2,104,talkDefault,43723073,1181745282,4
repair_items.pcapng,c2s,0,5,3,160,talkDefault,43723073,1152909322,4
return_to_inn.pcapng,c2s,0,8,1,64,commandContent,43723073,2700107420,10
sell_item.pcapng,c2s,0,7,2,104,talkDefault,43723073,1155006502,4
small_talk_louisoix.pcapng,c2s,0,8,2,104,talkDefault,43723073,1181745282,4
switch_to_weaver.pcapng,c2s,0,26,0,0,commandRequest,43723073,2700095209,10
teleport_to_camp_nine_ivies.pcapng,c2s,0,12,2,120,commandContent,43723073,2700107420,10
teleport_to_camp_tranquil.pcapng,c2s,0,9,1,64,commandContent,43723073,2700107420,10
teleport_to_gridania.pcapng,c2s,0,12,1,64,commandContent,43723073,2700107420,10
war_quest_update1.pcapng,c2s,0,5,2,104,talkDefault,43723073,1163919401,4
war_quest_update2.pcapng,c2s,0,35,2,120,commandForced,43723073,2700104201,10
war_quest_update2.pcapng,c2s,0,61,0,0,commandForced,43723073,2700104202,10
war_quest_update2.pcapng,c2s,0,67,1,64,commandForced,43723073,2700104201,10
war_quest_update2.pcapng,c2s,0,101,3,144,commandDefault,43723073,2700110300,10
war_quest_update2.pcapng,c2s,0,111,3,184,commandForced,43723073,2700104202,10
war_quest_update2.pcapng,c2s,0,170,0,0,noticeEvent,43723073,1163947554,4
war_quest_update2.pcapng,c2s,0,181,0,0,noticeEvent,43723073,1163947554,4
war_quest_update2.pcapng,c2s,0,181,1,216,caution,43723073,1163947555,4
war_quest_update2.pcapng,c2s,0,181,2,432,exit,43723073,1163947555,4
war_quest_update3.pcapng,c2s,0,7,2,104,talkDefault,43723073,1163919401,4
