capture,direction,lane_index,frame_index,subevent_index,subevent_offset,opcode,slot,actor_id,actor_high_nibble,record_stride,field_at_record_plus_8,event_role_match,matching_event_names
combat_autoattack.pcapng,s2c,0,47,9,1016,0x0183,0,1154500318,4,12,1,no,
combat_autoattack.pcapng,s2c,0,123,9,1016,0x0183,0,1154500317,4,12,1,no,
combat_autoattack.pcapng,s2c,0,123,27,2936,0x0183,0,1154482319,4,12,1,no,
combat_autoattack.pcapng,s2c,0,124,7,904,0x0183,0,1154500318,4,12,1,no,
combat_autoattack.pcapng,s2c,0,124,25,2824,0x0183,0,1154486387,4,12,1,no,
from_gridania_to_blackshroud.pcapng,s2c,0,237,16,1496,0x017F,0,43723073,0,48,301,no,
from_gridania_to_blackshroud.pcapng,s2c,0,237,16,1496,0x017F,1,3768972602,14,48,4294967295,no,
from_gridania_to_blackshroud.pcapng,s2c,0,237,20,2208,0x017F,0,43723073,0,48,301,no,
gather_wood.pcapng,s2c,0,196,6,736,0x0183,0,1152388206,4,12,1,no,
gather_wood.pcapng,s2c,0,210,9,1016,0x0183,0,1152386901,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,173,4,296,0x017F,0,43723073,0,48,301,no,
gridania_to_coerthas.pcapng,s2c,0,173,4,296,0x017F,1,3768972602,14,48,4294967295,no,
gridania_to_coerthas.pcapng,s2c,0,173,8,1008,0x017F,0,43723073,0,48,301,no,
gridania_to_coerthas.pcapng,s2c,0,242,9,1016,0x0183,0,1152388431,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,250,9,1016,0x0183,0,1152388230,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,255,27,2832,0x0183,0,1152388429,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,277,6,736,0x0183,0,1152388070,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,277,24,2656,0x0183,0,1152388079,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,281,9,1016,0x0183,0,1152388084,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,290,9,1016,0x0183,0,1152388078,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,290,27,2936,0x0183,0,1152386309,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,295,9,1016,0x0183,0,1152388066,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,298,9,1016,0x0183,0,1152385239,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,305,9,1016,0x0183,0,1152388077,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,316,9,1016,0x0183,0,1152387312,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,323,9,1016,0x0183,0,1152385144,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,330,9,1016,0x0183,0,1152386308,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,334,9,1016,0x0183,0,1152385168,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,355,27,2832,0x0183,0,1152388224,4,12,1,no,
gridania_to_coerthas.pcapng,s2c,0,356,6,736,0x0183,0,1152388223,4,12,1,no,
