capture,direction,lane_index,frame_index,subevent_index,subevent_offset,opcode,subpacket_size,application_length,transport_source_actor_id,field_u64_0,field_u64_8,group_type_candidate,member_count
combat_autoattack.pcapng,s2c,0,1,0,0,0x017A,176,144,43723073,2774217370460229305,173508149446676,,
combat_autoattack.pcapng,s2c,0,19,0,0,0x0187,96,64,43723073,2774217370460235254,10002,,
combat_autoattack.pcapng,s2c,0,19,1,96,0x0187,96,64,43723073,2774217370460235254,10002,,
combat_autoattack.pcapng,s2c,0,47,7,800,0x017C,152,120,43723073,154,23316767392801,10002,
combat_autoattack.pcapng,s2c,0,47,8,952,0x017D,64,32,43723073,154,23316767392801,,
combat_autoattack.pcapng,s2c,0,47,9,1016,0x0183,152,120,43723073,154,23316767392801,,1
combat_autoattack.pcapng,s2c,0,47,10,1168,0x017E,56,24,43723073,154,23316767392801,,
combat_autoattack.pcapng,s2c,0,50,1,64,0x017A,176,144,43723073,2774217370460237796,173508149446676,,
combat_autoattack.pcapng,s2c,0,83,0,0,0x018B,88,56,43723073,9223372036862634412,18446744069458307393,,
combat_autoattack.pcapng,s2c,0,123,7,800,0x017C,152,120,43723073,154,23316788114810,10002,
combat_autoattack.pcapng,s2c,0,123,8,952,0x017D,64,32,43723073,154,23316788114810,,
combat_autoattack.pcapng,s2c,0,123,9,1016,0x0183,152,120,43723073,154,23316788114810,,1
combat_autoattack.pcapng,s2c,0,123,10,1168,0x017E,56,24,43723073,154,23316788114810,,
combat_autoattack.pcapng,s2c,0,123,25,2720,0x017C,152,120,43723073,154,23316788115278,10002,
combat_autoattack.pcapng,s2c,0,123,26,2872,0x017D,64,32,43723073,154,23316788115278,,
combat_autoattack.pcapng,s2c,0,123,27,2936,0x0183,152,120,43723073,154,23316788115278,,1
combat_autoattack.pcapng,s2c,0,123,28,3088,0x017E,56,24,43723073,154,23316788115278,,
combat_autoattack.pcapng,s2c,0,124,5,688,0x017C,152,120,43723073,154,23316788115722,10002,
combat_autoattack.pcapng,s2c,0,124,6,840,0x017D,64,32,43723073,154,23316788115722,,
combat_autoattack.pcapng,s2c,0,124,7,904,0x0183,152,120,43723073,154,23316788115722,,1
combat_autoattack.pcapng,s2c,0,124,8,1056,0x017E,56,24,43723073,154,23316788115722,,
combat_autoattack.pcapng,s2c,0,124,23,2608,0x017C,152,120,43723073,154,23316788116164,10002,
combat_autoattack.pcapng,s2c,0,124,24,2760,0x017D,64,32,43723073,154,23316788116164,,
combat_autoattack.pcapng,s2c,0,124,25,2824,0x0183,152,120,43723073,154,23316788116164,,1
combat_autoattack.pcapng,s2c,0,124,26,2976,0x017E,56,24,43723073,154,23316788116164,,
combat_autoattack.pcapng,s2c,0,127,1,64,0x017A,176,144,43723073,2774217370460237795,173508149446676,,
combat_autoattack.pcapng,s2c,0,134,27,3576,0x017A,176,144,43723073,2774217370460226635,173508149446676,,
combat_autoattack.pcapng,s2c,0,134,28,3752,0x017A,176,144,43723073,2774217370460237796,173508149446676,,
combat_autoattack.pcapng,s2c,0,135,0,0,0x017A,176,144,43723073,2774217370460229305,173508149446676,,
combat_skills.pcapng,s2c,0,8,1,64,0x018B,88,56,43723073,9223372036862634412,18446744069458307393,,
combat_skills.pcapng,s2c,0,26,0,0,0x0187,96,64,43723073,2774217370460235259,10002,,
combat_skills.pcapng,s2c,0,26,1,96,0x0187,96,64,43723073,2774217370460235259,10002,,
from_gridania_to_blackshroud.pcapng,s2c,0,15,0,0,0x018B,88,56,43723073,9223372036862634412,18446744069458307393,,
from_gridania_to_blackshroud.pcapng,s2c,0,18,0,0,0x018B,88,56,43723073,9223372036862634412,18446744069458307393,,
from_gridania_to_blackshroud.pcapng,s2c,0,35,0,0,0x018B,88,56,43723073,9223372036862634412,18446744069458307393,,
from_gridania_to_blackshroud.pcapng,s2c,0,56,0,0,0x018B,88,56,43723073,9223372036862634412,18446744069458307393,,
from_gridania_to_blackshroud.pcapng,s2c,0,82,0,0,0x018B,88,56,43723073,9223372036862634412,18446744069458307393,,
from_gridania_to_blackshroud.pcapng,s2c,0,96,0,0,0x018B,88,56,43723073,9223372036862634412,18446744069458307393,,
from_gridania_to_blackshroud.pcapng,s2c,0,106,0,0,0x018B,88,56,43723073,9223372036862634412,18446744069458307393,,
from_gridania_to_blackshroud.pcapng,s2c,0,117,1,696,0x018B,88,56,43723073,9223372036862634412,18446744069458307393,,
from_gridania_to_blackshroud.pcapng,s2c,0,129,0,0,0x018B,88,56,43723073,9223372036862634412,18446744069458307393,,
from_gridania_to_blackshroud.pcapng,s2c,0,147,0,0,0x018B,88,56,43723073,9223372036862634412,18446744069458307393,,
from_gridania_to_blackshroud.pcapng,s2c,0,163,0,0,0x018B,88,56,43723073,9223372036862634412,18446744069458307393,,
from_gridania_to_blackshroud.pcapng,s2c,0,174,0,0,0x018B,88,56,43723073,9223372036862634412,18446744069458307393,,
