class_jp,class_en,section_jp,section_en,name_jp,name_en_client,client_command_id,level,tp,cast,recast_time,effect_duration,equip_condition_jp,equip_condition_en,description_jp,source
剣術,Gladiator,ジョブ専用アクション,job-specific action,かばう,Cover,27146,30,-,-,60秒,15秒,ジョブ専用,job-exclusive,対象のパーティメンバーへの物理攻撃を肩代わりする。 効果発動条件：対象が8m以内に存在,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,ジョブ専用アクション,job-specific action,ディヴァインヴェール,Divine Veil,27147,35,-,-,60秒,20秒,ジョブ専用,job-exclusive,効果中、物理攻撃を必ずブロックし、かつパーティメンバーからケアル、およびケアルラを受けた際に、周囲のパーティメンバーに「継続してＨＰ回復」効果をかける。 「継続してHP回復」効果が白魔法「リジェネ」と同時にかかる,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,ジョブ専用アクション,job-specific action,ホーリーサカー,Holy Succor,27149,40,-,-,10秒,,ジョブ専用,job-exclusive,対象のＨＰを回復。他人を回復した場合はその50%分、自身にもＨＰ回復効果を得る。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,ジョブ専用アクション,job-specific action,スピリッツウィズイン,Spirits Within,27159,45,3000,-,60秒,,ジョブ専用,job-exclusive,対象に近接攻撃。命中高い。自身の残りＨＰが多いほどダメージアップ コンボ条件：ファランクス ボーナス：敵視アップ,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,ジョブ専用アクション,job-specific action,インビンシブル,Hallowed Ground,27148,50,-,-,900秒,,ジョブ専用,job-exclusive,効果中、特定の攻撃を除くすべての攻撃を無効化する。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,アクション,action,投擲,Throw,22113,1,-,-,5秒,-,汎用,general,武器を投げつける。 [目標にダメージ] 投擲武器を装備する,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,アクション,action,ファストブレード,Fast Blade,27150,1,1000,-,10秒,-,ファイター専用,Disciples of War only,対象に物理攻撃。 正面攻撃時：ダメージアップ,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,アクション,action,ランパート,Rampart,27142,2,-,-,120秒,60秒,-,,自身の物理防御力をアップする。敵視が高い。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,アクション,action,ファランクス,Phalanx,27158,4,250,-,5秒,-,専用,class-exclusive,対象に物理攻撃。発動条件：ブロック発動直後,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,アクション,action,イージスブーン,Aegis Boon,27141,6,-,-,60秒,30秒,専用,class-exclusive,盾装備時に次の物理攻撃を必ずブロックし、かつ被ダメージに比例したＨＰ回復を得る。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,アクション,action,サベッジブレード,Savage Blade,27152,10,1000,-,30秒,-,ファイター専用,Disciples of War only,対象に物理攻撃。 コンボ条件：ファストブレード ボーナス：ダメージアップ 部位損傷「」,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,アクション,action,フラッシュ,Flash,27145,14,-,-,30秒,-,-,,対象の敵視をアップ。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,アクション,action,シールドバッシュ,Shield Bash,27156,18,250,-,30秒,5秒,-,,対象に盾で物理攻撃。 追加効果「スタン」,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,アクション,action,センチネル,Sentinel,27140,22,-,-,90秒,15秒,-,,一定時間、自身へのダメージを軽減する。効果中はコマンド実行時の敵視にボーナスを得る。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,アクション,action,フラットブレード,Flat Blade,27151,26,1500,-,10秒,-,ファイター専用,Disciples of War only,対象に物理攻撃。 コンボ条件：ファストブレード ボーナス：敵視アップ 部位損傷「」 MNDによってコンボボーナスの効果が上がる,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,アクション,action,ライオットソード,Riot Blade,27154,30,2000,-,80秒,30秒,専用,class-exclusive,対象に遠距離物理攻撃。 背面攻撃時：追加効果「物理防御力ダウン」,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,アクション,action,アウトマニューバ,Outmaneuver,27144,34,-,-,90秒,30秒,-,,盾装備時にブロック発動力をアップする。効果中はブロック発動時にＴＰを得る。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,アクション,action,ウォードラム,War Drum,27157,38,500,-,60秒,-,専用,class-exclusive,自身の周囲の敵に盾で物理攻撃。敵視が高い。 発動条件：ブロック発動直後,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,アクション,action,鋼の意志,Tempered Will,27143,42,-,-,180秒,20秒,専用,class-exclusive,自身にかけられた「バインド」と「ヘヴィ」を解除し、かつ効果中はノックバックと引きよせ無効。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,アクション,action,レイジオブハルオーネ,Rage of Halone,27155,46,1500,-,20秒,-,専用,class-exclusive,対象に物理5回攻撃。命中にペナルティ。 コンボ条件：ライオットソード ボーナス：物理命中力アップ,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,アクション,action,ゴアブレード,Goring Blade,27153,50,3000,-,60秒,30秒,専用,class-exclusive,対象に物理攻撃。 背面攻撃時：追加効果「継続ダメージ」 コンボ条件：サベッジブレード ボーナス：追加効果「継続ダメージ」ダメージアップ,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,特性,trait,物理防御力アップI,Enhanced Physical Defense,27168,8,,,,,専用,class-exclusive,物理防御力を+8する。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,特性,trait,ランパート効果アップ,Enhanced Rampart,27163,12,,,,,専用,class-exclusive,ランパートの効果範囲を単体から、自身とその周囲のパーティメンバーに拡大する。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,特性,trait,ブロック発動力アップI,Enhanced Block Rate,27167,16,,,,,専用,class-exclusive,ブロック発動力を+10する。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,特性,trait,イージスブーンリキャストタイム短縮,Swift Aegis Boon,27164,20,,,,,専用,class-exclusive,イージスブーンのリキャストタイムを-15秒する。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,特性,trait,物理防御力アップII,Enhanced Physical Defense II,27169,24,,,,,専用,class-exclusive,物理防御力を+10する。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,特性,trait,フラッシュ効果アップI,Enhanced Flash,27161,28,,,,,専用,class-exclusive,フラッシュに「暗闇」の効果を追加する。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,特性,trait,物理クリティカル防御力アップI,Enhanced Physical Crit Resilience,27166,32,,,,,専用,class-exclusive,物理クリティカル防御力を+10する。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,特性,trait,センチネル効果アップ,Enhanced Sentinel,27160,36,,,,,専用,class-exclusive,センチネルによるダメージ軽減効果を+20％する。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,特性,trait,物理防御力アップIII,Enhanced Physical Defense III,27170,40,,,,,専用,class-exclusive,物理防御力を+12する。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,特性,trait,アウトマニューバ効果アップ,Enhanced Outmaneuver,27165,44,,,,,専用,class-exclusive,アウトマニューバ中、ブロック発動時にＭＰが回復する。,class/action/~patch2.00_Gladiator.html
剣術,Gladiator,特性,trait,フラッシュ効果アップII,Enhanced Flash II,27162,48,,,,,専用,class-exclusive,フラッシュのターゲットが単体から、対象とその周囲の敵に拡大する。,class/action/~patch2.00_Gladiator.html
闘術,Pugilist,ジョブ専用アクション,job-specific action,羅刹衝,Shoulder Tackle,27108,30,-,-,60秒,,ジョブ専用,job-exclusive,対象に向かって突進物理攻撃。対象に自身の敵視がのっていない場合に限り追加効果「スタン」,class/action/~patch2.00_Pugilist.html
闘術,Pugilist,ジョブ専用アクション,job-specific action,蹴撃,Spinning Heel,27107,35,-,-,120秒,,ジョブ専用,job-exclusive,効果中、オートアタックのダメージが下がる代わりに追加で蹴りを放つ。 「百烈拳」とは同時に使えない。,class/action/~patch2.00_Pugilist.html
闘術,Pugilist,ジョブ専用アクション,job-specific action,疾風の構え,Fists of Wind,27109,40,-,-,10秒,,ジョブ専用,job-exclusive,自身の攻撃を風属性にし、かつ移動速度アップとウェポンスキルのリキャストタイム短縮効果を得る。再発動で効果終了。(効果中はMPを消費し続ける） 「金剛の構え」「紅蓮の構え」とは同時に使えない。,class/action/~patch2.00_Pugilist.html
闘術,Pugilist,ジョブ専用アクション,job-specific action,双竜脚,Dragon Kick,27118,45,2000,-,60秒,,ジョブ専用,job-exclusive,対象に物理2回攻撃。 コンボ条件：闘魂吸魔掌 ボーナス：追加効果「ＷＳ使用不可」 部位損傷「」,class/action/~patch2.00_Pugilist.html
闘術,Pugilist,ジョブ専用アクション,job-specific action,百烈拳,Hundred Fists,27106,50,-,-,900秒,,ジョブ専用,job-exclusive,効果中、自身の攻撃間隔を短縮。 「蹴撃」とは同時に使えない。,class/action/~patch2.00_Pugilist.html
闘術,Pugilist,アクション,action,投擲,Throw,22113,1,-,-,5秒,-,汎用,general,武器を投げつける。 [目標にダメージ] 投擲武器を装備する,class/action/~patch2.00_Pugilist.html
闘術,Pugilist,アクション,action,裏拳,Pummel,27110,1,1000,-,10秒,-,ファイター専用,Disciples of War only,対象に物理攻撃。 正面攻撃時：ダメージボーナス,class/action/~patch2.00_Pugilist.html
闘術,Pugilist,アクション,action,フェザーステップ,Featherfoot,27103,2,-,-,60秒,30秒,-,,自身の物理回避力を大幅アップし、回避成功時はＭＰを回復する。時間経過、もしくは一度回避が成功すると効果終了。,class/action/~patch2.00_Pugilist.html
闘術,Pugilist,アクション,action,当身,Pounce,27114,4,1500,-,20秒,10秒,専用,class-exclusive,対象に物理攻撃。 背後攻撃時：追加効果「スタン」,class/action/~patch2.00_Pugilist.html
闘術,Pugilist,アクション,action,内丹,Second Wind,27100,6,-,-,45秒,-,-,,自身のＨＰを回復。,class/action/~patch2.00_Pugilist.html
闘術,Pugilist,アクション,action,コンカシブブロー,Concussive Blow,27111,10,1500,-,30秒,30秒,ファイター専用,Disciples of War only,対象に物理攻撃。 側面攻撃時：追加効果「暗闇」 コンボ条件：裏拳 ボーナス：ダメージアップ 部位損傷「」,class/action/~patch2.00_Pugilist.html
闘術,Pugilist,アクション,action,ブラインドサイド,Blindside,27101,14,-,-,60秒,60秒,-,,次のウェポンスキルを対象の背後から実行時にクリティカルヒットさせる。,class/action/~patch2.00_Pugilist.html
