city,camp_jp,leve_name_jp,leve_name_en_client,client_leve_id,objective_text,name_match_note
Limsa Lominsa,キャンプ・ビアデッドロック,駆け出し冒険者向けの仕事,My Very First Adventure,10801,メインクエスト / 【 ラット 1体】×3,
Limsa Lominsa,キャンプ・ビアデッドロック,モール退治,Mole Patrol,10821,【 モール 1体】×3 倒すと1体追加×2回,
Limsa Lominsa,キャンプ・ビアデッドロック,野良羊の駆除,Unsavory Ramifications,10822,【 ラム 1体】×3 倒すと1体追加×2回,
Limsa Lominsa,キャンプ・ビアデッドロック,ラットの歯の調達,Missing Teeth,10823,【 ラット 2体PT】から ラットの歯 3個,
Limsa Lominsa,キャンプ・ビアデッドロック,急募！ 「浮石」の収集,A Clean Sale,10824,【 スプリガン 単体】から 浮石 20個,
Limsa Lominsa,キャンプ・ビアデッドロック,ラットの駆除,A Beardful of Rats,10825,【 ラット 2体PT】 倒すと2体PT追加×2回,
Limsa Lominsa,キャンプ・ビアデッドロック,ウィーヴィルの防除,Evil Weevils,10826,【 ウィーヴィル 1体】×2 倒すと1体追加 倒すと2体PT追加,
Limsa Lominsa,キャンプ・ビアデッドロック,キャンプ・ビアデッドロックの魔物の駆逐,Annexing the Rock,10827,【 チグレット 2体PT】 倒すと2体PT追加×2回,
Limsa Lominsa,キャンプ・ビアデッドロック,バットの防除,When Bats Cry,10828,【 バット 2体PT】×2 倒すと1体追加,
Limsa Lominsa,キャンプ・スカルバレー,キャンプ・スカルバレーの魔物の駆逐,Annexing the Valley,10881,【 チグレット 1体】×2と【 チグレット 1体 バット 2体のPT】と【 バット 2体 ボギー 1体のPT】,
Limsa Lominsa,キャンプ・スカルバレー,急募！ キャンプ・スカルバレーの魔物の駆逐,Colonizing the Valley,10882,【 プーク 2体PT】×2と【 ローズリング 2体PT】 / / 倒すと【 ローズリング 2体PT】追加,
Limsa Lominsa,キャンプ・スカルバレー,飛翔魔物の部位調達,Claws and Wings,10883,【 プーク 3体PT】から プークの爪 2個 / / 【 バット 3体PT】から バットの粗皮 2個,
Limsa Lominsa,キャンプ・スカルバレー,急募！ 放火魔インプの一掃,Burning Down the Houses,10884,【 インプ 1体】 戦闘中に逃げ 【 ウルフ 2体PT】追加,
Limsa Lominsa,キャンプ・スカルバレー,大発生！ サーフィズの一掃,The Swarm,10885,【 サーフィド・クラウド 2体PT】×2 4体目戦闘中に1体逃げ 2体PT追加 2体目戦闘中に1体逃げ 2体PT追加,
Limsa Lominsa,キャンプ・スカルバレー,畑荒らしラットの一掃,Send Them Packing,10886,【 ラット 3体PT】×2 5体倒すと1体逃げ 【 プーク 2体PT】追加,
Limsa Lominsa,キャンプ・スカルバレー,畑荒らしドードーの一掃,Herbicide,10887,【 ドードー 2体PT】×3 6体目戦闘中に1体逃げ 1体追加,
Limsa Lominsa,キャンプ・スカルバレー,養殖場荒らしオーレリアの一掃,Jellyfish in a Barrel,10888,【 オーレリア 3体PT】×2 5体倒すと1体逃げ 2体PT追加,
Limsa Lominsa,キャンプ・ブラッドショア,ドードーの駆除,"Save the Lettuce, Save the World",10861,【 ドードー 2体PT】と【 ドードー 3体PT】×3,
Limsa Lominsa,キャンプ・ブラッドショア,キャンプ・ブラッドショアの魔物の駆逐,Annexing the Shore,10862,【 ウィーヴィル 3体PT】と【 チグレット 3体PT】と【 レディバグ 2体PT】 / / 倒すと【 サーフィド・クラウド 3体PT】追加,
Limsa Lominsa,キャンプ・ブラッドショア,密造銀塊の奪還,To Catch a Thief,10863,【 フットパッド 2体PT】と【 ハイウェイマン 1体 レイダー 1体のPT】から 密造銀塊 3個,
Limsa Lominsa,キャンプ・ブラッドショア,急募！ ローズリングの巻きひげの収集,A Roseling by Any Other Name,10864,【 ローズリング 1体 ビートル 5体のPT】と【 ローズリング 1体 レディバグ 5体のPT】から ローズリングの巻きひげ 5個,
Limsa Lominsa,キャンプ・ブラッドショア,ガラゴの一掃,Sating the Simians,10865,【 ガラゴ 2体PT】 2体目戦闘中に1体逃げ 2体PT追加 2体目戦闘中に1体逃げ 2体PT追加,
Limsa Lominsa,キャンプ・ブラッドショア,脱獄したインプの捕殺,An Imp in Sheep's Clothing,10866,【 ラム 2体PT】の中から当たり探し×2 / / 当たりの場合【 インプ 2体PT】に変化,
Limsa Lominsa,キャンプ・ブラッドショア,ドードーの保護,Fiend in the Flock,10867,【 ドードー 2体PT】の中から当たり探し×2 / / 当たりの場合【 インプ 2体PT】に変化,
Limsa Lominsa,キャンプ・ブラッドショア,脱獄囚インプB17の処断,Escape from Cell B17,10868,【 ドードー 2体PT】の中から当たり探し×2 / / 当たりの場合【 インプ 1体 ドードー 1体のPT】に変化 / / 【 ファイアフライ 2体PT】が落とす 初蛍 でシステムメニューの「見破り」から見破り可能,
Limsa Lominsa,シダーウッド,アルドゴート・ナニーの駆除,Where the Goat Goes,10841,【 アルドゴート・ナニー 2体PT】×5と【 アルドゴート・ビリー 2体PT】,
Limsa Lominsa,シダーウッド,ボッグヤーゾンの退治,Yarz on Me,10842,【 ボッグヤーゾン 2体PT】×2 倒すと2体PT追加 倒すと2体PT追加,
Limsa Lominsa,シダーウッド,アルドゴートのサーロインの調達,Where's the Meat,10843,【 アルドゴート・ナニー 3体PT】から アルドゴートのサーロイン 3個,
Limsa Lominsa,シダーウッド,ボムの調査と一掃,Bombs Away,10844,【 ボム 3体PT】×2 5体倒すと1体逃げ 【 ファイアエレメンタル 2体PT】追加 1体倒すと1体逃げ 【 ファイアエレメンタル 2体PT】追加,
Limsa Lominsa,シダーウッド,脱獄した小鬼の捕殺,Escape Artist,10845,【 ファイアエレメンタル 2体PT】の中から当たり探し×2 / / 当たりの場合【 デビレット 1体 ファイアエレメンタル 1体】のPTに変化,
Limsa Lominsa,シダーウッド,急募！ 魔物大全『翼捨てし者の巻』の回収,Necrologos: Lords of Skyey Realms,10846,地面の光を調べて当たり探し×3 / / ハズレの場合【 アイスエレメンタル 1体】が出現 / / 焦げた魔導書の紙片 3個を集めると【 ヒッポセルフ 2体PT】が出現,
Limsa Lominsa,シダーウッド,魔物大全『元素と共にある者の巻』の回収,Necrologos: Elemental Thralldom,10847,地面の光を調べて当たり探し×6 / / ハズレの場合【 ボム 1体】が出現 / / 擦れた魔導書の紙片 3個を集めると【 ウィンドエレメンタル 2体PT】が出現 / / 破れた魔導書の紙片 3個を集めると【 アースエレメンタル 2体PT】が出現,
Limsa Lominsa,シダーウッド,魔物大全『野駆けし者の巻』の回収,Necrologos: Lightsome Verdure,10848,【 ナット 2体PT】から 焦げた魔導書の紙片 5個 / / 焦げた魔導書の紙片 5個を集めると【 カクター 2体PT】が出現,
Limsa Lominsa,浮海月の巌穴,ナット退治,Protecting the Pilgrims,11421,【 ナット 1体 サーフィド・クラウド 2体のPT】×3,
Limsa Lominsa,浮海月の巌穴,ボッグヤーゾンの味噌の収集,Awful Offal,11422,【 ボッグヤーゾン 2体PT】から ボッグヤーゾンの味噌 24個,
Limsa Lominsa,浮海月の巌穴,アースオーブの調達,Orbs for the Ossuary,11423,【 アースエレメンタル 3体PT】から アースオーブ 5個,
Limsa Lominsa,浮海月の巌穴,苗床荒らしアルドゴートの一掃,Spooring Spores,11424,【 アルドゴート・ナニー 3体PT】 2体倒すと1体逃げ 3体PT追加 2体倒すと1体逃げ 【 アルドゴート・ビリー 3体PT】追加,
Limsa Lominsa,浮海月の巌穴,養殖場荒らしメガロクラブの一掃,Crabs in a Barrel,11425,【 メガロクラブ 2体PT】 1体倒すと1体逃げ 2体PT追加 1体倒すと1体逃げ 【 ウォータエレメンタル 2体PT】追加,
Limsa Lominsa,浮海月の巌穴,脱獄囚デビレットD72の処断,Escape from Cell D72,11426,【 メガロクラブ 2体PT】の中から当たり探し×2 / / 当たりの場合【 デビレット 2体PT】に変化 / / 【 ボム 3体PT】が落とす ボムの眼 でシステムメニューの「見破り」から見破り可能,
Limsa Lominsa,浮海月の巌穴,魔物大全『枝渡りし者の巻』の回収,Necrologos: The Boughs Above,11427,地面の光を調べて当たり探し×3 / / ハズレの場合【 アルドゴート・ナニー 2体PT】が出現 / / 破れた魔導書の紙片 3個を集めると【 スクウィレル 1体 アンテロープ・ドゥ 2体のPT】が出現,
Limsa Lominsa,浮海月の巌穴,魔物大全『燃え盛りし者の巻』の回収,Necrologos: Inferno,11428,【 スラッグ 2体PT】から 焦げた魔導書の紙片 5個 / / 焦げた魔導書の紙片 5個を集めると【 ファイアエレメンタル 3体PT】が出現,
Limsa Lominsa,キャンプ・バルドノール,バルドノールの魔物の駆逐,Annexing the Knoll,10901,【 エフト 2体PT】×2 倒すと2体PT追加×2回,
Limsa Lominsa,キャンプ・バルドノール,フライトラップの除草,Fearsome Foliage,10902,【 フライトラップ 3体PT】×2 倒すと3体PT追加,
Limsa Lominsa,キャンプ・バルドノール,人気商品｢エフトの粗皮｣の調達,Slippery Skins,10903,【 エフト 2体PT】から エフトの粗皮 16個,
