gate_jp,gate_en,class_jp,class_en,class_ingame_note,genus_jp,genus_en_site,genus_en_client,species_list,crystal_drop_priority_by_element,crystal_drop_priority_en,weakness_attr_inferred,weakness_attr_en,resistance_attr_inferred,resistance_attr_en,remarks,source
衆生門,Sentient Gate,百獣綱,Beasts,,アルドゴート,Aldgoat,Aldgoats,アルドゴート・ビリー / Aldgoat Billy （視覚）; アルドゴート・ナニー / Aldgoat Nanny （視覚）,土 > 炎 > 氷,Earth > Fire > Ice,水,Water,土/雷,Earth/Lightning,"en_map: client plural: Aldgoats (row1023, client JP 毛長牛)",monster/bestiary/Aldgoat.html
衆生門,Sentient Gate,百獣綱,Beasts,,アンテロープ,Antelope,Antelope,ドゥ / Doe （視覚）; スタッグ / Stag （視覚）,土 > 炎 > 氷,Earth > Fire > Ice,水,Water,土/雷,Earth/Lightning,,monster/bestiary/Antelope.html
衆生門,Sentient Gate,百獣綱,Beasts,,ウルフ,Wolf,Wolf/Hyena/Hellhound,ウルフ / Wolf （嗅覚）; ジャッカル / Hyena （嗅覚）,雷 > 風 > 炎,Lightning > Wind > Fire,土,Earth,雷/水,Lightning/Water,en_map: client race table row1014 combined label (JP ウルフ),monster/bestiary/Wolf.html
衆生門,Sentient Gate,百獣綱,Beasts,,オポオポ,Opo-opo,Opo-opo,ガラゴ / Galago （視覚）; レミュー / Lemur （視覚）,炎 > 土 > 雷,Fire > Earth > Lightning,風,Wind,炎/氷,Fire/Ice,,monster/bestiary/Opo-opo.html
衆生門,Sentient Gate,百獣綱,Beasts,,クァール,Coeurl,Couerl,クァール / Coeurl （知覚感知不明）,,,,,,,"en_map: client spelling Couerl (typo, row1032)",monster/bestiary/Coeurl.html
衆生門,Sentient Gate,百獣綱,Beasts,,グゥーブー,Goobbue,Goobbue,グゥーブー / Goobbue （聴覚）,,,,,,,,monster/bestiary/Goobbue.html
衆生門,Sentient Gate,百獣綱,Beasts,,シープ,Sheep,Sheep,ラム / Ram （視覚）; ユー / Ewe （視覚）; カラクールラム / Karakul Ram （視覚）; カラクールユー / KarakulEwe （視覚）,風 > 雷 > 水,Wind > Lightning > Water,氷,Ice,風/火,Wind/Fire,,monster/bestiary/Sheep.html
衆生門,Sentient Gate,百獣綱,Beasts,,バッファロー,Buffalo,Buffalo,バッファロー / Buffalo （聴覚）,土 > 炎 > 氷,Earth > Fire > Ice,水,Water,土/雷,Earth/Lightning,en_map: client JP クジャタ row1008,monster/bestiary/Buffalo.html
衆生門,Sentient Gate,百獣綱,Beasts,,ボア,Boar,Boar,ホッグ / Hog （嗅覚）; ボア / Boar （嗅覚）,炎 > 土 > 雷,Fire > Earth > Lightning,風,Wind,炎/氷,Fire/Ice,,monster/bestiary/Boar.html
衆生門,Sentient Gate,百獣綱,Beasts,,ムーンマウス,Moon Mouse,GAP,ムーンマウス / Moon Mouse （嗅覚）,風 > 雷 > 水,Wind > Lightning > Water,氷,Ice,風/火,Wind/Fire,"ハンターズムーン／双月の噂（関連 : FINAL FANTASY XIV, The Lodestone）で出現 | en_map: no client genus row; site-only creature",monster/bestiary/MoonMouse.html
衆生門,Sentient Gate,百獣綱,Beasts,,モール,Mole,GAP,モール / Mole （聴覚）; ヘッジモール / Hedgemole （聴覚）,土 > 炎 > 氷,Earth > Fire > Ice,水,Water,土/雷,Earth/Lightning,en_map: no client Mole genus; species Hedgemole = client row1057,monster/bestiary/Mole.html
衆生門,Sentient Gate,百獣綱,Beasts,,ローデント,Rodent,GAP,ラット / Rat （嗅覚）; スクウィレル / Squirrel （嗅覚）; マーモット / Marmot （嗅覚）; ドーマウス / Dormouse （嗅覚）,土 > 炎 > 氷,Earth > Fire > Ice,水,Water,土/雷,Earth/Lightning,en_map: no client Rodent genus; species Rat = client row1040 (レミング),monster/bestiary/Rodent.html
衆生門,Sentient Gate,草木綱,Plantlife,,カクター,Cactuar,Sabotender,カクター / Cactuar （聴覚）; サボテンダー / Sabotender （聴覚）,雷 > 風 > 炎,Lightning > Wind > Fire,土,Earth,雷/水,Lightning/Water,en_map: client genus is Sabotender row1009; site labels genus Cactuar,monster/bestiary/Cactuar.html
衆生門,Sentient Gate,草木綱,Plantlife,,ファンガー,Funguar,Funguar,ファンガー / Funguar （聴覚）; マイコニド / Myconid （聴覚）,氷 > 水 > 土,Ice > Water > Earth,火,Fire,氷/風,Ice/Wind,,monster/bestiary/Funguar.html
衆生門,Sentient Gate,草木綱,Plantlife,,フライングトラップ,Flying Trap,Flytrap,ローズリング / Roseling （聴覚）; フライングトラップ / Flying Trap （聴覚）,風 > 雷 > 水,Wind > Lightning > Water,氷,Ice,風/火,Wind/Fire,en_map: client Flytrap row1027 (花お化け),monster/bestiary/FlyingTrap.html
衆生門,Sentient Gate,草木綱,Plantlife,,モルボル,Morbol,Morbol,モルボル / Morbol （嗅覚）,,,,,,,,monster/bestiary/Morbol.html
