page_file,kind,source_page,special_move_rows,nm_drop_rows,nm_spawn_rows
sources/elemen-bestiary/objects/pages/Aldgoat.md,bestiary,monster/bestiary/Aldgoat.html,2,,
sources/elemen-bestiary/objects/pages/Antelope.md,bestiary,monster/bestiary/Antelope.html,2,,
sources/elemen-bestiary/objects/pages/Wolf.md,bestiary,monster/bestiary/Wolf.html,4,,
sources/elemen-bestiary/objects/pages/Opo-opo.md,bestiary,monster/bestiary/Opo-opo.html,4,,
sources/elemen-bestiary/objects/pages/Coeurl.md,bestiary,monster/bestiary/Coeurl.html,3,,
sources/elemen-bestiary/objects/pages/Goobbue.md,bestiary,monster/bestiary/Goobbue.html,2,,
sources/elemen-bestiary/objects/pages/Sheep.md,bestiary,monster/bestiary/Sheep.html,1,,
sources/elemen-bestiary/objects/pages/Buffalo.md,bestiary,monster/bestiary/Buffalo.html,6,,
sources/elemen-bestiary/objects/pages/Boar.md,bestiary,monster/bestiary/Boar.html,4,,
sources/elemen-bestiary/objects/pages/MoonMouse.md,bestiary,monster/bestiary/MoonMouse.html,1,,
sources/elemen-bestiary/objects/pages/Mole.md,bestiary,monster/bestiary/Mole.html,2,,
sources/elemen-bestiary/objects/pages/Rodent.md,bestiary,monster/bestiary/Rodent.html,3,,
sources/elemen-bestiary/objects/pages/Cactuar.md,bestiary,monster/bestiary/Cactuar.html,2,,
sources/elemen-bestiary/objects/pages/Funguar.md,bestiary,monster/bestiary/Funguar.html,5,,
sources/elemen-bestiary/objects/pages/FlyingTrap.md,bestiary,monster/bestiary/FlyingTrap.html,4,,
sources/elemen-bestiary/objects/pages/Morbol.md,bestiary,monster/bestiary/Morbol.html,2,,
sources/elemen-bestiary/objects/pages/Orobon.md,bestiary,monster/bestiary/Orobon.html,1,,
sources/elemen-bestiary/objects/pages/Gigantoad.md,bestiary,monster/bestiary/Gigantoad.html,6,,
sources/elemen-bestiary/objects/pages/Salamander.md,bestiary,monster/bestiary/Salamander.html,3,,
sources/elemen-bestiary/objects/pages/Jellyfish.md,bestiary,monster/bestiary/Jellyfish.html,2,,
sources/elemen-bestiary/objects/pages/Slug.md,bestiary,monster/bestiary/Slug.html,2,,
sources/elemen-bestiary/objects/pages/Megalocrab.md,bestiary,monster/bestiary/Megalocrab.html,1,,
sources/elemen-bestiary/objects/pages/Amalj_aa.md,bestiary,monster/bestiary/Amalj'aa.html,2,,
sources/elemen-bestiary/objects/pages/Ixali.md,bestiary,monster/bestiary/Ixali.html,2,,
sources/elemen-bestiary/objects/pages/Qiqirn.md,bestiary,monster/bestiary/Qiqirn.html,3,,
sources/elemen-bestiary/objects/pages/Goblin.md,bestiary,monster/bestiary/Goblin.html,4,,
sources/elemen-bestiary/objects/pages/Kobold.md,bestiary,monster/bestiary/Kobold.html,2,,
sources/elemen-bestiary/objects/pages/Sylph.md,bestiary,monster/bestiary/Sylph.html,3,,
sources/elemen-bestiary/objects/pages/Human.md,bestiary,monster/bestiary/Human.html,6,,
sources/elemen-bestiary/objects/pages/Drake.md,bestiary,monster/bestiary/Drake.html,5,,
sources/elemen-bestiary/objects/pages/Basilisk.md,bestiary,monster/bestiary/Basilisk.html,3,,
sources/elemen-bestiary/objects/pages/Raptor.md,bestiary,monster/bestiary/Raptor.html,3,,
sources/elemen-bestiary/objects/pages/Antling.md,bestiary,monster/bestiary/Antling.html,3,,
sources/elemen-bestiary/objects/pages/Beetle.md,bestiary,monster/bestiary/Beetle.html,2,,
sources/elemen-bestiary/objects/pages/Sworm.md,bestiary,monster/bestiary/Sworm.html,2,,
sources/elemen-bestiary/objects/pages/Diremite.md,bestiary,monster/bestiary/Diremite.html,6,,
sources/elemen-bestiary/objects/pages/Chigoe.md,bestiary,monster/bestiary/Chigoe.html,1,,
sources/elemen-bestiary/objects/pages/Gnat.md,bestiary,monster/bestiary/Gnat.html,2,,
sources/elemen-bestiary/objects/pages/Yarzon.md,bestiary,monster/bestiary/Yarzon.html,2,,
sources/elemen-bestiary/objects/pages/Apkallu.md,bestiary,monster/bestiary/Apkallu.html,2,,
sources/elemen-bestiary/objects/pages/Vulture.md,bestiary,monster/bestiary/Vulture.html,4,,
sources/elemen-bestiary/objects/pages/Dodo.md,bestiary,monster/bestiary/Dodo.html,4,,
sources/elemen-bestiary/objects/pages/Hippogryph.md,bestiary,monster/bestiary/Hippogryph.html,3,,
sources/elemen-bestiary/objects/pages/Puk.md,bestiary,monster/bestiary/Puk.html,2,,
sources/elemen-bestiary/objects/pages/Bat.md,bestiary,monster/bestiary/Bat.html,2,,
sources/elemen-bestiary/objects/pages/Ghost.md,bestiary,monster/bestiary/Ghost.html,3,,
sources/elemen-bestiary/objects/pages/TheDamned.md,bestiary,monster/bestiary/TheDamned.html,3,,
sources/elemen-bestiary/objects/pages/Wight.md,bestiary,monster/bestiary/Wight.html,4,,
sources/elemen-bestiary/objects/pages/Coblyn.md,bestiary,monster/bestiary/Coblyn.html,1,,
sources/elemen-bestiary/objects/pages/Spriggan.md,bestiary,monster/bestiary/Spriggan.html,1,,
sources/elemen-bestiary/objects/pages/Ahriman.md,bestiary,monster/bestiary/Ahriman.html,3,,
sources/elemen-bestiary/objects/pages/Imp.md,bestiary,monster/bestiary/Imp.html,3,,
sources/elemen-bestiary/objects/pages/Will-o_-the-Wisp.md,bestiary,monster/bestiary/Will-o'-the-Wisp.html,2,,
sources/elemen-bestiary/objects/pages/Elemental.md,bestiary,monster/bestiary/Elemental.html,2,,
sources/elemen-bestiary/objects/pages/Ogre.md,bestiary,monster/bestiary/Ogre.html,5,,
sources/elemen-bestiary/objects/pages/Phurble.md,bestiary,monster/bestiary/Phurble.html,2,,
sources/elemen-bestiary/objects/pages/Plasmoid.md,bestiary,monster/bestiary/Plasmoid.html,2,,
