nm_jp,nm_en_client,nm_client_actor_id,monster_family_jp,monster_family_en_client,drop_group,rarity_mark,item_jp,item_en_client,item_client_id,note,source
エルダーモスホーン,Elder Mosshorn,3102311,アルドゴート,Aldgoats,0,,モスホーンの角,Mossy Horn,10006119,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: エルダーモスホーン
炎拳のアリグ・ロー,Flamefist Ahlygg Roh,3106557,アマルジャ,Amlaj'aa,0,◆◆,ザハラクの黄金の鍵,Gold Zahar'ak Coffer Key,10011139,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: 炎拳のアリグ・ロー
カクタージャック,Cactuar Jack,3100913,カクター,Sabotender,0,◆◆,セストソル,Fists of the Sixth Sun,4020204,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: カクタージャック
カクタージャック,Cactuar Jack,3100913,カクター,Sabotender,1,◆◆,コンキスタドールエルモ,Conquistador Elmo,8011403,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: カクタージャック
カクタージャック,Cactuar Jack,3100913,カクター,Sabotender,2,,アリゲーターペア,Alligator Pear,3011459,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: カクタージャック
カクタージャック,Cactuar Jack,3100913,カクター,Sabotender,2,,ワイルドオニオン,Wild Onion,3011308,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: カクタージャック
ダディーロングレッグ,Daddy Longlegs,3105515,ヤーゾン,Yarzon,0,◆◆,エルムロードタスク,Elmlord's Tusk,4040203,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: ダディーロングレッグ
弾指のココルン,Kokoroon Quickfingers,3106312,キキルン,Qiqirn,0,◆◆,ネストピッカー,Kokoroon's Nestpicker,4070209,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: 弾指のココルン
弾指のココルン,Kokoroon Quickfingers,3106312,キキルン,Qiqirn,1,◆◆,ココルンメイル,Kokoroon's Darkshell Mail,8031607,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: 弾指のココルン
ネストコマンダー,Nest Commander,3103009,アントリング,Antling,0,◆◆,ナイトホークバイザー,Nighthawk Visor,8010474,,sources/elemen-bestiary/objects/pages/NM_Thanalan.md :: ネストコマンダー
