scope_jp,scope_en,client_actor_id,is_nm,group_jp,group_en,skill_name_jp,skill_name_en,client_command_id,cast_effect_color,cast_effect_color_en,aoe_range,aoe_range_en,deals_damage,deals_damage_en,interruptible,interruptible_en,status_effect,status_effect_en,remarks,source
アルドゴート,Aldgoats,,n,百獣綱,Beasts,アルパインフューリー,Alpine Fury,23092,黄,Yellow (buff),敵単体,single target,-,no,,,バーサク,Berserk,,monster/bestiary/Aldgoat.html
アルドゴート,Aldgoats,,n,百獣綱,Beasts,ヘッドバット,Head Butt,23091;23167,赤,Red (damage),近接単体,melee single,○,Yes,,,ノックバック,Knockback,,monster/bestiary/Aldgoat.html
アンテロープ,Antelope,,n,百獣綱,Beasts,スタンピード,Stampede,23078;23166,赤,Red (damage),単体,single target,○,Yes,,,ノックバック,Knockback,,monster/bestiary/Antelope.html
アンテロープ,Antelope,,n,百獣綱,Beasts,フーフキック,Hoofkick,23079,赤,Red (damage),近接単体,melee single,○,Yes,,,ノックバック,Knockback,後方から攻撃時,monster/bestiary/Antelope.html
ウルフ,Wolf/Hyena/Hellhound,,n,百獣綱,Beasts,サングインバイト,Sanguine Bite,23145,紫,Purple (debuff),単体,single target,○,Yes,,,ＨＰ吸収,HP drain,ジャッカル,monster/bestiary/Wolf.html
ウルフ,Wolf/Hyena/Hellhound,,n,百獣綱,Beasts,沈唸,Threatening Growl,23143,,,敵単体,single target,-,no,,,,,,monster/bestiary/Wolf.html
ウルフ,Wolf/Hyena/Hellhound,,n,百獣綱,Beasts,ファウルバイト,Foul Bite,23144,赤,Red (damage),近接単体,melee single,○,Yes,,,,,,monster/bestiary/Wolf.html
ウルフ,Wolf/Hyena/Hellhound,,n,百獣綱,Beasts,ミッドナイトハウル,Midnight Howl,23142,黄,Yellow (buff),敵単体,single target,-,no,,,ミッドナイトウルフ（月の影響下におかれた状態。）,Midnight Wolf (state under the moon's influence),,monster/bestiary/Wolf.html
オポオポ,Opo-opo,,n,百獣綱,Beasts,（遠隔攻撃）,(ranged attack),,-,none,遠隔単体,ranged single,○,Yes,-,n/a,,,,monster/bestiary/Opo-opo.html
オポオポ,Opo-opo,,n,百獣綱,Beasts,かっぱらい,Deep Scratch,23075,,,単体,single target,○,Yes,,,強化ステータスを吸収,absorbs target's buffs,,monster/bestiary/Opo-opo.html
オポオポ,Opo-opo,,n,百獣綱,Beasts,毒手,Soil Smear,23076,,,単体,single target,○,Yes,,,弱体ステータスを移す,transfers its debuffs to target,,monster/bestiary/Opo-opo.html
オポオポ,Opo-opo,,n,百獣綱,Beasts,ドロップキック,Drop Kick,23074,,,近接単体,melee single,○,Yes,,,ノックバック,Knockback,,monster/bestiary/Opo-opo.html
クァール,Couerl,,n,百獣綱,Beasts,カオティックアイ,Chaotic Eye,23322,紫,Purple (debuff),目視中前方範囲,frontal gaze cone (while in sight),-,no,,,TPをすべて失う,removes all TP,,monster/bestiary/Coeurl.html
クァール,Couerl,,n,百獣綱,Beasts,チャージドホイスカー,Charged Whisker,23318;23319;23320,赤,Red (damage),敵範囲,area (enemies),○,Yes,,,麻痺,Paralysis,,monster/bestiary/Coeurl.html
クァール,Couerl,,n,百獣綱,Beasts,ホイスカーチャージ,Whisker Charge,23323;23324;23410;23411;23412,黄,Yellow (buff),敵単体,single target,-,no,,,（ヒゲに電気が溢れる）,(whiskers surge with electricity),,monster/bestiary/Coeurl.html
グゥーブー,Goobbue,,n,百獣綱,Beasts,インヘイル,Inhale,23215,紫,Purple (debuff),前方範囲,frontal cone,○,Yes,,,（吸い込み）,(inhale / pull-in),,monster/bestiary/Goobbue.html
グゥーブー,Goobbue,,n,百獣綱,Beasts,カビ散布,Violent Sneeze,23211;23212;23214,紫,Purple (debuff),前方範囲,frontal cone,○,Yes,,,物理攻撃－ / 暗闇 / 麻痺 / スロウ,Attack Down / Blind / Paralysis / Slow,,monster/bestiary/Goobbue.html
シープ,Sheep,,n,百獣綱,Beasts,ララバイ,Lullaby,23239,紫<br>※,Purple (debuff) (see note),敵範囲,area (enemies),（○）,Yes (conditional),,,睡眠,Sleep,カラクール /<br>発動後に鼻提灯をつけて敵自身も睡眠 /<br>鼻提灯が破裂した時にダメージ /<br>破裂時のエフェクト色は赤,monster/bestiary/Sheep.html
バッファロー,Buffalo,,n,百獣綱,Beasts,（通常攻撃）,(normal attack),,-,none,範囲,area,○,Yes,-,n/a,,,,monster/bestiary/Buffalo.html
バッファロー,Buffalo,,n,百獣綱,Beasts,（遠隔攻撃）,(ranged attack),,-,none,遠隔単体,ranged single,○,Yes,-,n/a,,,,monster/bestiary/Buffalo.html
バッファロー,Buffalo,,n,百獣綱,Beasts,オンラッシュ,Onrush,23297,赤<br>+<br>（黄）,Red (damage) + (Yellow),前方範囲,frontal cone,○,Yes,○,Yes,ノックバック,Knockback,,monster/bestiary/Buffalo.html
バッファロー,Buffalo,,n,百獣綱,Beasts,サイズミックリフト,Seismic Rift,23298,紫,Purple (debuff),敵範囲,area (enemies),○,Yes,○,Yes,ヘヴィ,Heavy,,monster/bestiary/Buffalo.html
バッファロー,Buffalo,,n,百獣綱,Beasts,ソノラスブラスト,Sonorous Blast,23299,紫,Purple (debuff),敵範囲,area (enemies),-,no,,,敵視上昇率－,Sonorous Blast,,monster/bestiary/Buffalo.html
バッファロー,Buffalo,,n,百獣綱,Beasts,デッドリーストンプ,Pulverizing Pound,23296,赤<br>+<br>（黄）,Red (damage) + (Yellow),近接単体,melee single,○,Yes,,,,,,monster/bestiary/Buffalo.html
ボア,Boar,,n,百獣綱,Beasts,（遠隔攻撃）,(ranged attack),,-,none,遠隔単体,ranged single,○,Yes,-,n/a,,,,monster/bestiary/Boar.html
ボア,Boar,,n,百獣綱,Beasts,叫喚,Bellowing Grunt,23157,,,敵範囲,area (enemies),-,no,,,スタン,Stun,,monster/bestiary/Boar.html
ボア,Boar,,n,百獣綱,Beasts,猪突猛進,Reckless Charge,23155,赤,Red (damage),前方直線,frontal line,○,Yes,○,Yes,ノックバック,Knockback,回り込み回避可能,monster/bestiary/Boar.html
ボア,Boar,,n,百獣綱,Beasts,怒髪天,Bristle,23156,黄,Yellow (buff),敵単体,single target,-,no,,,,,,monster/bestiary/Boar.html
ムーンマウス,GAP,,n,百獣綱,Beasts,（遠隔攻撃）,(ranged attack),,-,none,遠隔単体,ranged single,○,Yes,-,n/a,,,,monster/bestiary/MoonMouse.html
モール,GAP,,n,百獣綱,Beasts,スピンアウト,Spinout,23056,-,none,対象範囲,targeted area,○,Yes,,,,,ヘッジモール /<br>土中に潜った後に使用,monster/bestiary/Mole.html
モール,GAP,,n,百獣綱,Beasts,ブレークアウト,Breakout,23055,,,対象範囲,targeted area,○,Yes,,,,,土中に潜った後に使用,monster/bestiary/Mole.html
ローデント,GAP,,n,百獣綱,Beasts,サマーソルトスラッシュ,Somersault Slash,23010,赤,Red (damage),前方単体,frontal single,○,Yes,,,,,回り込み回避可能,monster/bestiary/Rodent.html
ローデント,GAP,,n,百獣綱,Beasts,突き声,Bark to Arms,23011,青,Blue (special),敵範囲,area (enemies),-,no,,,,,,monster/bestiary/Rodent.html
ローデント,GAP,,n,百獣綱,Beasts,ナットシェル,Nutshell,23012,黄,Yellow (buff),敵範囲,area (enemies),-,no,,,物理防御＋,Defense Up,,monster/bestiary/Rodent.html
カクター,Sabotender,,n,草木綱,Plantlife,太陽針,Sun Spines,23149,,,敵範囲,area (enemies),○,Yes,○,Yes,バインド,Bind,,monster/bestiary/Cactuar.html
カクター,Sabotender,,n,草木綱,Plantlife,テンダースラスト,Tender Thrust,23148,,,単体,single target,○,Yes,,,ヘイトリセット / ノックバック,enmity reset / Knockback,,monster/bestiary/Cactuar.html
ファンガー,Funguar,,n,草木綱,Plantlife,クイージークラウド,Queasy Cloud,23256,,,敵範囲,area (enemies),-,no,,,中毒,Poison,「～の柄が膨らんだ……」と出た時に攻撃すると発動,monster/bestiary/Funguar.html
ファンガー,Funguar,,n,草木綱,Plantlife,クイージースポア,Queasy Spores,23254,,,敵範囲,area (enemies),○,Yes,,,中毒,Poison,,monster/bestiary/Funguar.html
ファンガー,Funguar,,n,草木綱,Plantlife,スランバークラウド,Slumber Cloud,23251,,,敵範囲,area (enemies),-,no,,,睡眠,Sleep,マイコニド /<br>「～の柄が膨らんだ……」と出た時に攻撃すると発動,monster/bestiary/Funguar.html
ファンガー,Funguar,,n,草木綱,Plantlife,スランバースポア,Slumber Spores,23250,,,敵範囲,area (enemies),○,Yes,,,睡眠,Sleep,マイコニド,monster/bestiary/Funguar.html
ファンガー,Funguar,,n,草木綱,Plantlife,ハイファウィップ,Hypha Whip,23255,,,,,○,Yes,,,ノックバック,Knockback,マイコニド /<br>「～の柄が縮んだ……」と出た後に発動,monster/bestiary/Funguar.html
フライングトラップ,Flytrap,,n,草木綱,Plantlife,（遠隔攻撃）,(ranged attack),,-,none,遠隔単体,ranged single,○,Yes,-,n/a,,,,monster/bestiary/FlyingTrap.html
フライングトラップ,Flytrap,,n,草木綱,Plantlife,ジャミネート,Germinate,23087,,,対象範囲,targeted area,○,Yes,,,,,,monster/bestiary/FlyingTrap.html
フライングトラップ,Flytrap,,n,草木綱,Plantlife,シードスプレー,Seedspray,23088,,,対象範囲,targeted area,○,Yes,,,ヘヴィ,Heavy,,monster/bestiary/FlyingTrap.html
フライングトラップ,Flytrap,,n,草木綱,Plantlife,サフ,Sough,23089,赤,Red (damage),前方範囲,frontal cone,○,Yes,,,ノックバック,Knockback,回り込み回避可能,monster/bestiary/FlyingTrap.html
モルボル,Morbol,,n,草木綱,Plantlife,甘い息,Sweet Breath,23286,紫,Purple (debuff),前方範囲,frontal cone,○,Yes,,,睡眠,Sleep,,monster/bestiary/Morbol.html
モルボル,Morbol,,n,草木綱,Plantlife,臭い息,Bad Breath,23285,紫<br>+<br>（黄）,Purple (debuff) + (Yellow),前方範囲,frontal cone,○,Yes,,,麻痺 / 静寂 / 中毒 / 暗闇 / ヘヴィ / スロウ,Paralysis / Silence / Poison / Blind / Heavy / Slow,,monster/bestiary/Morbol.html
オロボン,GAP,,n,水棲綱,Aquatic,マインドワイプ,Mindwipe,23402,,,敵範囲,area (enemies),,,,,,,,monster/bestiary/Orobon.html
ギガントード,Gigantoad,,n,水棲綱,Aquatic,（遠隔攻撃）,(ranged attack),,-,none,遠隔単体,ranged single,○,Yes,-,n/a,引き寄せ,draw-in,,monster/bestiary/Gigantoad.html
ギガントード,Gigantoad,,n,水棲綱,Aquatic,ガットプレス,Gut Press,23266,赤,Red (damage),敵範囲,area (enemies),○,Yes,○,Yes,,,詠唱の中断に成功すると仰向けに転倒する,monster/bestiary/Gigantoad.html
ギガントード,Gigantoad,,n,水棲綱,Aquatic,ガマの脂,Slimy Secretion,23264,黄,Yellow (buff),敵単体,single target,-,no,,,物理回避＋,Evasion Up,,monster/bestiary/Gigantoad.html
