genus_jp,genus_en_site,genus_en_client_race,genus_is_race_gap,species_jp,species_en_site,client_generic_name,client_generic_id,client_variant_count,client_variants,note
アルドゴート,Aldgoat,Aldgoats,n,アルドゴート・ビリー,Aldgoat Billy,Aldgoat Billy,3102301,6,Aldgoat Billy (3102301); Aldgoat Billy (3102302); Aldgoat Billy (3102314); Lowland Billygoat (3202301); Sure-Footed Billygoat (3202302); Aldgoat Nanny (3202308),
アルドゴート,Aldgoat,Aldgoats,n,アルドゴート・ナニー,Aldgoat Nanny,Aldgoat Nanny,3102305,6,Aldgoat Nanny (3102305); Aldgoat Nanny (3102306); Aldgoat Nanny (3102317); Lowland Nannygoat (3202304); Lowland Nannygoat (3202305); Aldgoat Billy (3202309),
アンテロープ,Antelope,Antelope,n,ドゥ,Doe,Doe,3100309,1,Doe (3100309),
アンテロープ,Antelope,Antelope,n,スタッグ,Stag,Stag,3100310,3,Stag (3100310); Stag (3200307); Stag (3200309),
ウルフ,Wolf,Wolf/Hyena/Hellhound,n,ウルフ,Wolf,Wolf,3101413,8,Lone Wolf (3101401); Wolf (3101413); Nightwolf (3201401); Shaggy Wolf (3201402); Skulking Wolf (3201403); Wolf (3201409); Wolf (3201410); Wolf (3201417),
ウルフ,Wolf,Wolf/Hyena/Hellhound,n,ジャッカル,Hyena,,,2,Wild Jackal (3101405); Dirty Mongrel (3201412),no client actor exactly matches the site species; see variants
オポオポ,Opo-opo,Opo-opo,n,ガラゴ,Galago,Galago,3100509,7,Canopy Galago (3100502); Galago (3100509); Curious Galago (3100514); Curious Galago (3200501); Curious Galago (3200502); Longclaw Galago (3200503); Galago (3200506),
オポオポ,Opo-opo,Opo-opo,n,レミュー,Lemur,Lemur,3100505,7,Lemur (3100505); Lemur (3100506); Lemur (3100510); Lemur (3100513); Leaping Lemur (3200504); Leaping Lemur (3200505); Lemur (3200507),
クァール,Coeurl,Couerl,n,クァール,Coeurl,Coeurl,3203204,1,Coeurl (3203204),
グゥーブー,Goobbue,Goobbue,n,グゥーブー,Goobbue,Goobbue,3103301,6,Goobbue (3103301); Goobbue (3103305); Goobbue (3103306); Escaped Goobbue (3203301); Goobbue (3203302); Goobbue (3203303),
シープ,Sheep,Sheep,n,ラム,Ram,,,3,Lost Wether (3106005); Raging Ram (3206002); Raging Ram (3206004),no client actor exactly matches the site species; see variants
シープ,Sheep,Sheep,n,ユー,Ewe,,,1,Sheep (3206015),no client actor exactly matches the site species; see variants
シープ,Sheep,Sheep,n,カラクールラム,Karakul Ram,Karakul Ram,3206008,2,Ornery Karakul Ram (3106013); Karakul Ram (3206008),
シープ,Sheep,Sheep,n,カラクールユー,KarakulEwe,,,3,Ornery Karakul Ewe (3106009); Karakul Ewe (3206007); Karakul (3206016),no client actor exactly matches the site species; see variants
バッファロー,Buffalo,Buffalo,n,バッファロー,Buffalo,,,0,,not in xtx_displayName
ボア,Boar,Boar,n,ホッグ,Hog,Hog,3201503,3,Tusked Hog (3201501); Tusked Hog (3201502); Hog (3201503),
ボア,Boar,Boar,n,ボア,Boar,Boar,3101510,3,Hog (3101509); Boar (3101510); Boar (3201504),
ムーンマウス,Moon Mouse,GAP,y,ムーンマウス,Moon Mouse,,,0,,not in xtx_displayName
モール,Mole,GAP,y,モール,Mole,Mole,3105717,6,Mole (3105717); Rat Mole (3205701); Naked Mole (3205702); Rat Mole (3205703); Naked Mole (3205704); Mole (3205709),
モール,Mole,GAP,y,ヘッジモール,Hedgemole,Hedgemole,3105709,8,Hedgemole (3105709); Hedgemole (3105710); Hedgemole (3105718); O'Ghomoro Hedgemole (3205705); Hellsfire Hedgemole (3205706); Hellsfire Hedgemole (3205707); Hellsfire Hedgemole (3205708); Hedgemole (3205710),
ローデント,Rodent,GAP,y,ラット,Rat,Rat,3104021,6,Wharf Rat (3104001); Rat (3104021); Wharf Rat (3104027); Plague Rat (3204001); Pack Rat (3204002); Rat (3204018),
ローデント,Rodent,GAP,y,スクウィレル,Squirrel,Squirrel,3104022,5,Arbor Squirrel (3104005); Squirrel (3104022); Nutbreaker Squirrel (3204006); Nutcracker Squirrel (3204007); Squirrel (3204019),
