group_jp,group_en,category_jp,category_en,item_jp,item_marker,client_item_id,client_item_en,effect_jp,effect_en,recast_s,duration_s,client_recast_s,client_duration_s,source
肉料理,Meat,物理攻撃力,Attack Power,ミコッテ風山の幸串焼,,3010001,Meat Miq'abob,物理攻撃力:＋11%(上限 22) PIE:＋5%(上限 4),Attack Power:+11%(cap 22) Piety:+5%(cap 4),5,1800,5,1800,elemen-food
肉料理,Meat,物理攻撃力,Attack Power,大山羊ステーキ,,3010002,Aldgoat Steak,物理攻撃力:＋9%(上限 30) STR:＋4%(上限 5),Attack Power:+9%(cap 30) Strength:+4%(cap 5),5,1800,5,1800,elemen-food
肉料理,Meat,物理攻撃力,Attack Power,マーモットステーキ,,3010006,Marmot Steak,物理攻撃力:＋13%(上限 15) STR:＋7%(上限 3),Attack Power:+13%(cap 15) Strength:+7%(cap 3),5,1800,5,1800,elemen-food
肉料理,Meat,物理攻撃力,Attack Power,ラビットパイ,,3010007,Rabbit Pie,物理攻撃力:＋11%(上限 24) INT:＋5%(上限 4),Attack Power:+11%(cap 24) Intelligence:+5%(cap 4),5,1800,5,1800,elemen-food
肉料理,Meat,物理攻撃力,Attack Power,ビーフジャーキー,,3010008,Jerked Beef,物理攻撃力:＋7%(上限 51) PIE:＋3%(上限 7),Attack Power:+7%(cap 51) Piety:+3%(cap 7),5,1800,5,1800,elemen-food
肉料理,Meat,物理攻撃力,Attack Power,ドードーのグリル,,3010009,Grilled Dodo,物理攻撃力:＋11%(上限 22) PIE:＋5%(上限 4),Attack Power:+11%(cap 22) Piety:+5%(cap 4),5,1800,5,1800,elemen-food
肉料理,Meat,物理攻撃力,Attack Power,シェパードパイ,,3010010,Shepherd's Pie,物理攻撃力:＋9%(上限 32) 物理クリティカル攻撃力:＋10,Attack Power:+9%(cap 32) Critical Hit Attack Power:+10,5,1800,5,1800,elemen-food
肉料理,Meat,物理攻撃力,Attack Power,スモークドラプトル,,3010011,Smoked Raptor,物理攻撃力:＋8%(上限 41) STR:＋3%(上限 6),Attack Power:+8%(cap 41) Strength:+3%(cap 6),5,1800,5,1800,elemen-food
肉料理,Meat,物理攻撃力,Attack Power,ローストドードー,,3010013,Roast Dodo,物理攻撃力:＋9%(上限 33),Attack Power:+9%(cap 33),5,1800,5,1800,elemen-food
肉料理,Meat,物理攻撃力,Attack Power,モールローフ,,3010014,Mole Loaf,物理攻撃力:＋11%(上限 24) STR:＋5%(上限 4),Attack Power:+11%(cap 24) Strength:+5%(cap 4),5,1800,5,1800,elemen-food
肉料理,Meat,物理攻撃力,Attack Power,エフトステーキ,,3010017,Eft Steak,物理攻撃力:＋7%(上限 51) INT:＋3%(上限 7),Attack Power:+7%(cap 51) Intelligence:+3%(cap 7),5,1800,5,1800,elemen-food
卵料理,Egg,HP,HP,ボイルドエッグ,,3010003,Boiled Egg,HP:＋15%(上限 30),HP:+15%(cap 30),5,1800,5,1800,elemen-food
卵料理,Egg,HP,HP,ドードーオムレツ,,3010004,Dodo Omelette,HP:＋13%(上限 45) VIT:＋2,HP:+13%(cap 45) Vitality:+2,5,1800,5,1800,elemen-food
卵料理,Egg,HP,HP,デビルドエッグズ,,3010012,Deviled Eggs,HP:＋6%(上限 180),HP:+6%(cap 180),5,1800,5,1800,elemen-food
卵料理,Egg,HP,HP,マスタードエッグズ,,3010016,Mustard Eggs,HP:＋10%(上限 70),HP:+10%(cap 70),5,1800,5,1800,elemen-food
卵料理,Egg,HP,HP,アプカルオムレツ,,3010020,Apkallu Omelette,HP:＋5%(上限 220),HP:+5%(cap 220),5,1800,5,1800,elemen-food
卵料理,Egg,HP,HP,スクランブルエッグ,,3010021,Scrambled Eggs,HP:＋7%(上限 130),HP:+7%(cap 130),5,1800,5,1800,elemen-food
卵料理,Egg,HP,HP,フライドエッグ,,3010022,Fried Egg,HP:＋8%(上限 90),HP:+8%(cap 90),5,1800,5,1800,elemen-food
卵料理,Egg,HP,HP,猟師風エフトキッシュ,,3010023,Trapper's Quiche,HP:＋5%(上限 230),HP:+5%(cap 230),5,1800,5,1800,elemen-food
穀物料理,Grain,物理防御力,Defense,フラットブレッド,,3010201,Flatbread,物理防御力:＋13%(上限 15) VIT:＋7%(上限 3),Defense:+13%(cap 15) Vitality:+7%(cap 3),5,1800,5,1800,elemen-food
穀物料理,Grain,物理防御力,Defense,ハニーマフィン,,3010203,Honey Muffin,物理防御力:＋11%(上限 22) DEX:＋5%(上限 4),Defense:+11%(cap 22) Dexterity:+5%(cap 4),5,1800,5,1800,elemen-food
穀物料理,Grain,物理防御力,Defense,ラノシアトースト,,3010204,La Noscean Toast,物理防御力:＋7%(上限 51) VIT:＋3%(上限 7),Defense:+7%(cap 51) Vitality:+3%(cap 7),5,1800,5,1800,elemen-food
穀物料理,Grain,物理防御力,Defense,エーコンクッキー,,3010205,Acorn Cookie,物理防御力:＋8%(上限 41) VIT:＋3%(上限 6),Defense:+8%(cap 41) Vitality:+3%(cap 6),5,1800,5,1800,elemen-food
穀物料理,Grain,物理防御力,Defense,プレッツェル,,3010206,Dark Pretzel,物理防御力:＋9%(上限 30) VIT:＋4%(上限 5),Defense:+9%(cap 30) Vitality:+4%(cap 5),5,1800,5,1800,elemen-food
穀物料理,Grain,物理防御力,Defense,コーンブレッド,,3010207,Cornbread,物理防御力:＋9%(上限 32) DEX:＋4%(上限 5),Defense:+9%(cap 32) Dexterity:+4%(cap 5),5,1800,5,1800,elemen-food
