group_jp,group_en,category_jp,category_en,item_jp,item_marker,client_item_id,client_item_en,effect_jp,effect_en,recast_s,duration_s,client_recast_s,client_duration_s,source
回復薬類,Recovery,HP回復,HP Recovery,ポーション,,3020001,Potion,HP回復量:＋40%(上限 100) リキャストタイム:1:10,HP Regen:+40%(cap 100) Recast Time:1:10,70,,70,0,elemen-medicine
回復薬類,Recovery,HP回復,HP Recovery,ハイポーション,,3020002,Hi-potion,HP回復量:＋30%(上限 300) リキャストタイム:1:20,HP Regen:+30%(cap 300) Recast Time:1:20,80,,80,0,elemen-medicine
回復薬類,Recovery,HP回復,HP Recovery,メガポーション,,3020003,Mega-potion,HP回復量:＋20%(上限 600) リキャストタイム:1:30,HP Regen:+20%(cap 600) Recast Time:1:30,90,,90,0,elemen-medicine
回復薬類,Recovery,HP回復,HP Recovery,ファイアポーション,,3020006,Fire Potion,HP回復量:＋40%(上限 50) リキャストタイム:0:45,HP Regen:+40%(cap 50) Recast Time:0:45,45,,45,0,elemen-medicine
回復薬類,Recovery,HP回復,HP Recovery,ウォーターポーション,,3020007,Water Potion,HP回復量:＋40%(上限 50) リキャストタイム:0:45,HP Regen:+40%(cap 50) Recast Time:0:45,45,,45,0,elemen-medicine
回復薬類,Recovery,HP回復,HP Recovery,ウィンドポーション,,3020008,Wind Potion,HP回復量:＋40%(上限 50) リキャストタイム:0:45,HP Regen:+40%(cap 50) Recast Time:0:45,45,,45,0,elemen-medicine
回復薬類,Recovery,HP回復,HP Recovery,アースポーション,,3020009,Earth Potion,HP回復量:＋40%(上限 50) リキャストタイム:0:45,HP Regen:+40%(cap 50) Recast Time:0:45,45,,45,0,elemen-medicine
回復薬類,Recovery,HP回復,HP Recovery,ライトニングポーション,,3020010,Lightning Potion,HP回復量:＋40%(上限 50) リキャストタイム:0:45,HP Regen:+40%(cap 50) Recast Time:0:45,45,,45,0,elemen-medicine
回復薬類,Recovery,HP回復,HP Recovery,アイスポーション,,3020011,Ice Potion,HP回復量:＋40%(上限 50) リキャストタイム:0:45,HP Regen:+40%(cap 50) Recast Time:0:45,45,,45,0,elemen-medicine
治療薬類,Remedy,状態異常回復,Status Recovery,目薬,,3020401,Eye Drops,闇を払う秘薬（効果：暗闇の回復） リキャストタイム:1:10,removes Blind; recast 1:10,70,,270,0,elemen-medicine
治療薬類,Remedy,状態異常回復,Status Recovery,やまびこ薬,,3020402,Throat Drops,声を取り戻す秘薬（効果：静寂の回復） リキャストタイム:1:10,removes Silence; recast 1:10,70,,240,0,elemen-medicine
治療薬類,Remedy,状態異常回復,Status Recovery,きつけ薬,,3020403,Dawn Drops,目覚めを促す秘薬（効果：睡眠の回復） リキャストタイム:1:10,removes Sleep; recast 1:10,70,,210,0,elemen-medicine
治療薬類,Remedy,状態異常回復,Status Recovery,元気薬,,3020404,Spine Drops,筋肉をほぐす秘薬（効果：麻痺の回復） リキャストタイム:1:20,removes Paralysis; recast 1:20,80,,240,0,elemen-medicine
治療薬類,Remedy,状態異常回復,Status Recovery,沈静薬,,3020405,Nerve Drops,気を静める秘薬（効果：敵視低下） リキャストタイム:1:20,reduces enmity; recast 1:20,80,,240,60,elemen-medicine
治療薬類,Remedy,状態異常回復,Status Recovery,止血薬,,3020406,Blood Drops,止血する秘薬（効果：中毒の回復） リキャストタイム:1:10,removes Poison; recast 1:10,70,,180,0,elemen-medicine
治療薬類,Remedy,状態異常回復,Status Recovery,息継ぎ薬,,3020407,Lung Drops,気道を通す秘薬（効果：静寂＋中毒の回復） リキャストタイム:1:20,removes Silence + Poison; recast 1:20,80,,240,0,elemen-medicine
治療薬類,Remedy,状態異常回復,Status Recovery,強心薬,,3020408,Heart Drops,鼓動を促す秘薬（効果：麻痺＋中毒の回復） リキャストタイム:1:20,removes Paralysis + Poison; recast 1:20,80,,240,0,elemen-medicine
治療薬類,Remedy,状態異常回復,Status Recovery,金の針,,3020409,Gold Needle,石化を治癒する魔法の針 リキャストタイム:1:20,cures Petrification; recast 1:20,80,,240,0,elemen-medicine
治療薬類,Remedy,状態異常回復,Status Recovery,軍用再生薬,◆◆,3020411,Company-issue Expectorant,フェニックスの尾を用いた粉薬［一定確率で目標を行動不能から蘇生］ リキャストタイム:0:05,chance-based raise from KO; recast 0:05,5,,5,0,elemen-medicine
治療薬類,Remedy,状態異常回復,Status Recovery,軍用蘇生薬,◆◆,3020412,Company-issue Tonic,フェニックスの尾を用いた高品質粉薬［目標を行動不能から蘇生］ リキャストタイム:0:05,raise from KO; recast 0:05,5,,5,0,elemen-medicine
精魂薬類,Restorative,MP回復,MP Recovery,エーテル,,3020101,Ether,MP回復量:＋40%(上限 100) リキャストタイム:4:00,MP Regen:+40%(cap 100) Recast Time:4:00,240,,240,0,elemen-medicine
精魂薬類,Restorative,MP回復,MP Recovery,ハイエーテル,,3020102,Hi-ether,MP回復量:＋30%(上限 300) リキャストタイム:4:30,MP Regen:+30%(cap 300) Recast Time:4:30,270,,270,0,elemen-medicine
精魂薬類,Restorative,MP回復,MP Recovery,メガエーテル,,3020103,Mega-ether,MP回復量:＋20%(上限 600) リキャストタイム:5:00,MP Regen:+20%(cap 600) Recast Time:5:00,300,,300,0,elemen-medicine
精魂薬類,Restorative,MP回復,MP Recovery,ファイアエーテル,,3020105,Fire Ether,MP回復量:＋30%(上限 50) リキャストタイム:5:00,MP Regen:+30%(cap 50) Recast Time:5:00,300,,300,0,elemen-medicine
精魂薬類,Restorative,MP回復,MP Recovery,ウォーターエーテル,,3020106,Water Ether,MP回復量:＋30%(上限 50) リキャストタイム:5:00,MP Regen:+30%(cap 50) Recast Time:5:00,300,,300,0,elemen-medicine
精魂薬類,Restorative,MP回復,MP Recovery,ウィンドエーテル,,3020107,Wind Ether,MP回復量:＋30%(上限 50) リキャストタイム:5:00,MP Regen:+30%(cap 50) Recast Time:5:00,300,,300,0,elemen-medicine
