category_jp,category_en,title_jp,display_text_jp,event_item_jp,event_item_en_client,client_item_id
クエスト,Quest,クエスト「降臨？ 賢者のタマゴ！ （リムサ・ロミンサ）」をクリア！,[Your Name] がクエスト「降臨？ 賢者のタマゴ！ （リムサ・ロミンサ）」をクリアしました！,,,
クエスト,Quest,クエスト「賢者の卵 奪還大作戦 （リムサ・ロミンサ）」をクリア！,[Your Name] がクエスト「賢者の卵 奪還大作戦 （リムサ・ロミンサ）」をクリアしました！,,,
クエスト,Quest,クエスト「降臨？ 賢者のタマゴ！ （グリダニア）」をクリア！,[Your Name] がクエスト「降臨？ 賢者のタマゴ！ （グリダニア）」をクリアしました！,,,
クエスト,Quest,クエスト「賢者の卵 奪還大作戦 （グリダニア）」をクリア！,[Your Name] がクエスト「賢者の卵 奪還大作戦 （グリダニア）」をクリアしました！,,,
クエスト,Quest,クエスト「降臨？ 賢者のタマゴ！ （ウルダハ）」をクリア！,[Your Name] がクエスト「降臨？ 賢者のタマゴ！ （ウルダハ）」をクリアしました！,,,
クエスト,Quest,クエスト「賢者の卵 奪還大作戦 （ウルダハ）」をクリア！,[Your Name] がクエスト「賢者の卵 奪還大作戦 （ウルダハ）」をクリアしました！,,,
クエスト,Quest,クエスト「紅蓮祭 -大炎獣ボンバード登場！-」をクリア！,[Your Name] がクエスト「紅蓮祭 -大炎獣ボンバード登場！-」をクリアしました！,,,
クエスト,Quest,クエスト「守護天節 -いたずらインプ大脱走！-」をクリア！,[Your Name] がクエスト「守護天節 -いたずらインプ大脱走！-」をクリアしました！,,,
クエスト,Quest,クエスト「星芒祭/雪人の儀」をクリア！,[Your Name] がクエスト「星芒祭/雪人の儀」をクリアしました！,,,
クエスト,Quest,クエスト「降神祭/消えた雪人」をクリア！,[Your Name] がクエスト「降神祭/消えた雪人」をクリアしました！,,,
クエスト,Quest,クエスト「再びのエッグハント」をクリア！,[Your Name] がクエスト「再びのエッグハント」をクリアしました！,,,
クエスト,Quest,クエスト「紅蓮祭 -大炎獣ボンバードの逆襲！-」をクリア！,[Your Name] がクエスト「紅蓮祭 -大炎獣ボンバードの逆襲！-」をクリアしました！,,,
クエスト,Quest,アビリティ「アイアンストーム」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「アイアンストーム」を獲得しました！,,,
クエスト,Quest,アビリティ「アセンブル」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「アセンブル」を獲得しました！,,,
クエスト,Quest,アビリティ「アックスマンシップ」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「アックスマンシップ」を獲得しました！,,,
クエスト,Quest,アビリティ「インスピレーション」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「インスピレーション」を獲得しました！,,,
クエスト,Quest,アビリティ「インティミデート」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「インティミデート」を獲得しました！,,,
クエスト,Quest,アビリティ「インプロヴァイズ」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「インプロヴァイズ」を獲得しました！,,,
クエスト,Quest,アビリティ「インペール」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「インペール」を獲得しました！,,,
クエスト,Quest,アビリティ「ウィル・トゥ・パワー」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ウィル・トゥ・パワー」を獲得しました！,,,
クエスト,Quest,アビリティ「ウィル・トゥ・パワーII」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「ウィル・トゥ・パワーII」を獲得しました！,,,
クエスト,Quest,アビリティ「海人の敏」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「海人の敏」を獲得しました！,,,
クエスト,Quest,アビリティ「裏拳」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「裏拳」を獲得しました！,,,
クエスト,Quest,アビリティ「エクストラポレーション」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「エクストラポレーション」を獲得しました！,,,
クエスト,Quest,アビリティ「エレメンタルアピール」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「エレメンタルアピール」を獲得しました！,,,
クエスト,Quest,アビリティ「エレメンタルシュラウド」を獲得しました！,[Your Name] がギルドポイントを利用してアビリティ「エレメンタルシュラウド」を獲得しました！,,,
