level,physical_bonus_point,physical_bonus_max_per_attribute,quest_main_jp,quest_class_jp,leve_regional_jp,leve_local_jp,exp_to_next_level,next_level
1,-,-,-,-,-,-,570,2
2,-,-,-,-,-,-,700,3
3,-,-,-,-,-,-,880,4
4,-,-,-,-,-,-,1100,5
5,-,-,-,-,新規追加,新規追加,1500,6
6,-,-,-,-,-,-,1800,7
7,-,-,-,-,-,-,2300,8
8,-,-,新規追加,-,-,-,3200,9
9,-,-,-,-,-,-,4300,10
10,5,3,-,-,-,新規追加,5000,11
11,6,3,-,-,-,-,5900,12
12,7,4,-,-,-,-,6800,13
13,8,4,新規追加,-,-,-,7700,14
14,9,5,-,-,-,-,8700,15
15,10,5,-,-,新規追加,新規追加,9700,16
16,11,6,-,-,-,-,11000,17
17,12,6,-,-,-,-,12000,18
18,13,7,新規追加,-,-,-,13000,19
19,14,7,-,-,-,-,15000,20
20,15,8,-,発生,-,新規追加,16000,21
21,16,8,-,-,-,-,20000,22
22,17,9,新規追加,-,-,-,22000,23
23,18,9,-,-,-,-,23000,24
24,19,10,-,-,-,-,25000,25
25,20,10,-,-,新規追加,新規追加,27000,26
26,21,11,-,-,-,-,29000,27
27,22,11,-,-,-,-,31000,28
28,23,12,-,-,-,-,33000,29
29,24,12,-,-,-,-,35000,30
30,25,13,新規追加,追加,-,新規追加,38000,31
31,26,13,-,-,-,-,45000,32
32,27,14,-,-,-,-,47000,33
33,28,14,-,-,-,-,50000,34
34,29,15,新規追加,-,-,-,53000,35
35,30,15,-,-,新規追加,新規追加,56000,36
36,31,16,-,追加,-,-,59000,37
37,32,16,-,-,-,-,62000,38
38,33,17,新規追加,-,-,-,65000,39
39,34,17,-,-,-,-,68000,40
40,35,18,-,-,-,新規追加,71000,41
41,36,18,-,-,-,-,74000,42
42,37,19,新規追加,-,-,-,78000,43
43,38,19,-,-,-,-,81000,44
44,39,20,-,-,-,-,85000,45
45,40,20,-,-,-,新規追加,89000,46
46,41,21,新規追加,-,-,-,92000,47
47,42,21,-,-,-,-,96000,48
48,43,22,-,-,-,-,100000,49
49,44,22,-,-,-,-,100000,50
50,45,23,-,-,-,-,110000,51
