level,party_size,max_base_exp,estimated
1,1,225,no
2,1,225,no
3,1,225,no
4,1,225,no
5,1,225,no
6,1,225,no
7,1,225,no
8,1,225,no
9,1,225,no
10,1,300,no
11,1,300,no
12,1,300,no
13,1,300,no
14,1,300,no
15,1,300,no
16,1,300,no
16,2,225,no
16,3,200,yes
17,1,300,no
17,2,225,no
17,3,200,yes
18,1,300,no
18,2,225,no
18,3,200,yes
19,1,320,no
19,2,240,no
19,3,214,no
20,1,425,no
20,2,319,no
20,3,284,no
21,1,450,no
21,2,338,no
21,3,300,no
22,1,475,no
22,2,357,no
22,3,317,no
23,1,500,no
23,2,375,no
23,3,334,no
24,1,525,no
24,2,394,no
24,3,350,yes
25,1,550,no
25,2,413,no
25,3,367,yes
26,1,575,no
26,2,432,no
26,3,384,no
27,1,575,no
28,1,600,no
29,1,625,no
30,1,780,no
30,2,585,no
30,3,520,yes
31,1,810,no
31,2,608,no
31,3,540,yes
32,1,840,no
32,2,630,no
32,3,560,yes
33,1,870,no
33,2,653,no
33,3,580,yes
34,1,900,no
34,2,675,no
34,3,600,yes
35,1,930,no
35,2,698,no
35,3,620,yes
35,4,582,yes
36,1,960,no
36,2,720,yes
36,3,640,yes
36,4,560,no
37,1,990,no
37,2,743,yes
37,3,660,yes
38,1,1020,no
38,2,765,yes
38,3,680,yes
39,1,1050,no
39,2,788,yes
39,3,700,yes
40,1,1080,no
40,2,810,yes
40,3,720,yes
