street_jp,street_en,level_band,reduced_categories_jp
フリー,Free,,日用品、異民族通貨。
ファイター,Fighter,,佩剣類（主武器）、闘器類（主武器）、大斧類（主武器）、長槍類（主武器）、 弓類（主武器）、盾類（副武器）、矢類（携帯）、投剣類（投擲武器）、 投石類（投擲武器）、投輪類（投擲武器）、投斧類（投擲武器）、投槍類（投擲武器）。
ソーサラー,Sorcerer,,小型幻具類（主魔器）、大型幻具類（主魔器）、小型呪具類（主魔器）、大型呪具類（主魔器）。
ギャザラー,Gatherer,,採掘具類（主用具）、採掘具類（副用具）、園芸具類（主用具）、園芸具類（副用具）、 漁具類（主用具）、漁具類（副用具）、釣りエサ類（携帯）、ルアー類（携帯）。
クラフター,Crafter,,木工具類（主道具）、木工具類（副道具）、鍛冶具類（主道具）、鍛冶具類（副道具）、 板金具類（主道具）、板金具類（副道具）、彫金具類（主道具）、彫金具類（副道具）、 革工具類（主道具）、革工具類（副道具）、裁縫具類（主道具）、裁縫具類（副道具）、 実験具類（主道具）、実験具類（副道具）、調理具類（主道具）、調理具類（副道具）。
アーマー,Armor,,冑類（頭防具）、胸甲類（胴防具）、戦衣類（胴防具）、籠手類（手防具）、 足甲類（足防具）。
ローファッション,Low Fashion,レベル1～20,帽子類（頭防具）、頭衣類（頭防具）、仮面類（頭防具）、胴着類（インナー）、 外衣類（胴防具）、オーバー類（胴防具）、脚着類（インナー）、脚衣類（脚防具）、 手袋類（手防具）、腕輪類（手防具）、靴類（足防具）、サンダル類（足防具）、 ベルト類（帯防具）、サッシュ類（帯防具）。
ミドルファッション,Middle Fashion,レベル21～40,帽子類（頭防具）、頭衣類（頭防具）、仮面類（頭防具）、胴着類（インナー）、 外衣類（胴防具）、オーバー類（胴防具）、脚着類（インナー）、脚衣類（脚防具）、 手袋類（手防具）、腕輪類（手防具）、靴類（足防具）、サンダル類（足防具）、 ベルト類（帯防具）、サッシュ類（帯防具）。
ハイファッション,High Fashion,レベル41以上,帽子類（頭防具）、頭衣類（頭防具）、仮面類（頭防具）、胴着類（インナー）、 外衣類（胴防具）、オーバー類（胴防具）、脚着類（インナー）、脚衣類（脚防具）、 手袋類（手防具）、腕輪類（手防具）、靴類（足防具）、サンダル類（足防具）、 ベルト類（帯防具）、サッシュ類（帯防具）。
アクセサリ,Accessory,,首輪類（アクセサリ）、耳輪類（アクセサリ）、腕輪類（アクセサリ）、指輪類（アクセサリ）、 冠類（頭防具）、眼鏡類（頭防具）。
フード,Food,,肉料理、卵料理、穀物料理、野菜料理、 キノコ料理、菓子、飲料、魚介料理、 スープ＆シチュー、卵類、乳酪類、野菜類、 穀類、スパイス＆ハーブ、果実類、キノコ類、 調味料、加工食材、川魚介類、海魚介類、 食肉類。
ポーション,Potion,,回復薬類、治療薬類、精魂薬類、毒薬類、 霊薬類、錬金材類、染料類、塗料類、 油類。
メタル,Metal,,金属材類、金属塊類、金属板類、金属線類、 ウェポンパーツ類、ウェポンヘッド類、ウェポンバット類、ウェポングリップ類、 矢尻類、矢柄類、釣り針類、鎖かたびら部品類、 防具金属部品、金具。
ウッド,Wood,,原木類、材木類、板材類。
レザー,Leather,,粗皮類、なめし革類、毛皮類、防具毛皮部品、 防具革部品、靴類部品、骨角類、爪牙類、 羽翼類、甲鱗類。
ストーン,Stone,,鉱物類、石材類、宝石類。
クロス,Cloth,,繊維類、織物類、オーバー用布部品類、胴用布部品類、 下着用布部品類、袖布部品類、前身頃布部品類、後ろ身頃布部品類、 防具布部品、羽毛類、矢羽類、防護部品類。
クリスタル,Crystal,,水晶類、触媒類、マテリア。
リペア,Repair,,--
