weather_icon,name_jp,name_en_client,client_fixedphrase_id,match_note
weather1,快晴,clear,2028,
weather2,晴れ,fair,2029,
weather3,曇り,cloudy,2030,
weather4,霧,foggy,2031,
weather6,雨,rainy,2033,
weather5,暴風,blustery,2032,
weather7,雷雨,stormy,2034,
weather8,砂嵐,sandy,2035,
weather9,妖霧,gloomy,2036,
weather10,,,,unknown-on-source
weather11,,,,unknown-on-source
weather12,,,,unknown-on-source
weather13,,,,unknown-on-source
weather14,,,,unknown-on-source
weather15,,,,unknown-on-source
weather16,,,,unknown-on-source
weather17,,,,unknown-on-source
weather18,,,,unknown-on-source
weather19,,,,unknown-on-source
