category,group,quest_name_jp,quest_name_en_client,client_quest_id,recommended_level,exp_reward,exp_class,name_match_note
main,リムサ・ロミンサ,姿なき声,Shapeless Melody,110001,1,,,
main,リムサ・ロミンサ,碧海の宝,Treasures of the Main,110002,1,200,,
main,リムサ・ロミンサ,リムレーンの伝説,Legends Adrift,110003,8,300,,
main,リムサ・ロミンサ,別想,Never the Twain Shall Meet,110004,13,500,,
main,グリダニア,降り注ぐ光,Sundered Skies,110005,1,,,
main,グリダニア,眠れる鬼,Souls Gone Wild,110006,1,200,,
main,グリダニア,那由他の精霊,Whispers in the Wood,110007,8,300,,
main,グリダニア,招かれざる客,Beckon of the Elementals,110008,13,500,,
main,ウルダハ,ほむらの日,Flowers for All,110009,1,,,
main,ウルダハ,太陽の都,Court in the Sands,110010,1,200,,
main,ウルダハ,小さな犠牲,Golden Sacrifices,110011,8,300,,
main,ウルダハ,災厄来たれり,Calamity Cometh,110012,13,500,,
main,共通,ある始まり,Fade to White,110013,18,6500,,
main,共通,決死の救出作戦,Together We Stand,110014,22,11000,,
main,共通,利害の調停者,Toll of the Warden,110015,30,19000,,
main,共通,異質なるもの,Forever Taken,110016,34,26500,,
main,共通,炎獄の神,Lord Errant,110017,38,32500,,
main,共通,アラミゴ解放軍,Of Men They Sing,110018,42,39000,,
main,共通,重なる未来,Futures Perfect,110019,46,46000,,
sub,リムサ・ロミンサ,メルヴァン税関公社の失敗,Assessing the Damage,110633,20,1440,,
sub,リムサ・ロミンサ,希望の橋,Bridging the Gap,110634,10,300,,
sub,リムサ・ロミンサ,バラクーダの復讐,Revenge on the Reavers,110636,45,5340,,
sub,リムサ・ロミンサ,愛情たっぷり,Till Death Do Us Part,110638,20,1440,,
sub,リムサ・ロミンサ,海賊うっかり,Beryl Overboard,110639,20,1440,,
sub,リムサ・ロミンサ,息子の消息,Have You Seen My Son,110640,30,3040,,
sub,リムサ・ロミンサ,気合がっつり,Food for Thought,110641,20,1120,,
sub,リムサ・ロミンサ,お魚革命,Fishing for Answers,110643,25,1891,,
sub,リムサ・ロミンサ,バラクーダ騎士団特務,The Tug of the Whorl,110653,5,200,,
sub,リムサ・ロミンサ,海風の警告,Winds of Change,110744,15,500,,
sub,リムサ・ロミンサ,荒波を撃ち抜く弾丸,Shot Through the Heart,110745,21,1401,,
sub,リムサ・ロミンサ,潮騒が運ぶ幸福,What a Pirate Wants,110746,15,500,,
sub,リムサ・ロミンサ,奇妙なファンレター,Trading Tongueflaps,110771,5,200,,
sub,リムサ・ロミンサ,オライオン号のおいしい積み荷,Letting Out Orion's Belt,110772,10,300,,
sub,リムサ・ロミンサ,芳しき海の男,Sniffing Out a Profit,110774,37,3100,,
sub,リムサ・ロミンサ,霊窟にて待つ試練,Call of Booty,110810,15,500,,
sub,リムサ・ロミンサ,宿屋「ミズンマスト」のお得意様,The Ink Thief,110838,1,200,,
sub,リムサ・ロミンサ,対価の報い,Private Eyes,110839,15,500,,
sub,リムサ・ロミンサ,降臨？ 賢者のタマゴ！ （リムサ・ロミンサ）,The Dreamer's Gospel (Limsa Lominsa),110804,5,,,
sub,リムサ・ロミンサ,賢者の卵 奪還大作戦 （リムサ・ロミンサ）,The Dreamer's Dilemma (Limsa Lominsa),110805,5,,,site char-variant vs client
sub,ラノシア,さざなみの音色,Seashells by the Seashore,110642,20,1120,,
sub,ラノシア,月の胸騒ぎ,Moonstruck,110644,20,1280,,
sub,ラノシア,黒い関係,A Misty Past,110646,17,841,,
sub,ラノシア,彫刻家の野望,Carving a Name,110648,47,4800,,
sub,ラノシア,海賊様のワイン,Sour Grapes,110773,17,841,,
sub,グリダニア,業火の試練,"Ifrit Bleeds, We Can Kill It",110627,45,5340,,
sub,グリダニア,道化の饗宴,A Feast of Fools,110816,45,5340,,
sub,グリダニア,旋風の試練,Taming the Tempest,110867,45,5340,,
sub,グリダニア,夜道に注意,Proceed with Caution,110654,10,300,,
sub,グリダニア,猛る炎,Playing with Fire,110655,15,500,,
sub,グリダニア,お野菜革命,A Well-Balanced Diet,110656,25,1891,,
sub,グリダニア,いたずらの序曲,The Penultimate Prank,110658,30,2661,,
sub,グリダニア,伝説のシクサ,The Search for Sicksa,110659,10,300,,
sub,グリダニア,いたずらの輪舞曲,The Ultimate Prank,110660,35,3360,,
sub,グリダニア,息子の苦闘,Say it with Wolf Tails,110662,30,3040,,
sub,グリダニア,失われた日記,Embarrassing Excerpts,110663,30,2661,,
sub,グリダニア,原初の呼応,Stone Deaf,110666,18,1170,,
sub,グリダニア,森に仇なす者,Hunting the Hunters,110667,24,1751,,
sub,グリダニア,商機を握る豆,To Deskunk a Beer,110668,31,2700,,
sub,グリダニア,盗まれし魂,Losing One's Thread,110669,25,2430,,
sub,グリダニア,三重の幻術皇,Seeing the Seers,110674,5,200,,
sub,グリダニア,収穫奉納祭事,Scrubbing the Soul,110735,15,500,,
sub,グリダニア,定めにあらがう乙女,Disorganized Crime,110736,21,1401,,
sub,グリダニア,マルセットの「スプリガンのひみつ」,In the Name of Science,110762,10,300,,
sub,グリダニア,神々の声はかく語りき,Hearing Confession,110763,10,300,,
sub,グリダニア,良薬口に苦し,A Bitter Oil to Swallow,110764,17,960,,
sub,グリダニア,マルセットの「ファンガーのひみつ」,Spores on the Brain,110765,11,500,,
sub,グリダニア,銀波に消えた秘宝,A Slippery Stone,110737,15,500,,
sub,グリダニア,旅館「とまり木」の約束,Waste Not Want Not,110828,1,200,,
sub,グリダニア,暗中の光明,In Plain Sight,110829,15,500,,
sub,グリダニア,降臨？ 賢者のタマゴ！ （グリダニア）,The Dreamer's Gospel (Gridania),110794,5,,,
sub,グリダニア,賢者の卵 奪還大作戦 （グリダニア）,The Dreamer's Dilemma (Gridania),110795,5,,,site char-variant vs client
sub,グリダニア,おわりの名は希望 new!,Living on a Prayer,110869,45,5340,,site suffix/space variant
sub,グリダニア,紅月下の闘い new!,"The Raven, Nevermore",110870,45,5340,,site suffix/space variant
sub,黒衣森,秘められた想い,A Forbidden Love,110664,30,2661,,
sub,黒衣森,誰がための祈り,Last Respects,110665,40,4260,,
sub,黒衣森,蘇る古の武器,A Relic Reborn,110868,50,4400,,
sub,ウルダハ,扉を叩くモノ,A Knock in the Night,110675,35,3360,,
sub,ウルダハ,眠れない冒険者たち,Sleepless in Eorzea,110676,10,300,,
sub,ウルダハ,お偉い呪術士先生,Dressed to Be Killed,110677,45,5340,,
sub,ウルダハ,すべてはお客様のために,The Customer Comes First,110679,30,2661,,
sub,ウルダハ,ミリオンシード,An Inconvenient Dodo,110680,15,500,,
