item_jp,item_en_client,client_item_id,item_match_note,seller_npc_jp,seller_npc_en_client,client_npc_id,npc_match_note,seller_city_region,seller_area,x,y,source_price
アースクラスター,Earth Cluster,1000018,,主計要員ウックトレッド,Uchtred,1000344,,ラノシア,エールポート,12,23,"31,500/26,250/21,000（備蓄ランク0/1/2）"
アースクラスター,Earth Cluster,1000018,,主計要員オスカルレ,Oscarlet,1200125,,黒衣森,ハーストミル,25,13,"31,500/26,250/21,000（備蓄ランク0/1/2）"
アースクラスター,Earth Cluster,1000018,,主計要員セセリック,Seserikku,1400039,,ザナラーン,ゴールドバザー,39,19,"31,500/26,250/21,000（備蓄ランク0/1/2）"
アイスクラスター,Ice Cluster,1000016,,主計要員ウックトレッド,Uchtred,1000344,,ラノシア,エールポート,12,23,"31,500/26,250/21,000（備蓄ランク0/1/2）"
アイスクラスター,Ice Cluster,1000016,,主計要員オスカルレ,Oscarlet,1200125,,黒衣森,ハーストミル,25,13,"31,500/26,250/21,000（備蓄ランク0/1/2）"
アイスクラスター,Ice Cluster,1000016,,主計要員セセリック,Seserikku,1400039,,ザナラーン,ゴールドバザー,39,19,"31,500/26,250/21,000（備蓄ランク0/1/2）"
ウィンドクラスター,Wind Cluster,1000017,,主計要員ウックトレッド,Uchtred,1000344,,ラノシア,エールポート,12,23,"31,500/26,250/21,000（備蓄ランク0/1/2）"
ウィンドクラスター,Wind Cluster,1000017,,主計要員オスカルレ,Oscarlet,1200125,,黒衣森,ハーストミル,25,13,"31,500/26,250/21,000（備蓄ランク0/1/2）"
ウィンドクラスター,Wind Cluster,1000017,,主計要員セセリック,Seserikku,1400039,,ザナラーン,ゴールドバザー,39,19,"31,500/26,250/21,000（備蓄ランク0/1/2）"
ウォータークラスター,Water Cluster,1000020,,主計要員ウックトレッド,Uchtred,1000344,,ラノシア,エールポート,12,23,"31,500/26,250/21,000（備蓄ランク0/1/2）"
ウォータークラスター,Water Cluster,1000020,,主計要員オスカルレ,Oscarlet,1200125,,黒衣森,ハーストミル,25,13,"31,500/26,250/21,000（備蓄ランク0/1/2）"
ウォータークラスター,Water Cluster,1000020,,主計要員セセリック,Seserikku,1400039,,ザナラーン,ゴールドバザー,39,19,"31,500/26,250/21,000（備蓄ランク0/1/2）"
ファイアクラスター,Fire Cluster,1000015,,主計要員ウックトレッド,Uchtred,1000344,,ラノシア,エールポート,12,23,"31,500/26,250/21,000（備蓄ランク0/1/2）"
ファイアクラスター,Fire Cluster,1000015,,主計要員オスカルレ,Oscarlet,1200125,,黒衣森,ハーストミル,25,13,"31,500/26,250/21,000（備蓄ランク0/1/2）"
ファイアクラスター,Fire Cluster,1000015,,主計要員セセリック,Seserikku,1400039,,ザナラーン,ゴールドバザー,39,19,"31,500/26,250/21,000（備蓄ランク0/1/2）"
ライトニングクラスター,Lightning Cluster,1000019,,主計要員ウックトレッド,Uchtred,1000344,,ラノシア,エールポート,12,23,"31,500/26,250/21,000（備蓄ランク0/1/2）"
