zone_slug,zone_jp,adjacent_jp,adjacent_en_client,adjacent_place_id,transport_jp,transport_en,name_match_note
LimsaLominsa,リムサ・ロミンサ,ラノシア,La Noscea,102,,walk,
LimsaLominsa,リムサ・ロミンサ,メルトール海峡,Strait of Merlthor,113,定期船,ferry,
LimsaLominsa,リムサ・ロミンサ,グリダニア,Gridania,2001,飛空艇,airship,
LimsaLominsa,リムサ・ロミンサ,ウルダハ,Ul'dah,3051,飛空艇,airship,
Ishgard,イシュガルド,クルザス,Coerthas,105,,walk,
Gridania,グリダニア,リムサ・ロミンサ,Limsa Lominsa,1051,飛空艇,airship,
Gridania,グリダニア,黒衣森,The Black Shroud,104,,walk,
Gridania,グリダニア,ウルダハ,Ul'dah,3051,飛空艇,airship,
Ul_dah,ウルダハ,リムサ・ロミンサ,Limsa Lominsa,1051,飛空艇,airship,
Ul_dah,ウルダハ,グリダニア,Gridania,2001,飛空艇,airship,
Ul_dah,ウルダハ,ザナラーン,Thanalan,103,,walk,
LaNoscea,ラノシア,リムサ・ロミンサ,Limsa Lominsa,1051,,walk,
LaNoscea,ラノシア,霧髭入江,Mistbeard Cove,1101,,walk,
LaNoscea,ラノシア,浮海月の巌穴,Cassiopeia Hollow,1113,,walk,
LaNoscea,ラノシア,シュポシェの霊窟,Shposhae,1122,,walk,
LaNoscea,ラノシア,ウ・ガマロ武装鉱山,U'Ghamaro Mines,1125,,walk,
Coerthas,クルザス,イシュガルド,Ishgard,4001,,walk,
Coerthas,クルザス,ゼーメル要塞,Dzemael Darkhold,4102,,walk,
Coerthas,クルザス,オーラムヴェイル,The Aurum Vale,4104,,walk,
Coerthas,クルザス,黒衣森,The Black Shroud,104,,walk,
Coerthas,クルザス,モードゥナ,Mor Dhona,106,,walk,
BlackShroud,黒衣森（コクエノモリ）,グリダニア,Gridania,2001,,walk,
BlackShroud,黒衣森（コクエノモリ）,タムタラの墓所,The Tam[@1F]Tara Deepcroft,2113,,walk,
BlackShroud,黒衣森（コクエノモリ）,ムントゥイ醸造庫,The Mun[@1F]Tuy Cellars,2101,,walk,
BlackShroud,黒衣森（コクエノモリ）,トトラクの千獄,The Thousand Maws of Toto[@1F]Rak,2123,,walk,
BlackShroud,黒衣森（コクエノモリ）,クルザス,Coerthas,105,,walk,
BlackShroud,黒衣森（コクエノモリ）,ザナラーン,Thanalan,103,,walk,
BlackShroud,黒衣森（コクエノモリ）,モードゥナ,Mor Dhona,106,,walk,
Thanalan,ザナラーン,メルトール海峡,Strait of Merlthor,113,定期船,ferry,
Thanalan,ザナラーン,ウルダハ,Ul'dah,3051,,walk,
Thanalan,ザナラーン,ナナワ銀山,Nanawa Mines,3101,,walk,
Thanalan,ザナラーン,カッパーベル銅山,Copperbell Mines,3112,,walk,
Thanalan,ザナラーン,カッターズクライ,Cutter's Cry,3123,,walk,
Thanalan,ザナラーン,黒衣森,The Black Shroud,104,,walk,
Thanalan,ザナラーン,モードゥナ,Mor Dhona,106,,walk,
MorDhona,モードゥナ,クルザス,Coerthas,105,,walk,
MorDhona,モードゥナ,黒衣森,The Black Shroud,104,,walk,
MorDhona,モードゥナ,ザナラーン,Thanalan,103,,walk,
MistbeardCove,霧髭入江,ラノシア,La Noscea,102,,walk,
CassiopeiaHollow,浮海月の巌穴,ラノシア,La Noscea,102,,walk,
U_GhamaroMines,ウ・ガマロ武装鉱山,ラノシア,La Noscea,102,,walk,
Shposhae,シュポシェの霊窟,ラノシア,La Noscea,102,,walk,
StraitofMerlthor,メルトール海峡,リムサ・ロミンサ,Limsa Lominsa,1051,,walk,
StraitofMerlthor,メルトール海峡,ザナラーン,Thanalan,103,,walk,
DzemaelDarkhold,ゼーメル要塞,クルザス,Coerthas,105,,walk,
TheAurumVale,オーラムヴェイル,クルザス,Coerthas,105,,walk,
TheMun-TuyCellars,ムントゥイ醸造庫,黒衣森,The Black Shroud,104,,walk,
TheTam-TaraDeepcroft,タムタラの墓所,黒衣森,The Black Shroud,104,,walk,
TheThousandMawsofToto-Rak,トトラクの千獄,黒衣森,The Black Shroud,104,,walk,
NanawaMines,ナナワ銀山,ザナラーン,Thanalan,103,,walk,
CopperbellMines,カッパーベル銅山,ザナラーン,Thanalan,103,,walk,
Cutter_sCry,カッターズクライ,ザナラーン,Thanalan,103,,walk,
