zone_slug,zone_jp,aetheryte_jp,aetheryte_en_client,aetheryte_place_id,gil_cost,served_landmarks_jp,served_landmarks_en_client,name_match_note
LimsaLominsa,リムサ・ロミンサ,リムサ・ロミンサ,Limsa Lominsa,1051,,,,
Gridania,グリダニア,グリダニア,Gridania,2001,,,,
Ul_dah,ウルダハ,ウルダハ,Ul'dah,3051,,,,
LaNoscea,ラノシア,キャンプ・ビアデッドロック,Camp Bearded Rock,1014,500,シダーウッド / ウィドークリフ / モラビー湾,Cedarwood / Widow Cliffs / Moraby Bay,
LaNoscea,ラノシア,キャンプ・スカルバレー,Camp Skull Valley,1018,1000,ささやきの谷,Woad Whisper Canyon,
LaNoscea,ラノシア,キャンプ・バルドノール,Camp Bald Knoll,1020,4000,幻影諸島 / 霧髭入江,The Isles of Umbra / Mistbeard Cove,
LaNoscea,ラノシア,キャンプ・ブラッドショア,Camp Bloodshore,1022,2000,虎冑島 / サウス・ブラッドショア / アジェレス旧街道 / 浮海月の巌穴,Tiger Helm Island / South Bloodshore / Agelyss Wise / Cassiopeia Hollow,
LaNoscea,ラノシア,キャンプ・アイアンレイク,Camp Iron Lake,1026,4000,ゼルマ山道 / 石緑湖 / オークウッド,Zelma's Run / Bronze Lake / Oakwood,
Coerthas,クルザス,キャンプ・ドラゴンヘッド,Camp Dragonhead,4014,4000,巨石の丘 / 紅炎台 / フェザーゴージ,Boulder Downs / Prominence Point / Feathergorge,
Coerthas,クルザス,キャンプ・クルケッドフォーク,Camp Crooked Fork,4018,4000,白妙渓谷 / 黙思の林 / 落龍坡,Maiden Glen / Hushed Boughs / Scarwing Fall,
Coerthas,クルザス,キャンプ・グローリー,Camp Glory,4022,3000,幽谷 / ダークスケール湖畔,Weeping Vale / Clearwater,
Coerthas,クルザス,キャンプ・エバーレイクス,Camp Ever Lakes,4025,5000,テリガン陣址 / 羊飼いの頂 / フェルウッド,Teriggan's Stand / Shepherd Peak / Fellwood,
Coerthas,クルザス,キャンプ・リバーズミート,Camp Riversmeet,4029,4000,帝龍泊 / 槍峡 / ツインプールズ,Wyrmking's Perch / The Lance / Twinpools,
BlackShroud,黒衣森（コクエノモリ）,キャンプ・ベントブランチ,Camp Bentbranch,2017,500,妖精の火床 / スカンポの安息所 / 鹿落五橋 / タムタラの墓所,Humblehearth / Sorrel Haven / Five Hangs / The Tam[@1F]Tara Deepcroft,
BlackShroud,黒衣森（コクエノモリ）,キャンプ・ナインアイビー,Camp Nine Ivies,2021,4000,青翠の奈落 / 大山猫の縄張り / ラークスコール,Verdant Drop / Lynxpelt Patch / Larkscall,
BlackShroud,黒衣森（コクエノモリ）,キャンプ・エメラルドモス,Camp Emerald Moss,2025,1000,ひそひそ木立 / アルダースプリングズ / 廃砦 / ムントゥイ醸造庫,Treespeak / Alder Springs / Lasthold / The Mun[@1F]Tuy Cellars,
BlackShroud,黒衣森（コクエノモリ）,キャンプ・クリムゾンバーク,Camp Crimson Bark,2029,5000,地衣の殿 / さざめき川 / 紅の樹帯,Lichenweed / Murmur Rills / Turning Leaf,
BlackShroud,黒衣森（コクエノモリ）,キャンプ・トランキル,Camp Tranquil,2033,2000,沈黙の花壇 / 遠根台 / 蛇殻林,Silent Arbor / Longroot / Snakemolt,
Thanalan,ザナラーン,キャンプ・ブラックブラッシュ,Camp Black Brush,3011,500,覇王樹盆地 / 姉妹丘 / ナナワ銀山,Cactus Basin / Four Sisters / Nanawa Mines,
Thanalan,ザナラーン,キャンプ・ドライボーン,Camp Drybone,3014,1000,ハラタリ / バーニングウォール / サンドゲート,Halatali / The Burning Wall / Sandgate,
Thanalan,ザナラーン,キャンプ・ホライズン,Camp Horizon,3018,2000,ノフィカの井戸 / 足跡の谷 / サソリの闘技場 / カッパーベル銅山,Nophica's Wells / The Footfalls / Scorpion Keep / Copperbell Mines,
Thanalan,ザナラーン,キャンプ・ブルーフォグ,Camp Bluefog,3022,5000,隠塞 / 錐峰ヶ原 / ノコギリ峠,Hidden Gorge / Sea of Spires / Cutter's Pass,
Thanalan,ザナラーン,キャンプ・ブロークンウォーター,Camp Broken Water,3026,4000,レッドラビリンス / リザードクリーク / ザンラク,The Red Labyrinth / Burnt Lizard Creek / Zanr'ak,
MorDhona,モードゥナ,キャンプ・ブリトルバーク,Camp Brittlebark,5003,5000,唄う裂谷 / ジャゲッドクレスト洞窟,Singing Shards / Jagged Crest Cave,
MorDhona,モードゥナ,キャンプ・レヴナンツトール,Camp Revenant's Toll,5005,5000,迷霧湿原,Fogfens,
