zone_slug,zone_jp,service_jp,service_type,npc_jp,npc_en_client,client_npc_id,location_area,x,y,name_match_note
LimsaLominsa,リムサ・ロミンサ,修理屋,item-repairer,修理屋ブレートニュー,Braitognieux,1200037,下甲板層,5,5,
LimsaLominsa,リムサ・ロミンサ,修理屋,item-repairer,修理屋レオフルン,Leofrun,1100091,商業区 リペアー街,,,
LimsaLominsa,リムサ・ロミンサ,修理屋,item-repairer,修理屋モルガント,Morgant,1000174,リムサ・ロミンサ交易商会,,,
LimsaLominsa,リムサ・ロミンサ,修理屋,item-repairer,修理屋ティエルモン,Thierremont,1200098,グリダニア交易商会,,,
LimsaLominsa,リムサ・ロミンサ,修理屋,item-repairer,修理屋モモフ,Momofu,1500157,ウルダハ交易商会,,,
LimsaLominsa,リムサ・ロミンサ,リーヴ発行,guildleve-publisher,ピラルノー,Piralnaut,1200001,上甲板層,7,5,
LimsaLominsa,リムサ・ロミンサ,リーヴ発行,guildleve-publisher,チャ・モクリ,T'mokkri,1900059,上甲板層,7,4,
LimsaLominsa,リムサ・ロミンサ,リンクシェル発行,linkshell-manager,ア・シャッコル,A'shakkal,1900036,上甲板層,7,5,
LimsaLominsa,リムサ・ロミンサ,リテイナー雇用,retainer-manager,ウルスリ,Ursulie,1300068,上甲板層,7,5,
LimsaLominsa,リムサ・ロミンサ,リテイナー呼び鈴,retainer-bell,,,,下甲板層,6,5,
LimsaLominsa,リムサ・ロミンサ,リテイナー呼び鈴,retainer-bell,,,,上甲板層,7,5,
LimsaLominsa,リムサ・ロミンサ,リテイナー呼び鈴,retainer-bell,,,,リムサ・ロミンサ交易商会,,,
LimsaLominsa,リムサ・ロミンサ,リテイナー呼び鈴,retainer-bell,,,,グリダニア交易商会,,,
LimsaLominsa,リムサ・ロミンサ,リテイナー呼び鈴,retainer-bell,,,,ウルダハ交易商会,,,
Gridania,グリダニア,修理請負,item-repairer,修理屋メアーラ,Meara,1100208,,8,3,
Gridania,グリダニア,修理請負,item-repairer,修理屋スカルンアビル,Skarnabyl,1600164,辻店区 リペア通り,,,
Gridania,グリダニア,修理請負,item-repairer,修理屋レイジング・ブル,Raging Bull,1600317,リムサ・ロミンサ交易商会,,,
Gridania,グリダニア,修理請負,item-repairer,修理屋ガエール,Gaelle,1300164,グリダニア交易商会,,,
Gridania,グリダニア,修理請負,item-repairer,修理屋ググリヤ,Guguriya,1400196,ウルダハ交易商会,,,
Gridania,グリダニア,リーヴ発行,guildleve-publisher,ゴントラン,Gontrant,1200123,,6,6,
Gridania,グリダニア,リーヴ発行,guildleve-publisher,ティルニー,Tierney,1100218,,6,6,
