zone_slug,zone_jp,category,venue_jp,npc_jp,npc_en_client,client_npc_id,location_area,x,y,implement_patch,name_match_note
LimsaLominsa,リムサ・ロミンサ,ギルドショップ,溺れた海豚亭[冒険者ギルド],武器商ティルスヴェーン,Tylswaen,1600207,上甲板層,7,5,2011年10月5日実装（パッチ1.19）,
LimsaLominsa,リムサ・ロミンサ,ギルドショップ,溺れた海豚亭[冒険者ギルド],防具商ヴェーブアクト,Waebahct,1600215,上甲板層,7,5,2011年10月5日実装（パッチ1.19）,
LimsaLominsa,リムサ・ロミンサ,ギルドショップ,アスタリシア号[斧術士ギルド],武器商エイラード,Aylard,2200044,下甲板層,4,7,2011年10月5日実装（パッチ1.19）,
LimsaLominsa,リムサ・ロミンサ,ギルドショップ,ナルディク＆ヴィメリー社[鍛冶師ギルド][甲冑師ギルド],鍛冶師スミドヘームル,Smydhaemr,1600172,上甲板層,7,7,,
LimsaLominsa,リムサ・ロミンサ,ギルドショップ,ナルディク＆ヴィメリー社[鍛冶師ギルド][甲冑師ギルド],甲冑師ジョエロー,Joellaut,1200058,上甲板層,7,7,,
LimsaLominsa,リムサ・ロミンサ,ギルドショップ,ナルディク＆ヴィメリー社[鍛冶師ギルド][甲冑師ギルド],道具商アドリ,Adri,2200011,上甲板層,7,7,2011年10月5日実装（パッチ1.19）,
LimsaLominsa,リムサ・ロミンサ,ギルドショップ,ナルディク＆ヴィメリー社[鍛冶師ギルド][甲冑師ギルド],道具商マルスラン,Marcelain,1200209,上甲板層,7,7,2011年10月5日実装（パッチ1.19）,
LimsaLominsa,リムサ・ロミンサ,ギルドショップ,レストラン「ビスマルク」[調理師ギルド],調理師ヨッシー,Jossy,1100144,上甲板層,7,3,,
LimsaLominsa,リムサ・ロミンサ,ギルドショップ,レストラン「ビスマルク」[調理師ギルド],道具商レレマキ,Reremaki,1400189,上甲板層,6,3,2011年10月5日実装（パッチ1.19）,
LimsaLominsa,リムサ・ロミンサ,ギルドショップ,網倉[漁師ギルド],漁師ルヴィオヌ,Louviaune,1300050,下甲板層,6,6,,
LimsaLominsa,リムサ・ロミンサ,ギルドショップ,網倉[漁師ギルド],用具商ウンシンヴィルフ,Unsynwilf,1600212,下甲板層,5,6,2011年10月5日実装（パッチ1.19）,
LimsaLominsa,リムサ・ロミンサ,西国際街商通り,網倉[漁師ギルド],雑貨商フスクネー,Fousquenet,1200048,下甲板層,5,5,,
LimsaLominsa,リムサ・ロミンサ,西国際街商通り,網倉[漁師ギルド],貿易商ニストブルム,Nystbyrm,1600128,下甲板層,5,5,,
LimsaLominsa,リムサ・ロミンサ,西国際街商通り,網倉[漁師ギルド],下着屋ティフィナ,Tiphina,1100437,下甲板層,5,5,2011年10月5日実装（パッチ1.19）,
LimsaLominsa,リムサ・ロミンサ,西国際街商通り,網倉[漁師ギルド],木工師シスリー,Sysley,1100429,下甲板層,5,5,,
LimsaLominsa,リムサ・ロミンサ,西国際街商通り,網倉[漁師ギルド],彫金師テテウ,Teteu,1500023,下甲板層,5,5,,
LimsaLominsa,リムサ・ロミンサ,西国際街商通り,網倉[漁師ギルド],用具商ペ・ンドロボ,P'ndolobo,1900002,下甲板層,5,5,,
LimsaLominsa,リムサ・ロミンサ,東国際街商通り,網倉[漁師ギルド],錬金術師ズズデス,Zuzudesu,1400035,下甲板層,6,5,,
LimsaLominsa,リムサ・ロミンサ,東国際街商通り,網倉[漁師ギルド],革細工師アーナルド,Arnald,1000037,下甲板層,6,5,,
LimsaLominsa,リムサ・ロミンサ,東国際街商通り,網倉[漁師ギルド],貿易商キキモ,Kikimo,1500058,下甲板層,6,5,,
LimsaLominsa,リムサ・ロミンサ,東国際街商通り,網倉[漁師ギルド],船乗りス・ナヤック,S'gnayak,1900048,下甲板層,6,5,,
LimsaLominsa,リムサ・ロミンサ,東国際街商通り,網倉[漁師ギルド],裁縫師エオジリー,Eosilie,1300037,下甲板層,6,5,,
LimsaLominsa,リムサ・ロミンサ,ショップ,薬舗「セブンスセージ」,生薬屋ジョ・ランマヤ,Z'ranmaia,1900009,上甲板層,7,3,,
LimsaLominsa,リムサ・ロミンサ,ショップ,魚商「ハイアライン」,魚商ホラスフィス,Holasfhis,1600272,上甲板層,7,6,,
LimsaLominsa,リムサ・ロミンサ,ショップ,銃剣屋「サンダースコール」,魔器商レフレダ,Lefleda,1100089,上甲板層,7,6,,
LimsaLominsa,リムサ・ロミンサ,ショップ,銃剣屋「サンダースコール」,武器商ケリッヒ,Kerrich,1000154,上甲板層,7,6,,
LimsaLominsa,リムサ・ロミンサ,ショップ,リムサ・ロミンサ・ランディング,土産屋チャ・ノギヤ,T'noggya,1900194,リムサ・ロミンサ・ランディング,1,1,2011年10月5日実装（パッチ1.19）,
LimsaLominsa,リムサ・ロミンサ,マーケット,リムサ・ロミンサ・ランディング,武器商アイアンサンダー,Iron Thunder,1600295,商業区 ファイター街,,,2010年12月16日実装（バージョンアップ (2010/12/16)）,
LimsaLominsa,リムサ・ロミンサ,マーケット,リムサ・ロミンサ・ランディング,魔器商ブルーンフォク,Broenfohc,1600048,商業区 ソーサラー街,,,2010年12月16日実装（バージョンアップ (2010/12/16)）,
LimsaLominsa,リムサ・ロミンサ,マーケット,リムサ・ロミンサ・ランディング,用具商シンエイヒル,Syneyhil,1600193,商業区 ギャザラー街,,,2011年10月5日実装（パッチ1.19）,
LimsaLominsa,リムサ・ロミンサ,マーケット,リムサ・ロミンサ・ランディング,道具商ソーラ,Thora,1100436,商業区 クラフター街,,,2011年10月5日実装（パッチ1.19）,
LimsaLominsa,リムサ・ロミンサ,マーケット,リムサ・ロミンサ・ランディング,板金商フェーズギム,Faezghim,1600070,商業区 アーマー街,,,2010年12月16日実装（バージョンアップ (2010/12/16)）,prefix-variant:client=甲冑商フェーズギム
LimsaLominsa,リムサ・ロミンサ,マーケット,リムサ・ロミンサ・ランディング,服屋グ・スンブラ,G'sumbla,1900159,商業区 ローファッション街,,,2010年12月16日実装（バージョンアップ (2010/12/16)）,
LimsaLominsa,リムサ・ロミンサ,マーケット,リムサ・ロミンサ・ランディング,服屋チャ・ザンザ,T'zanza,1900162,商業区 ローファッション街,,,2010年12月16日実装（バージョンアップ (2010/12/16)）,
LimsaLominsa,リムサ・ロミンサ,マーケット,リムサ・ロミンサ・ランディング,靴屋シェイリー,Shaylee,1100215,商業区 ローファッション街,,,2010年12月16日実装（バージョンアップ (2010/12/16)）,
LimsaLominsa,リムサ・ロミンサ,マーケット,リムサ・ロミンサ・ランディング,貿易商グルミ・ボルルミ,Gurumi Borlumi,1400181,リムサ・ロミンサ交易商会,,,2012年4月26日実装（パッチ1.22）,
LimsaLominsa,リムサ・ロミンサ,マーケット,リムサ・ロミンサ・ランディング,貿易商ドゥビコロワ,Duvicauroix,1200107,グリダニア交易商会,,,2012年4月26日実装（パッチ1.22）,
LimsaLominsa,リムサ・ロミンサ,マーケット,リムサ・ロミンサ・ランディング,貿易商ピエヌ,Pienne,1300187,ウルダハ交易商会,,,2012年4月26日実装（パッチ1.22）,
Gridania,グリダニア,ギルドショップ,カーラインカフェ[冒険者ギルド],武器商ザギルヘームル,Zagylhaemr,1600253,,6,6,2011年10月5日実装（パッチ1.19）,
Gridania,グリダニア,ギルドショップ,カーラインカフェ[冒険者ギルド],防具商ナイ・カマゾン,Naih Khamazom,1900259,,6,6,2011年10月5日実装（パッチ1.19）,
Gridania,グリダニア,ギルドショップ,鬼哭隊屯所[槍術士ギルド],武器商ルストバン,Roustebant,1200219,,7,2,2011年10月5日実装（パッチ1.19）,
Gridania,グリダニア,ギルドショップ,神勇隊司令砦[弓術士ギルド],武器商ドエル,Doelle,1300157,,8,5,2011年10月5日実装（パッチ1.19）,
Gridania,グリダニア,ギルドショップ,碩老樹瞑想窟[幻術士ギルド],魔器商ジュルラン,Jeulerand,1200207,,2,1,2011年10月5日実装（パッチ1.19）,
Gridania,グリダニア,ギルドショップ,古樫の高堂[木工師ギルド],木工師オスガル,Osgar,1000337,,6,5,,
Gridania,グリダニア,ギルドショップ,古樫の高堂[木工師ギルド],道具商ウルリック,Ulric,1000245,,6,5,2011年10月5日実装（パッチ1.19）,
Gridania,グリダニア,ギルドショップ,アトリエ「フェン・イル」[革細工師ギルド],革細工師スペールフェダル,Spaerfedar,1600176,,7,3,,
Gridania,グリダニア,ギルドショップ,アトリエ「フェン・イル」[革細工師ギルド],道具商ヴォイス,Voyce,1000249,,7,3,2011年10月5日実装（パッチ1.19）,
Gridania,グリダニア,ギルドショップ,グレートローム小農場群[園芸師ギルド],園芸師グンゼリン,Gunzelin,2200132,,3,3,,
Gridania,グリダニア,ギルドショップ,グレートローム小農場群[園芸師ギルド],用具商デ・ボンジャ,D'bhonja,1900192,,4,3,2011年10月5日実装（パッチ1.19）,
Gridania,グリダニア,黒檀商店街,グレートローム小農場群[園芸師ギルド],甲冑師マテオニアン,Matheonien,1200109,,7,3,,
Gridania,グリダニア,黒檀商店街,グレートローム小農場群[園芸師ギルド],園芸師ボドゥフォアン,Beaudefoin,1200124,,7,3,,
Gridania,グリダニア,黒檀商店街,グレートローム小農場群[園芸師ギルド],貿易商ウルフスリス,Wulfthryth,1100117,,7,3,,
Gridania,グリダニア,黒檀商店街,グレートローム小農場群[園芸師ギルド],鍛冶師アルダイルン,Ahldiyrn,1600017,,8,3,,
Gridania,グリダニア,黒檀商店街,グレートローム小農場群[園芸師ギルド],錬金術師ムムコ,Mumuko,1500079,,8,3,,
Gridania,グリダニア,紫檀商店街,グレートローム小農場群[園芸師ギルド],用具商ハンフリー,Humphrey,1000139,,7,4,,
Gridania,グリダニア,紫檀商店街,グレートローム小農場群[園芸師ギルド],貿易商ゼリア,Zelia,1300096,,7,4,,
Gridania,グリダニア,紫檀商店街,グレートローム小農場群[園芸師ギルド],裁縫師フアニヌ,Foinine,1300039,,7,4,,
Gridania,グリダニア,紫檀商店街,グレートローム小農場群[園芸師ギルド],調理師スタンイルド,Stanilde,1100107,,8,4,,
Gridania,グリダニア,紫檀商店街,グレートローム小農場群[園芸師ギルド],彫金師ガガウル,Gagaulu,1400052,,8,4,,
Gridania,グリダニア,（中央）,グレートローム小農場群[園芸師ギルド],毛皮商ゼースウーヤ,Zaesoeya,1600252,,6,4,,
Gridania,グリダニア,（中央）,グレートローム小農場群[園芸師ギルド],服屋ヨレーヌ,Yolaine,1300095,,6,4,,
Gridania,グリダニア,（中央）,グレートローム小農場群[園芸師ギルド],下着屋ハ・フゾル,H'fudzol,1900196,,6,4,2011年10月5日実装（パッチ1.19）,
Gridania,グリダニア,（中央）,グレートローム小農場群[園芸師ギルド],生薬屋ロドゥリック,Roderic,1200118,,6,5,,
Gridania,グリダニア,（中央）,グレートローム小農場群[園芸師ギルド],花屋ビ・コンバラ,B'konbalha,1900096,,6,5,,
Gridania,グリダニア,（中央）,グレートローム小農場群[園芸師ギルド],画屋ゴールディヴ,Goldyve,1100079,,6,5,,prefix-variant:client=面屋ゴールディヴ
Gridania,グリダニア,ショップ,口笛粉屋,粉屋リトルジョン,Littlejohn,1000166,,5,3,,
Gridania,グリダニア,ショップ,弓屋「セントールアイ」,弓師トヴィルモト,Twyrmoht,1600206,,7,2,,
Gridania,グリダニア,ショップ,靴屋「フェン・イル」,靴屋ア・ニミウィリ,A'nimuili,1900005,,7,4,,
Gridania,グリダニア,ショップ,グリダニア・ランディング,土産屋エドゥイン,Aeduin,1000267,,6,6,2011年10月5日実装（パッチ1.19）,
Gridania,グリダニア,マーケット,グリダニア・ランディング,武器商コネイン,Conayn,1000375,辻店区 ファイター通り,,,2010年12月16日実装（バージョンアップ (2010/12/16)）,
Gridania,グリダニア,マーケット,グリダニア・ランディング,魔器商ドレスト,Drest,1000379,辻店区 ソーサラー通り,,,2010年12月16日実装（バージョンアップ (2010/12/16)）,
Gridania,グリダニア,マーケット,グリダニア・ランディング,用具商グリエルメ,Grillairmais,1200202,辻店区 ギャザラー通り,,,2011年10月5日実装（パッチ1.19）,
Gridania,グリダニア,マーケット,グリダニア・ランディング,道具商テンペルトン,Templeton,1000238,辻店区 クラフター通り,,,2011年10月5日実装（パッチ1.19）,
Gridania,グリダニア,マーケット,グリダニア・ランディング,板金商オディブランド,Odibrand,2200193,辻店区 アーマー通り,,,2010年12月16日実装（バージョンアップ (2010/12/16)）,prefix-variant:client=甲冑商オディブランド
Gridania,グリダニア,マーケット,グリダニア・ランディング,服屋セブルガ,Seburga,1100103,辻店区 ローファッション通り,,,2010年12月16日実装（バージョンアップ (2010/12/16)）,
