zone_slug,zone_jp,submap_jp,submap_part_en_client,client_place_id,implement,ingame_implement
LimsaLominsa,リムサ・ロミンサ,リムサ・ロミンサ/下甲板層,Lower Decks,1081,,
LimsaLominsa,リムサ・ロミンサ,リムサ・ロミンサ/上甲板層,Upper Decks,1080,,
LimsaLominsa,リムサ・ロミンサ,リムサ・ロミンサ/商業区,Market Wards,1092,,
LimsaLominsa,リムサ・ロミンサ,リムサ・ロミンサ/黒渦団：軍令部,Maelstrom Command,1512,2011年7月22日実装（パッチ1.18）,
LimsaLominsa,リムサ・ロミンサ,リムサ・ロミンサ・ランディング,Airship Landing,1062,2011年10月5日実装（パッチ1.19）,
LimsaLominsa,リムサ・ロミンサ,リムサ・ロミンサ/アドミラルブリッジ,The Bridge,1072,2011年10月5日実装（パッチ1.19）,
LimsaLominsa,リムサ・ロミンサ,リムサ・ロミンサ/アドミラルブリッジ：作戦会議室,Stateroom,1518,2012年3月9日実装（パッチ1.21）,2012年4月26日インゲーム実装（パッチ1.22）
LimsaLominsa,リムサ・ロミンサ,リムサ・ロミンサ/宿屋「ミズンマスト」,Mizzenmast Inn,1070,2012年3月9日実装（パッチ1.21）,
Gridania,グリダニア,グリダニア,Gridania,2001,,
Gridania,グリダニア,グリダニア/辻店区,Market Wards,2096,,
Gridania,グリダニア,グリダニア/双蛇党：統合司令部,Adders' Nest,2526,2011年7月22日実装（パッチ1.18）,
Gridania,グリダニア,グリダニア/不語仙の座卓,The Lotus Stand,2533,2012年3月9日実装（パッチ1.21）,2012年4月26日インゲーム実装（パッチ1.22）
Gridania,グリダニア,グリダニア/旅館「とまり木」,The Roost,2075,2012年3月9日実装（パッチ1.21）,
Ul_dah,ウルダハ,ウルダハ/商業層,Merchant Strip,3076,,
Ul_dah,ウルダハ,ウルダハ/政庁層,Hustings Strip,3077,,
Ul_dah,ウルダハ,ウルダハ/旅商区,Market Wards,3096,,
Ul_dah,ウルダハ,ウルダハ/不滅隊：作戦本部,Hall of Flames,3514,2011年7月22日実装（パッチ1.18）,
Ul_dah,ウルダハ,ウルダハ・ランディング,Airship Landing,3519,2011年10月5日実装（パッチ1.19）,
Ul_dah,ウルダハ,ウルダハ/ヘヴンズシャード：香煙の間,The Fragrant Chamber,3532,2012年3月9日実装（パッチ1.21）,2012年4月26日インゲーム実装（パッチ1.22）
Ul_dah,ウルダハ,ウルダハ/宿屋「砂時計亭」,The Hourglass,3071,2012年3月9日実装（パッチ1.21）,
MorDhona,モードゥナ,モードゥナ,Mor Dhona,106,,
MorDhona,モードゥナ,モードゥナ/交信電波塔,,,2012年6月7日実装（パッチ1.22b）,
TheCieldalaes,シェルダレー諸島,シェルダレー諸島/いちる島,Hope's Bourn,1012,,
TheCieldalaes,シェルダレー諸島,シェルダレー諸島/ロックスライ島,Locke's Lie,1041,,
TheCieldalaes,シェルダレー諸島,シェルダレー諸島/亀甲島,Turtleback Island,1011,,
Shposhae,シュポシェの霊窟,シュポシェの霊窟（map1）,Shposhae,1122,,
Shposhae,シュポシェの霊窟,シュポシェの霊窟（map2）,Shposhae,1122,,
Shposhae,シュポシェの霊窟,シュポシェの霊窟（map3）,Shposhae,1122,,
Shposhae,シュポシェの霊窟,シュポシェの霊窟（map4）,Shposhae,1122,,
Shposhae,シュポシェの霊窟,シュポシェの霊窟（map5）,Shposhae,1122,,
DzemaelDarkhold,ゼーメル要塞,ゼーメル要塞（map1）,Dzemael Darkhold,4102,,
DzemaelDarkhold,ゼーメル要塞,ゼーメル要塞（map2）,Dzemael Darkhold,4102,,
TheAurumVale,オーラムヴェイル,オーラムヴェイル（map1）,The Aurum Vale,4104,,
TheAurumVale,オーラムヴェイル,オーラムヴェイル（map2）,The Aurum Vale,4104,,
TheAurumVale,オーラムヴェイル,オーラムヴェイル（map3）,The Aurum Vale,4104,,
TheTam-TaraDeepcroft,タムタラの墓所,タムタラの墓所/第一環,First Ring,2114,,
TheTam-TaraDeepcroft,タムタラの墓所,タムタラの墓所/第二環,Second Ring,2115,,
CopperbellMines,カッパーベル銅山,カッパーベル銅山/カッパーベル坑道,Mining Pits,3113,,
CopperbellMines,カッパーベル銅山,カッパーベル銅山/アントリング営巣地,Formicary,3114,,
Cutter_sCry,カッターズクライ,カッターズクライ（map1）,Cutter's Cry,3123,,
Cutter_sCry,カッターズクライ,カッターズクライ（map2）,Cutter's Cry,3123,,
Cutter_sCry,カッターズクライ,カッターズクライ（map3）,Cutter's Cry,3123,,
Cutter_sCry,カッターズクライ,カッターズクライ（map4）,Cutter's Cry,3123,,
Ship,船,船/（船内）,,,,
Ship,船,船/（甲板）,,,,
