zone_slug,zone_jp,zone_en_site,zone_en_client,client_place_id,kind,name_match_note
LimsaLominsa,リムサ・ロミンサ,Limsa Lominsa,Limsa Lominsa,1051,city-state,
Ishgard,イシュガルド,Ishgard,Ishgard,4001,city-state,
Gridania,グリダニア,Gridania,Gridania,2001,city-state,
Ul_dah,ウルダハ,Ul'dah,Ul'dah,3051,city-state,
LaNoscea,ラノシア,La Noscea,La Noscea,102,field-region,
Coerthas,クルザス,Coerthas,Coerthas,105,field-region,
BlackShroud,黒衣森（コクエノモリ）,Black Shroud,The Black Shroud,104,field-region,furigana-stripped
Thanalan,ザナラーン,Thanalan,Thanalan,103,field-region,
MorDhona,モードゥナ,Mor Dhona,Mor Dhona,106,field-region,
TheCieldalaes,シェルダレー諸島,The Cieldalaes,The Cieldalaes,115,instance,
MistbeardCove,霧髭入江,Mistbeard Cove,Mistbeard Cove,1101,instance,
CassiopeiaHollow,浮海月の巌穴,Cassiopeia Hollow,Cassiopeia Hollow,1113,instance,
U_GhamaroMines,ウ・ガマロ武装鉱山,U'Ghamaro Mines,U'Ghamaro Mines,1125,instance,
Shposhae,シュポシェの霊窟,Shposhae,Shposhae,1122,instance,
StraitofMerlthor,メルトール海峡,Strait of Merlthor,Strait of Merlthor,113,instance,
DzemaelDarkhold,ゼーメル要塞,Dzemael Darkhold,Dzemael Darkhold,4102,instance,
TheAurumVale,オーラムヴェイル,The Aurum Vale,The Aurum Vale,4104,instance,
TheHowlingEye,ハウリングアイ石塔群,The Howling Eye,The Howling Eye,4519,instance,
Rivenroad,リヴェンロード,Rivenroad,Rivenroad,4073,instance,
TheMun-TuyCellars,ムントゥイ醸造庫,The Mun-Tuy Cellars,The Mun[@1F]Tuy Cellars,2101,instance,
TheTam-TaraDeepcroft,タムタラの墓所,The Tam-Tara Deepcroft,The Tam[@1F]Tara Deepcroft,2113,instance,
TheThousandMawsofToto-Rak,トトラクの千獄,The Thousand Maws of Toto-Rak,The Thousand Maws of Toto[@1F]Rak,2123,instance,
Thornmarch,茨の園,Thornmarch,Thornmarch,2532,instance,
NanawaMines,ナナワ銀山,Nanawa Mines,Nanawa Mines,3101,instance,
CopperbellMines,カッパーベル銅山,Copperbell Mines,Copperbell Mines,3112,instance,
TheBowlofEmbers,炎帝祭跡,The Bowl of Embers,The Bowl of Embers,3038,instance,
Cutter_sCry,カッターズクライ,Cutter's Cry,Cutter's Cry,3123,instance,
Ship,船,Ship,,,transport,no-client-place
