capture,sha256,lane_count,set_begin_count,set_end_count,change_begin_count,change_end_count,opcode_0x0148_count,opcode_0x0149_count,opcode_0x014a_count,opcode_0x014b_count,opcode_0x014c_count,opcode_0x014d_count,opcode_0x014e_count,opcode_0x014f_count,opcode_0x0150_count,opcode_0x0151_count,item_packet_count,item_record_count,link_packet_count,link_record_count,framed_event_count,exact_item_link_count,bounded_candidate_count,missing_carrier_count,repeated_aggregate_event_count,retransmitted_segment_count,excluded_0x018f_0x0191_count
accept_leve.pcapng,42b87e6c095db130def1de5bc382e428b4f4c12c8069c4682d6fa4bc7681967a,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0
accept_local_leve.pcapng,3b4b071d88742a5d3c94a1e29ca6a4074cb6b9a9a60207118302fe22f932bd7c,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
accept_quest.pcapng,a207109240254b1398a36f877afc7ac34a08466cfbd3cdd3f2eb5f4a50718057,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
action_and_traits.pcapng,c3d30fe46d69996dc74e4864245c42675cde2388525c03063dac180df528352f,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
add_str.pcapng,246e4948a7ca1e4dc620e724677bfd9153ce76f6445a557967d309e9946021ed,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
attributes.pcapng,5bc78b05d45a4e410b7410d046cb8b958ec549ce5b1b51a52225c4d15041a2ff,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0
battle_mode_passive_mode.pcapng,5a8290df1d11781f4f5fa1f6990651c679e57ee3b8c5549021f06767bb172d4b,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
buy_square_maple_shield.pcapng,aab582bd9658c89cd4d56e132500481f442b9f2dc2179f1a5829ea09776bce6b,2,2,2,1,1,2,0,0,0,0,0,0,0,0,0,2,2,0,0,1,0,0,1,0,22,0
change_bodyarmor.pcapng,55ee6035d24e80b97c9354a0800b86a52d0a99e1200cf6875a5b56009215021a,1,2,2,1,1,0,1,0,0,0,1,0,0,0,0,1,2,1,1,1,1,1,0,0,19,0
change_helm.pcapng,af1e465076c3acf6188f24f084622b22beccc932bb96effd517b2d9a44606e08,1,4,4,2,2,2,0,0,0,0,1,0,0,0,0,2,2,1,1,2,1,0,1,0,28,0
change_to_botanist.pcapng,8fdc448a17d19bea3d07855a8d8843d78926c50586f3656946c96b6a6cb27d26,2,4,4,2,2,1,1,0,0,0,2,0,0,0,0,2,3,2,2,2,2,2,0,0,21,0
chat_say.pcapng,ccaefd38c94512507d518f83ab693edaf7f42167f3b82876869b53a736275e37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
chat_shout.pcapng,94ab6b14373b2d0d0122e14b3eb18a1371e52165172ba18b3fc836c8ba94265a,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
check_room_map.pcapng,cca1eea57329b02e5d66e53ad6f44d28deebf8ee8c11cfafd22bf813d1551ee5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
checkbed.pcapng,9e05a05de6ec44eded13761fcb3546eb248c0c68e537051eef575e29dfff1b79,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
coerthas_map.pcapng,779de805f9172832e986f5c46c0a94f6d93f4b9c7f1c41fd0de0f5f8326c0ae3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0
combat_autoattack.pcapng,2f677ab61047b25c4168a3dd9496f372d48de3bba018d582dd5a968b9272f7b2,2,5,5,5,5,5,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,5,0,14,404
combat_skills.pcapng,7fe66d92f6f62584e57562e51355d310546935690e0b96c2c689b83bbe8a07a7,1,5,5,5,5,5,0,0,0,0,0,0,0,0,0,5,5,0,0,5,0,0,5,0,11,202
cutscene_book.pcapng,c2cf85e02d8d15fe2aa9261e8b796c29c0a3d9dd9cdf287ce0f75f3a666b2b4d,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0
emote_dance.pcapng,9e004f1e791cfc37b7d23e8986a5e69021b7b7f828295fdf7957e36aa1c57dc8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0
emote_kneel.pcapng,3381b6121f5b0789c97ededdc5394c6bc9b14c561029191fb5b3f428033c80e8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0
