event_id,capture,lane_index,source_actor,destination_actor,carrier_scope,equipment_slot,catalog_item_id,property_hash,comparison_status,before_record_index,before_frame,before_subevent,before_value_hex,before_value_u_le,after_record_index,after_frame,after_subevent,after_value_hex,after_value_u_le,before_distance_frames,before_distance_us,after_distance_frames,after_distance_us
equipment-event-002,change_bodyarmor.pcapng,0,actor-01,actor-01,single-slot,10,0x007A88D7,0x0ad1ce80,before-only,33,13,0,ff00ff00ff00ff00ff0003,3631481450359897754370303,,,,,,6,2907,,
equipment-event-002,change_bodyarmor.pcapng,0,actor-01,actor-01,single-slot,10,0x007A88D7,0x17ab37ef,after-only,,,,,,38,20,8,ae00,174,,,1,38
equipment-event-002,change_bodyarmor.pcapng,0,actor-01,actor-01,single-slot,10,0x007A88D7,0x416571ac,after-only,,,,,,35,20,8,6300,99,,,1,38
equipment-event-002,change_bodyarmor.pcapng,0,actor-01,actor-01,single-slot,10,0x007A88D7,0x7bcdfb69,after-only,,,,,,34,20,7,1103,785,,,1,38
equipment-event-002,change_bodyarmor.pcapng,0,actor-01,actor-01,single-slot,10,0x007A88D7,0x8cae90db,after-only,,,,,,37,20,8,9300,147,,,1,38
equipment-event-002,change_bodyarmor.pcapng,0,actor-01,actor-01,single-slot,10,0x007A88D7,0xba51c4e1,after-only,,,,,,36,20,8,a500,165,,,1,38
equipment-event-004,change_helm.pcapng,0,actor-01,actor-01,single-slot,8,0x007A3F58,0x8cae90db,changed,44,16,0,8d00,141,45,30,5,a100,161,12,7037,2,243
equipment-event-005,change_to_botanist.pcapng,0,actor-01,actor-01,single-slot,0,0x006B1DE2,0x06f2289f,after-only,,,,,,70,23,2,f355f0a0,2700105203,,,2,93
equipment-event-005,change_to_botanist.pcapng,0,actor-01,actor-01,single-slot,0,0x006B1DE2,0x079d8d67,after-only,,,,,,76,23,3,1e00,30,,,2,93
equipment-event-005,change_to_botanist.pcapng,0,actor-01,actor-01,single-slot,0,0x006B1DE2,0x09664b49,after-only,,,,,,69,23,2,00000000,0,,,2,93
equipment-event-005,change_to_botanist.pcapng,0,actor-01,actor-01,single-slot,0,0x006B1DE2,0x0ad1ce80,before-only,49,12,1,ff00ff00ff00ff00ff0003,3631481450359897754370303,,,,,,9,5018,,
equipment-event-005,change_to_botanist.pcapng,0,actor-01,actor-01,single-slot,0,0x006B1DE2,0x0e704141,after-only,,,,,,54,23,1,1500,21,,,2,93
equipment-event-005,change_to_botanist.pcapng,0,actor-01,actor-01,single-slot,0,0x006B1DE2,0x1f3dacc5,after-only,,,,,,55,23,1,4500,69,,,2,93
equipment-event-005,change_to_botanist.pcapng,0,actor-01,actor-01,single-slot,0,0x006B1DE2,0x2526d379,after-only,,,,,,82,23,3,01,1,,,2,93
equipment-event-005,change_to_botanist.pcapng,0,actor-01,actor-01,single-slot,0,0x006B1DE2,0x28887bd6,after-only,,,,,,79,23,3,befee050,1356922558,,,2,93
equipment-event-005,change_to_botanist.pcapng,0,actor-01,actor-01,single-slot,0,0x006B1DE2,0x2dfbc13a,after-only,,,,,,53,23,1,1c00,28,,,2,93
equipment-event-005,change_to_botanist.pcapng,0,actor-01,actor-01,single-slot,0,0x006B1DE2,0x31af42be,after-only,,,,,,59,23,1,0000,0,,,2,93
