client_table,column_index,client_type,rows_populated,distinct_values,field_name,ge_field,confidence,evidence,matching_rows,comparable_rows,match_rate,runner_up,note,top_values
_item,0,str,8403,17,item_class_path,,high,client class enum,,,,,"runtime item behaviour class, e.g. Normal/StandardItem, Normal/FoodItem. Its one Important/* value, Important/ImportantItemStandard, is the key-item class: 68 rows in two blocks - 2000001/2 Key and Pendant, the 28 treatises at 2000101-2000128, the 7 job Souls at 2000201-2000207, and the 31 key items at 2001000-2001030",Normal/StandardItem(5866) Normal/DummyItem(1306) Normal/MateriaItem(356) Normal/FoodItem(292)
_item,1,s32,8403,6,stack_max,stack_max,high,numeric,1874,1904,0.9842,,,1(5887) 99(2448) 999999(27) 999(22)
_item,2,bool,8403,2,unique,unique,high,numeric-skew-lift,5589,5607,0.9968,,skew base 0.8398 lift 0.9800,false(7437) true(966)
_item,3,bool,8403,2,untradeable,untradeable,high,numeric-skew-lift,5583,5607,0.9957,,skew base 0.8384 lift 0.9735,false(6386) true(2017)
accessory,129,u8,278,1,,,constant,,,,,,always 0 in 1.23b,0(278)
accessory,130,u8,278,1,,,constant,,,,,,always 0 in 1.23b,0(278)
armor,116,s16,3599,151,defense,defense,medium,numeric,2051,2093,0.9799,,,0(325) 2(152) 5(118) 7(100)
armor,117,s16,3599,1,,,constant,,,,,,always 0 in 1.23b,0(3599)
armor,118,s16,3599,1,,,constant,,,,,,always 0 in 1.23b,0(3599)
armor,119,s16,3599,1,,,constant,,,,,,always 0 in 1.23b,0(3599)
armor,120,s16,3599,1,,,constant,,,,,,always 0 in 1.23b,0(3599)
armor,121,s32,3599,1,bonus_slot_1_id,,structural,bonus-slot id (unused),,,,,unused slot 1 of armor's bonus run; empty on every 1.23b row,-1(3599)
armor,122,s16,3599,1,bonus_slot_1_value,,structural,bonus-slot value (unused),,,,,unused slot 1 of armor's bonus run; empty on every 1.23b row,0(3599)
armor,123,s32,3599,1,bonus_slot_2_id,,structural,bonus-slot id (unused),,,,,unused slot 2 of armor's bonus run; empty on every 1.23b row,-1(3599)
armor,124,s16,3599,1,bonus_slot_2_value,,structural,bonus-slot value (unused),,,,,unused slot 2 of armor's bonus run; empty on every 1.23b row,0(3599)
armor,125,s32,3599,1,bonus_slot_3_id,,structural,bonus-slot id (unused),,,,,unused slot 3 of armor's bonus run; empty on every 1.23b row,-1(3599)
armor,126,s16,3599,1,bonus_slot_3_value,,structural,bonus-slot value (unused),,,,,unused slot 3 of armor's bonus run; empty on every 1.23b row,0(3599)
armor,127,s32,3599,1,bonus_slot_4_id,,structural,bonus-slot id (unused),,,,,unused slot 4 of armor's bonus run; empty on every 1.23b row,-1(3599)
