item_id,item_name_en,client_tables,reason
0,[en],_item itemData,no-english-name
1,[en],_item itemData,no-english-name
1000001,Gil,_item itemData,no-ge-page
1000002,Crystal,_item itemData,no-ge-page
1000011,Wind Crystal,_item itemData,no-ge-page
1000101,Pugilists' Guild Mark,_item itemData,no-ge-page
1000102,Gladiators' Guild Mark,_item itemData,no-ge-page
1000103,Marauders' Guild Mark,_item itemData,no-ge-page
1000104,[en],_item itemData,no-english-name
1000105,[en],_item itemData,no-english-name
1000106,Archers' Guild Mark,_item itemData,no-ge-page
1000107,Lancers' Guild Mark,_item itemData,no-ge-page
1000108,[en],_item itemData,no-english-name
1000109,[en],_item itemData,no-english-name
1000110,Thaumaturges' Guild Mark,_item itemData,no-ge-page
1000111,Conjurers' Guild Mark,_item itemData,no-ge-page
1000112,[en],_item itemData,no-english-name
1000113,Carpenters' Guild Mark,_item itemData,no-ge-page
1000114,Blacksmiths' Guild Mark,_item itemData,no-ge-page
1000115,Armorers' Guild Mark,_item itemData,no-ge-page
1000116,Goldsmiths' Guild Mark,_item itemData,no-ge-page
1000117,Leatherworkers' Guild Mark,_item itemData,no-ge-page
1000118,Weavers' Guild Mark,_item itemData,no-ge-page
1000119,Alchemists' Guild Mark,_item itemData,no-ge-page
1000120,Culinarians' Guild Mark,_item itemData,no-ge-page
1000121,Miners' Guild Mark,_item itemData,no-ge-page
1000122,Botanists' Guild Mark,_item itemData,no-ge-page
1000123,Fishermen's Guild Mark,_item itemData,no-ge-page
1000124,[en],_item itemData,no-english-name
1000201,Storm Seal,_item itemData,no-ge-page
1000202,Serpent Seal,_item itemData,no-ge-page
1000203,Flame Seal,_item itemData,no-ge-page
2000001,Key,_item itemData,no-ge-page
2000002,Pendant,_item itemData,no-ge-page
2001000,[en],_item itemData,no-english-name
2001001,Materia Assimilator,_item itemData,no-ge-page
2001002,Materia Melder,_item itemData,no-ge-page
2001003,Augmented Materia Melder,_item itemData,no-ge-page
2001004,Storm Chocobo Issuance,_item itemData,no-ge-page
2001005,Serpent Chocobo Issuance,_item itemData,no-ge-page
2001006,Flame Chocobo Issuance,_item itemData,no-ge-page
2001007,Chocobo Whistle,_item itemData,no-ge-page
2001008,Airship Ticket,_item itemData,no-ge-page
2001009,Lapis Cross,_item itemData,no-ge-page
2001010,Emerald Leaf,_item itemData,no-ge-page
2001011,Gold Scales,_item itemData,no-ge-page
2001012,[en],_item itemData,no-english-name
2001013,Goobbue Horn,_item itemData,no-ge-page
2001014,Lominsan Aetherpass,_item itemData,no-ge-page
2001015,Gridanian Aetherpass,_item itemData,no-ge-page
2001016,Ul'dahn Aetherpass,_item itemData,no-ge-page
2001017,Lominsan Half Barding,_item itemData,no-ge-page
2001018,Lominsan Barding,_item itemData,no-ge-page
2001019,Lominsan Crested Barding,_item itemData,no-ge-page
2001020,Gridanian Half Barding,_item itemData,no-ge-page
2001021,Gridanian Barding,_item itemData,no-ge-page
2001022,Gridanian Crested Barding,_item itemData,no-ge-page
2001023,Ul'dahn Half Barding,_item itemData,no-ge-page
2001024,Ul'dahn Barding,_item itemData,no-ge-page
2001025,Ul'dahn Crested Barding,_item itemData,no-ge-page
2001026,On the Properties of Beastmen,_item itemData,no-ge-page
2001027,Soiled Promissory Note,_item itemData,no-ge-page
2001028,Aquamarine Cross,_item itemData,no-ge-page
2001029,Emerald Bough,_item itemData,no-ge-page
2001030,Platinum Scales,_item itemData,no-ge-page
3010024,[en],_item equipment itemData,no-english-name
3011128,River Crab,_item equipment itemData,no-ge-page
3011538,Dried Marjoram,_item equipment itemData,no-ge-page
3020004,[en],_item equipment itemData,no-english-name
3020005,[en],_item equipment itemData,no-english-name
3020101,Ether,_item equipment itemData,no-ge-page
3020104,Hyper Ether,_item equipment itemData,no-ge-page
3020105,Fire Ether,_item equipment itemData,no-ge-page
3020106,Water Ether,_item equipment itemData,no-ge-page
3020107,Wind Ether,_item equipment itemData,no-ge-page
3020108,Earth Ether,_item equipment itemData,no-ge-page
3020109,Lightning Ether,_item equipment itemData,no-ge-page
3020110,Ice Ether,_item equipment itemData,no-ge-page
3020309,Venom Potion,_item equipment itemData,no-ge-page
3020503,[en],_item equipment itemData,no-english-name
3020506,Sanction,_item equipment itemData,no-ge-page
3020602,Flame Tracer,_item equipment itemData,no-ge-page
3020605,Gridanian Sparkler,_item equipment itemData,no-ge-page
3020606,Ul'dahn Sparkler,_item equipment itemData,no-ge-page
