client_zone_id,client_display_name,client_place_name_id,bahamut_zones
134,market wards,1092,134=Market Wards
138,La Noscea,102,
139,Cieldalaes,115,139=The Cieldalaes
140,Sailors Ward,1091,
156,Black Shroud,104,
160,market wards,2096,160=Market Wards
161,Peasants Ward,2095,
179,Thanalan,103,
180,Market Wards,3096,180=Market Wards
181,Merchants Ward,3095,
192,Rhotano Sea,137,192=Rhotano Sea 193=Rhotano Sea 194=Rhotano Sea 195=Rhotano Sea 196=Rhotano Sea 198=Rhotano Sea
193,Rhotano Sea,137,192=Rhotano Sea 193=Rhotano Sea 194=Rhotano Sea 195=Rhotano Sea 196=Rhotano Sea 198=Rhotano Sea
194,Rhotano Sea,137,192=Rhotano Sea 193=Rhotano Sea 194=Rhotano Sea 195=Rhotano Sea 196=Rhotano Sea 198=Rhotano Sea
195,Rhotano Sea,137,192=Rhotano Sea 193=Rhotano Sea 194=Rhotano Sea 195=Rhotano Sea 196=Rhotano Sea 198=Rhotano Sea
196,Rhotano Sea,137,192=Rhotano Sea 193=Rhotano Sea 194=Rhotano Sea 195=Rhotano Sea 196=Rhotano Sea 198=Rhotano Sea
198,Rhotano Sea,137,192=Rhotano Sea 193=Rhotano Sea 194=Rhotano Sea 195=Rhotano Sea 196=Rhotano Sea 198=Rhotano Sea
200,Strait of Merlthor,113,200=Strait of Merlthor
232,Maelstrom Command,1512,232=Maelstrom Command
233,Hall of Flames,3514,233=Hall of Flames
234,Adders' Nest,2526,234=Adders' Nest
244,inn room,142,244=Inn Room
251,transmission tower,5014,264=Transmission Tower
264,transmission tower,5014,264=Transmission Tower
