ge_page_title,mob_name,family,notorious_monster,removed_before_arr,level_low,likely_cause,nearest_client_name
B'Khenna Phoenixfire,B'Khenna Phoenixfire,Enemy Humanoid,,0,,ge-misspelling,b'khenna the phoenixfire
Drifting Mine,Drifting Mine,Bomb,,0,,no-client-name-match,
Elite Sagitarius,Elite Sagitarius,Enemy Humanoid,,0,56,ge-misspelling,elite sagittarius
Errant Spirt,Errant Spirt,Ghost,,0,1,ge-misspelling,errant spirit
Imperial Sagitarius,Imperial Sagitarius,Enemy Humanoid,,0,50,ge-misspelling,imperial sagittarius
Magitek Vanguard F-1,Magitek Vanguard F-1,Magitek Armor,,0,63,ge-misspelling,magitek vanguard f-i
Magitek Vanguard H-1,Magitek Vanguard H-1,Magitek Armor,,0,61,ge-misspelling,magitek vanguard h-i
Pyro,Pyro,Imp,,0,,no-client-name-match,
Rift Angler,Rift Angler,Angler,,0,,no-client-name-match,
Roadside Stabber,Roadside Stabber,Enemy Humanoid,,0,27,ge-misspelling,roadside backstabber
VIIth Legion Sagitarius,VIIth Legion Sagitarius,Enemy Humanoid,,0,54,ge-misspelling,viith legion sagittarius
Zikko,Zikko,Imp,,0,,no-client-name-match,
