ge_page_title,ge_revision_id,ge_revision_timestamp,removed_before_arr,item_name,item_category,patch_introduced,required_level,optimal_level,required_rank,suits_classes,fits_races,favors_classes,requires_classes,gender_restriction,wear_durability_points,base_material,base_item,dye_colors,defense,magic_defense,damage,delay_seconds,number_of_attacks,recast_seconds,duration_seconds,blunt_attack_pct,piercing_attack_pct,slashing_attack_pct,projectile_attack_pct,evasion_bonus,magic_evasion_bonus,accuracy_bonus,magic_accuracy_bonus,attack_magic_potency_bonus,healing_magic_potency_bonus,enhancement_magic_potency_bonus,enfeebling_magic_potency_bonus,strength_bonus,vitality_bonus,dexterity_bonus,intelligence_bonus,mind_bonus,piety_bonus,hp_bonus,mp_bonus,craftsmanship_bonus,magic_craftsmanship_bonus,gathering_bonus,perception_bonus,output_bonus,has_attributes,materia_effect,meld_slots,meldable,convertible,materia_catalyst,recipe_templates_raw,stack_max,unique,untradeable,resale_price_gil,repair_class,repair_level,hq_effect,hq_bonus_attribute,description,source
Acidic Secretions,423250,2011-09-29T04:42:10Z,1,Acidic Secretions,Reagent,,,,23,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,307,,,,,The vicious secretion of a Sea Hare,ge-item-pages
Acorn Cookie,369196,2012-05-19T03:20:13Z,0,Acorn Cookie,Grain Dish,,,,,,,,,,,,,,,,,,,5,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"{{Recipe | Name = Acorn Cookie | Primary Skill = Cooking | Primary Skill Level = 35 | Secondary Skill = | Secondary Skill Level = | Secondary Skill 2 = | Secondary Skill 2 Level = | Crystal 1 = Fire Shard | Crystal 1 Amount = 3 | Crystal 2 = | Crystal 2 Amount = | Ingredients = Rye Flour, Table Salt, Iron Acorn, Mineral Water | Main Hand NQ = Acorn Cookie x3 | Main Hand HQ+1 = | Main Hand HQ+2 = | Main Hand HQ+3 = | Off Hand NQ = Acorn Cookie x3 | Off Hand HQ+1 = | Off Hand HQ+2 = | Off Hand HQ+3 = }}",99,,,94,,,,,A crisp cookie made with iron acorn paste. A favorite of the Qiqirn.,ge-item-pages
Admiral Alloy,486699,2011-02-06T15:39:55Z,0,Admiral Alloy,Quest Item,,,,,All Classes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,,,,,,"A hardened chunk of a special copper and zinc alloy, named loosely after the blacksmith-turned-Admiral who originally discovered the formula.",ge-item-pages
Aeolian Scimitar,26934,2012-05-19T14:20:18Z,0,Aeolian Scimitar,Gladiator's Arm,,,50,,,,,"GLA, PLD",,107360,,,,,,89,2.6,1,,,,,100,,,,,,,,,,0,,,,,,,,,,,,,yes,,,Yes,Yes,,"{{Recipe |Name = Aeolian Scimitar |Primary Skill = Blacksmithing |Primary Skill Level = 50 |Crystal 1 = Earth Shard |Crystal 1 Amount = 12 |Crystal 2 = Fire Shard |Crystal 2 Amount = 13 |Ingredients = Blunt Aeolian Scimitar, Aldgoat Leather, Brass Ingot, Brimstone |Main Hand NQ = Aeolian Scimitar |Main Hand HQ+1 = |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Aeolian Scimitar |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",,yes,,6120,Blacksmith,,,Strength,,ge-item-pages
Agitated Black Ghost,486525,2011-01-29T23:48:48Z,0,Agitated Black Ghost,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,Category:No Description Provided,ge-item-pages
Ahriman Wing,383918,2012-03-29T03:08:23Z,0,Ahriman Wing,Wing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,538,,,,,"The large, veined wing of an ahriman.",ge-item-pages
Ala Mhigan Fighting Fish,386441,2012-05-13T00:55:10Z,0,Ala Mhigan Fighting Fish,Freshwater Fare,,,,,,,,,,,,,,,,,,,5,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,62,,,,,"A beautiful, blue freshwater fish known for its violent disposition.",ge-item-pages
Ala Mhigan Mustard,482352,2012-03-19T22:08:03Z,0,Ala Mhigan Mustard,Spice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,40,,,,,"When dried and ground into a fine powder, this yellow-tinged spice can add quite the kick to any dish.",ge-item-pages
Alchemist's Monocle,19854,2012-08-11T19:29:25Z,0,Alchemist's Monocle,Eyewear,1.23,50,,,,,,ALC,,11120,,,,55,,,,,,,,,,,,,,,,,,,,,,,,,,,15,15,,,,,,,y,y,,"{{Recipe |Name = |Primary Skill = Goldsmithing |Primary Skill Level = 55 |Crystal 1 = Wind Cluster |Crystal 1 Amount = 1 |Crystal 2 = Fire Cluster |Crystal 2 Amount = 1 |Ingredients = Darksteel Ingot, Brass Ingot, Clear Glass Lens, Boar Leather |Main Hand NQ = Alchemist's Monocle |Main Hand HQ+1 = Alchemist's Monocle +1 |Main Hand HQ+2 = |Main Hand HQ+3 = |Off Hand NQ = Alchemist's Monocle |Off Hand HQ+1 = |Off Hand HQ+2 = |Off Hand HQ+3 = }}",,,,4998,Goldsmith,,,,,ge-item-pages
Aldgoat Chuck,436664,2012-03-19T21:15:17Z,0,Aldgoat Chuck,Meat,,,,,,,,,,,,,,,,,,,5,1800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,,,137,,,,,"A large, tender slab of meat taken from the shoulder of an aldgoat.",ge-item-pages
