materia_row_id,grade_item_ids,grade_item_names,primary_param_id,primary_param,primary_magnitudes,second_param_id,second_param,second_magnitudes,grade_icon_ids,meld_target_count,meld_targets
0,0 0 0 0,[en] | [en] | [en] | [en],-1,,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,,,,60019 60019 60019 60019,0,
1,10100001 10100002 10100003 10100004,Bloodthirst Materia I | Bloodthirst Materia II | Bloodthirst Materia III | Bloodthirst Materia IV,15001,HP,10 14 17 20 25 29 32 35 40 44 47 50 55 60 65 70,,,,61628 61629 61630 61631,6,Body | Hands | Legs | Feet | Waist | Shield
2,10100005 10100006 10100007 10100008,Manathirst Materia I | Manathirst Materia II | Manathirst Materia III | Manathirst Materia IV,15002,MP,10 14 17 20 22 23 24 25 27 28 29 30 32 33 34 35,,,,61628 61629 61630 61631,8,Head | Body | Legs | Waist | Pugilist's Arm | Archer's Arm | Conjurer's Arm | Thaumaturge's Arm
3,10100009 10100010 10100011 10100012,Lifethirst Materia I | Lifethirst Materia II | Lifethirst Materia III | Lifethirst Materia IV,15001,HP,5 7 8 10 12 14 16 18 20 22 24 25 28 30 32 35,15002,MP,5 7 8 10 11 11 12 12 14 14 14 15 16 16 17 18,61628 61629 61630 61631,2,Legs | Shield
4,10100013 10100014 10100015 10100016,Strength Materia I | Strength Materia II | Strength Materia III | Strength Materia IV,15004,Strength,1 2 3 5 6 7 8 10 11 12 13 15 16 17 18 20,,,,61652 61653 61654 61655,8,Hands | Pugilist's Arm | Gladiator's Arm | Marauder's Arm | Lancer's Arm | Blacksmith's Primary Tool | Armorer's Primary Tool | Botanist's Primary Tool
5,10100017 10100018 10100019 10100020,Vitality Materia I | Vitality Materia II | Vitality Materia III | Vitality Materia IV,15005,Vitality,1 2 3 5 6 7 8 10 11 12 13 15 16 17 18 20,,,,61652 61653 61654 61655,10,Body | Gladiator's Arm | Marauder's Arm | Archer's Arm | Conjurer's Arm | Two-Handed Conjurer's Arm | Carpenter's Primary Tool | Armorer's Primary Tool | Leatherworker's Primary Tool | Miner's Primary Tool
6,10100021 10100022 10100023 10100024,Dexterity Materia I | Dexterity Materia II | Dexterity Materia III | Dexterity Materia IV,15006,Dexterity,1 2 3 5 6 7 8 10 11 12 13 15 16 17 18 20,,,,61652 61653 61654 61655,10,Hands | Pugilist's Arm | Gladiator's Arm | Marauder's Arm | Lancer's Arm | Archer's Arm | Carpenter's Primary Tool | Goldsmith's Primary Tool | Weaver's Primary Tool | Fisher's Primary Tool
7,10100025 10100026 10100027 10100028,Intelligence Materia I | Intelligence Materia II | Intelligence Materia III | Intelligence Materia IV,15007,Intelligence,1 2 3 5 6 7 8 10 11 12 13 15 16 17 18 20,,,,61652 61653 61654 61655,8,Head | Pugilist's Arm | Thaumaturge's Arm | Two-Handed Thaumaturge's Arm | Goldsmith's Primary Tool | Leatherworker's Primary Tool | Alchemist's Primary Tool | Botanist's Primary Tool
8,10100029 10100030 10100031 10100032,Mind Materia I | Mind Materia II | Mind Materia III | Mind Materia IV,15008,Mind,1 2 3 5 6 7 8 10 11 12 13 15 16 17 18 20,,,,61652 61653 61654 61655,11,Head | Gladiator's Arm | Archer's Arm | Conjurer's Arm | Two-Handed Conjurer's Arm | Thaumaturge's Arm | Two-Handed Thaumaturge's Arm | Blacksmith's Primary Tool | Weaver's Primary Tool | Culinarian's Primary Tool | Miner's Primary Tool
9,10100033 10100034 10100035 10100036,Piety Materia I | Piety Materia II | Piety Materia III | Piety Materia IV,15009,Piety,1 2 3 5 6 7 8 10 11 12 13 15 16 17 18 20,,,,61652 61653 61654 61655,10,Body | Lancer's Arm | Archer's Arm | Conjurer's Arm | Two-Handed Conjurer's Arm | Thaumaturge's Arm | Two-Handed Thaumaturge's Arm | Alchemist's Primary Tool | Culinarian's Primary Tool | Fisher's Primary Tool
10,10100037 10100038 10100039 10100040,Ironman's Will Materia I | Ironman's Will Materia II | Ironman's Will Materia III | Ironman's Will Materia IV,15004,Strength,1 0 0 0 2 0 0 3 4 5 0 6 7 8 9 10,15005,Vitality,1 0 0 0 2 0 0 3 4 5 0 6 7 8 9 10,61652 61653 61654 61655,1,Legs
11,10100041 10100042 10100043 10100044,Swordsman's Cry Materia I | Swordsman's Cry Materia II | Swordsman's Cry Materia III | Swordsman's Cry Materia IV,15004,Strength,1 0 0 0 2 0 0 3 4 5 0 6 7 8 9 10,15006,Dexterity,1 0 0 0 2 0 0 3 4 5 0 6 7 8 9 10,61652 61653 61654 61655,1,Legs
12,10100045 10100046 10100047 10100048,Watchman's Vigil Materia I | Watchman's Vigil Materia II | Watchman's Vigil Materia III | Watchman's Vigil Materia IV,15005,Vitality,1 0 0 0 2 0 0 3 4 5 0 6 7 8 9 10,15006,Dexterity,1 0 0 0 2 0 0 3 4 5 0 6 7 8 9 10,61652 61653 61654 61655,1,Legs
13,10100049 10100050 10100051 10100052,Loresman's Wit Materia I | Loresman's Wit Materia II | Loresman's Wit Materia III | Loresman's Wit Materia IV,15007,Intelligence,1 0 0 0 2 0 0 3 4 5 0 6 7 8 9 10,15008,Mind,1 0 0 0 2 0 0 3 4 5 0 6 7 8 9 10,61652 61653 61654 61655,1,Legs
14,10100053 10100054 10100055 10100056,Wise Man's Vision Materia I | Wise Man's Vision Materia II | Wise Man's Vision Materia III | Wise Man's Vision Materia IV,15007,Intelligence,1 0 0 0 2 0 0 3 4 5 0 6 7 8 9 10,15009,Piety,1 0 0 0 2 0 0 3 4 5 0 6 7 8 9 10,61652 61653 61654 61655,1,Legs
