mob_name,ge_page_title,join_pass,client_display_name,mob_range_actor_ids,other_range_actor_ids,client_race_id,client_race_name,client_race_block,client_plural,spawn_container,client_leve,client_quest,client_proper_name,ge_family,removed_before_arr,notorious_monster,level_low,level_high,hp_low,hp_high
Aetherbound Slave,Aetherbound Slave,exact,aetherbound slave,2202505,,1025,Ogre,,aetherbound slaves,leve-or-quest,,,0,Ogre,0,Y,55,,,
Ahriman,Ahriman,exact,ahriman,2101705 2101706 2101713 2201704,6500030,1017,Ahriman,,ahriman,persistent | leve-or-quest,Curing Gout,,0,Ahriman,0,,65,74,6087,7267
Akoman,Akoman,exact,akoman,2201707,,1017,Ahriman,,Akoman,leve-or-quest,,,1,Ahriman,0,Y,55,,,
Akoman's Daewa,Akoman's Daewa,exact,akoman's daewa,2201708,,1017,Ahriman,,Akoman's daewas,leve-or-quest,,,1,Ahriman,0,,55,,,
Ala Mhigan Axeman,Ala Mhigan Axeman,exact,ala mhigan axeman,2289041,1001979,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",Ala Mhigan axemen,leve-or-quest,,,1,Enemy Humanoid,0,Y,53,53,,
Ala Mhigan Bladedancer,Ala Mhigan Bladedancer,exact,ala mhigan bladedancer,2289010,,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",Ala Mhigan bladedancers,leve-or-quest,,,1,Enemy Humanoid,0,Y,36,36,,
Ala Mhigan Bowman,Ala Mhigan Bowman,exact,ala mhigan bowman,2289042,1001980,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",Ala Mhigan bowmen,leve-or-quest,,,1,Enemy Humanoid,0,Y,53,53,,
Ala Mhigan Challenger,Ala Mhigan Challenger,exact,ala mhigan challenger,2289006 2289007 2289008 2289011 2289012,1000601,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",Ala Mhigan challengers,leve-or-quest,,Thrill of the Fight,1,Enemy Humanoid,0,x,20,36,,
Ala Mhigan Pikeman,Ala Mhigan Pikeman,exact,ala mhigan pikeman,2289040,1001978,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",Ala Mhigan pikemen,leve-or-quest,,,1,Enemy Humanoid,0,Y,53,53,,
Ala Mhigan Shaman,Ala Mhigan Shaman,exact,ala mhigan shaman,2289043,1001981,1890,,"named opponents of scripted fights - job-quest champions, coliseum challengers, Grand Company and bandit duel squads; 93 percent of its GE mobs are notorious monsters against a 12 percent baseline, and it sits past a deliberate gap from the 80x faction run",Ala Mhigan shamans,leve-or-quest,,,1,Enemy Humanoid,0,Y,53,53,,
Alchemist's Tinder,Alchemist's Tinder,exact,alchemist's tinder,2109908 2109909 2109910 2109911,,1099,妖火 (仮),,alchemist's tinders,persistent,,,0,Wisp,0,,50,,2393,
Aldgoat Billy,Aldgoat Billy,exact,aldgoat billy,2102301 2102302 2102314 2102315 2102316 2202309,,1023,Aldgoats,,aldgoat billies,persistent | leve-or-quest,,,0,Aldgoat,0,,30,39,2193,2813
Aldgoat Nanny,Aldgoat Nanny,exact,aldgoat nanny,2102305 2102306 2102317 2102318 2102319 2202308,,1023,Aldgoats,,aldgoat nannies,persistent | leve-or-quest,,,0,Aldgoat,0,,20,29,2046,2661
All-seeing Eye,All-seeing Eye,exact,all-seeing eye,2301701,,1017,Ahriman,,All-seeing Eyes,instanced-dungeon,,,1,Ahriman,0,x,N/A,,N/A,
Alpgrot Orobon,Alpgrot Orobon,exact,alpgrot orobon,2304501,6500040,1045,Angler,,alpgrot orobons,instanced-dungeon,,,0,Angler,0,,52,52,,
Alpha Coywolf,Alpha Coywolf,exact,alpha coywolf,2201409,,1014,Wolf/Hyena/Hellhound,,alpha coywolves,leve-or-quest,,,0,Wolf,0,,13,,801,
Alpha Eft,Alpha Eft,exact,alpha eft,2201309,,1013,Salamander,,alpha efts,leve-or-quest,,,0,Salamander,0,,50,50,,
Alpha Gnat,Alpha Gnat,exact,alpha gnat,2200607,,1006,Gnat,,alpha gnats,leve-or-quest,,,0,Gnat,0,,30,,,
Alpha Miteling,Alpha Miteling,exact,alpha miteling,2201113,,1011,Crab,,alpha mitelings,leve-or-quest,,,0,Diremite,0,,50,,,
Alpha Roseling,Alpha Roseling,exact,alpha roseling,2202712,,1027,Flytrap,,alpha roselings,leve-or-quest,,,0,Landtrap,0,,30,30,,
Alpha Toad,Alpha Toad,exact,alpha toad,2203106,,1031,Gigantoad,,alpha toads,leve-or-quest,,,0,Toad,0,,50,,,
Alux,Alux,exact,alux,2102609,,1026,Imp,,alux,persistent,,,0,Imp,0,x,42,,"27,489",
Alvara Sourkiss,Alvara Sourkiss,exact,alvara sourkiss,2280133,,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",Alvara Sourkiss,leve-or-quest,Wanted: Alvara Sourkiss,,1,Enemy Humanoid,0,,,,,
Amalj'aa Bowyer,Amalj'aa Bowyer,exact,amalj'aa bowyer,2106515 2162007 2162008 2162009 2206511 2206544,,1065,Amlaj'aa,,Amalj'aa bowyers,persistent | leve-or-quest,,,1,Amalj'aa,0,,42,,,
Amalj'aa Bruiser,Amalj'aa Bruiser,exact,amalj'aa bruiser,2162019 2162020 2162021,,1620,,"a second Amalj'aa roster, named by office and stronghold rather than by job - the Zahar'ak garrison, its clerical titles and the Burned converts; near-disjoint in naming from race 1065, which holds the rest of the Amalj'aa, but overlapping it in both zone and level",Amalj'aa bruisers,persistent,,,1,Amalj'aa,0,,27,29,,
Amalj'aa Chief,Amalj'aa Chief,exact,amalj'aa chief,2206528 2206530 2206531,,1065,Amlaj'aa,,Amalj'aa chiefs,leve-or-quest,,,1,Amalj'aa,0,Y,59,59,,
Amalj'aa Divinator,Amalj'aa Divinator,exact,amalj'aa divinator,2162031 2162032 2162033,,1620,,"a second Amalj'aa roster, named by office and stronghold rather than by job - the Zahar'ak garrison, its clerical titles and the Burned converts; near-disjoint in naming from race 1065, which holds the rest of the Amalj'aa, but overlapping it in both zone and level",Amalj'aa divinators,persistent,,,1,Amalj'aa,0,,47,49,,
Amalj'aa Drubber,Amalj'aa Drubber,exact,amalj'aa drubber,2106501 2106538 2106539 2106540 2206503,,1065,Amlaj'aa,,Amalj'aa drubber,persistent | leve-or-quest,,,1,Amalj'aa,0,,,,,
Amalj'aa Grappler,Amalj'aa Grappler,exact,amalj'aa grappler,2106503 2106504 2106505 2106506 2106507,,1065,Amlaj'aa,,Amalj'aa grapplers,persistent,,,1,Amalj'aa,0,,65,99,5891,11513
Amalj'aa Grunt,Amalj'aa Grunt,exact,amalj'aa grunt,2106537,,1065,Amlaj'aa,,Amalj'aa grunts,persistent,,,1,Amalj'aa,0,,30,,2741,
Amalj'aa Hunter,Amalj'aa Hunter,exact,amalj'aa hunter,2162001 2162002 2162003,,1620,,"a second Amalj'aa roster, named by office and stronghold rather than by job - the Zahar'ak garrison, its clerical titles and the Burned converts; near-disjoint in naming from race 1065, which holds the rest of the Amalj'aa, but overlapping it in both zone and level",Amalj'aa hunters,persistent,,,1,Amalj'aa,0,,27,29,,
Amalj'aa Inculcator,Amalj'aa Inculcator,exact,amalj'aa inculcator,2206507,,1065,Amlaj'aa,,Amalj'aa inculcators,leve-or-quest,,,1,Amalj'aa,0,,50,70,4385,6500
Amalj'aa Javelineer,Amalj'aa Javelineer,exact,amalj'aa javelineer,2162010 2162011 2162012,,1620,,"a second Amalj'aa roster, named by office and stronghold rather than by job - the Zahar'ak garrison, its clerical titles and the Burned converts; near-disjoint in naming from race 1065, which holds the rest of the Amalj'aa, but overlapping it in both zone and level",Amalj'aa javelineers,persistent,,,1,Amalj'aa,0,,27,29,,
Amalj'aa Lancer,Amalj'aa Lancer,exact,amalj'aa lancer,2106508 2162016 2162017 2162018 2206508 2206523 2206535 2206536,,1065,Amlaj'aa,,Amalj'aa lancers,persistent | leve-or-quest,,,1,Amalj'aa,0,,55,55,,
Amalj'aa Pugilist,Amalj'aa Pugilist,exact,amalj'aa pugilist,2106502 2206504 2206533 2206534 2206539 2206546,,1065,Amlaj'aa,,Amalj'aa pugilist,persistent | leve-or-quest,,,1,Amalj'aa,0,,36,59,1987,5234
Amalj'aa Shaman,Amalj'aa Shaman,exact,amalj'aa shaman,2106522 2206517 2206524 2206537 2206538 2206541 2206547,,1065,Amlaj'aa,,Amalj'aa shamans,persistent | leve-or-quest,,Lord Errant,1,Amalj'aa,0,,55,55,,
Amalj'aa Stargazer,Amalj'aa Stargazer,exact,amalj'aa stargazer,2162025 2162026 2162027,,1620,,"a second Amalj'aa roster, named by office and stronghold rather than by job - the Zahar'ak garrison, its clerical titles and the Burned converts; near-disjoint in naming from race 1065, which holds the rest of the Amalj'aa, but overlapping it in both zone and level",Amalj'aa stargazers,persistent,,,1,Amalj'aa,0,,27,29,,
Amalj'aa Striker,Amalj'aa Striker,exact,amalj'aa striker,2106541,,1065,Amlaj'aa,,Amalj'aa strikers,persistent,,Freedom Isn't Free,1,Amalj'aa,0,,32,34,,
Amalj'aa Transfigurator,Amalj'aa Transfigurator,exact,amalj'aa transfigurator,2206514 2206516,,1065,Amlaj'aa,,Amalj'aa transfigurators,leve-or-quest,,,1,Amalj'aa,0,,45,66,2385,3605
Amalj'aa Transfisticator,Amalj'aa Transfisticator,exact,amalj'aa transfisticator,2206501 2206502,,1065,Amlaj'aa,,Amalj'aa transfisticators,leve-or-quest,,,1,Amalj'aa,0,,45,66,1987,3605
Amalj'aa Transfixer,Amalj'aa Transfixer,exact,amalj'aa transfixer,2206505,,1065,Amlaj'aa,,Amalj'aa transfixers,leve-or-quest,,,1,Amalj'aa,0,,36,66,2385,3605
Amalj'aa Trooper,Amalj'aa Trooper,exact,amalj'aa trooper,2206509 2206510,,1065,Amlaj'aa,,Amalj'aa troopers,leve-or-quest,,,1,Amalj'aa,0,,36,66,2385,3605
Amateur Footpad,Amateur Footpad,exact,amateur footpad,2280101,,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",amateur footpads,leve-or-quest,,,0,Enemy Humanoid,0,,,,,
Amateur Highwayman,Amateur Highwayman,exact,amateur highwayman,2280103,,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",amateur highwaymen,leve-or-quest,,,0,Enemy Humanoid,0,,,,,
Amateur Raider,Amateur Raider,exact,amateur raider,2280105,,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",amateur raiders,leve-or-quest,,,0,Enemy Humanoid,0,,,,,
Anemone,Anemone,exact,anemone,2105405 2105406 2105411 2205408,,1054,Jellyfish,,anemones,persistent | leve-or-quest,Soft Targets,,0,Aurelia,0,,45,54,2252,2688
Angler,Angler,exact,angler,2104501 2104509 2204505,,1045,Angler,,anglers,persistent | leve-or-quest,From the Sea to the Trees,Fishing for Answers,0,Angler,0,,20,24,682,920
Ankle Biter,Ankle Biter,exact,ankle biter,2205603,,1056,Chigoe,,ankle biters,leve-or-quest,,,0,Chigoe,0,,10,,2,3
Anole,Anole,exact,anole,2100201 2100202 2100214 2100215,,1002,Raptor,,anoles,persistent,,,0,Raptor,0,,55,64,3387,4043
Anole Familiar,Anole Familiar,exact,anole familiar,2200205,6500035,1002,Raptor,,anole familiars,leve-or-quest,,,0,Raptor,0,,19,,2783,
Anole Stalker,Anole Stalker,exact,anole stalker,2200206,,1002,Raptor,,anole stalkers,leve-or-quest,,,0,Raptor,0,,40,52,,
Antares,Antares,exact,antares,2301102,,1011,Crab,,Antares,instanced-dungeon,,,1,Diremite,0,x,38,38,,
Antelope Doe,Antelope Doe,exact,antelope doe,2100301 2100302 2100312 2100313 2100314,,1003,Antelope,,antelope does,persistent,,A Hypocritical Oath,0,Antelope,0,,20,29,1342,1508
Antelope Stag,Antelope Stag,exact,antelope stag,2100305 2100306,,1003,Antelope,,antelope stags,persistent,,,0,Antelope,0,,45,54,2517,3004
Antling Digger,Antling Digger,exact,antling digger,2103001 2103002 2103010 2103011 2103012,,1030,Antling,,antling diggers,persistent,,,0,Antling,0,,35,39,1693,1876
Antling Forager,Antling Forager,exact,antling forager,2103003 2103004,,1030,Antling,,antling foragers,persistent,,,0,Antling,0,,50,54,2339,2530
Antling Worker,Antling Worker,exact,antling worker,2203001 2203002 2203003 2203011,1001857,1030,Antling,,antling workers,leve-or-quest,Antling Invasion,Pride and Duty (Will Take You from the Mountain),0,Antling,0,,35,59,847,1919
Apep,Apep,exact,apep,2100723,,1007,Basilisk,,Apep,persistent,,,1,Basilisk,0,,53,53,,
Apkallu,Apkallu,exact,apkallu,2102902 2102905 2202901 2202902,,1029,Apkallu,,apkallus,persistent | leve-or-quest,,,0,Apkallu,0,,55,59,2258,2443
Arbor Squirrel,Arbor Squirrel,exact,arbor squirrel,2104005 2104006,,1040,Rat,,arbor squirrels,persistent,,,0,Rodent,0,,20,29,1364,1774
Ascian,Ascian,exact,ascian,2106901 2206901,,1069,Ascian,,Ascians,persistent | leve-or-quest,,Toll of the Warden,1,Ascian,0,,,,,
Ashdrake,Ashdrake,exact,ashdrake,2102226 2102227 2102228,,1022,Drake,,ashdrake,persistent,,,0,Drake,0,,43,49,,
Atomos,Atomos,exact,atomos,2111001 2111002 2111003 2111004 2111005 2111006 2111007 2111008,,1110,,"not a block: the race Atomos, missing from this dump's copy of xtx_monsterRace. It is one display name over 24 actors, the shape of the primal and single-creature races, and it sits immediately after the table's last row 1109",Atomos,persistent,,,1,Primal,0,Y,60,,,
Aurelia,Aurelia,exact,aurelia,2105401 2105402 2105410 2105412 2205407,,1054,Jellyfish,,aurelias,persistent | leve-or-quest,Dream a Little Bream | Jellyfish in a Barrel | Seeing to the Overseers,Shapeless Melody,0,Aurelia,0,,10,19,175,385
Aurora Angler,Aurora Angler,exact,aurora angler,2104508,,1045,Angler,,aurora anglers,persistent,,The Penultimate Prank,0,Angler,0,,30,30,,
B'khenna the Pheonixfire,B'khenna the Phoenixfire,exact,b'khenna the phoenixfire,2280121,,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",B'khenna the Phoenixfire,leve-or-quest,Still Wanted: B'khenna the Phoenixfire | Wanted: B'khenna the Phoenixfire,,1,Enemy Humanoid,0,,,,,
Balloon,Balloon,exact,balloon,2101602,,1016,Bomb,,balloons,persistent,"Operation: Frame Work | Operation: Shuteye | Operation: Up, Up, and Away",Gone with the Wind,0,Bomb,0,,35,39,1904,2110
Bandicoot,Bandicoot,exact,bandicoot,2105715 2105716,,1057,Hedgemole,,bandicoots,persistent,,,0,Mole,0,,55,59,4032,4362
Bandit Spearman,Bandit Spearman,exact,bandit spearman,2180125 2180126 2180166 2180167 2180168 2280135 2280136,,1801,,"brigands - footpads, highwaymen, raiders - and most of the lunatic cult, the rest of which is in 1803",bandit spearmen,persistent | leve-or-quest,,,0,Enemy Humanoid,0,,,,,
Banemite,Banemite,exact,banemite,2101106 2101107,,1011,Crab,,banemites,persistent,,,0,Diremite,0,,65,74,3142,3751
