ge_page_title,ge_revision_id,ge_revision_timestamp,family,superfamily,subfamilies,subspecies,element,elemental_weakness,gender,jobs,incapacitation,behavior_flags,common_drops,notable_drops,source
Category:Ahriman,154200,2012-08-07T18:48:39Z,Ahriman,Voidsent,"Ahriman, Eye",,Earth,Water,Male,,"Eye (Head), Other (Outer)","A, S",,,ge-mob-family-pages
Category:Aldgoat,272997,2012-08-07T18:34:34Z,Aldgoat,Beastkin,"Billygoat, Nannygoat",,Earth,Water,Both,,Horns (Head),P,,,ge-mob-family-pages
Category:Amalj'aa,480625,2012-08-08T19:25:24Z,Amalj'aa,Spoken,,,Fire,Wind,,,,"A, S",,,ge-mob-family-pages
Category:Angler,495569,2012-08-08T19:41:49Z,Angler,Wavekin,"Angler, Orobon",,Water,Lightning,,,,"A, TH",,,ge-mob-family-pages
Category:Antling,482739,2012-08-08T19:36:57Z,Antling,Vilekin,,,,,,,Mandibles (Head),"A, H",,,ge-mob-family-pages
Category:Apkallu,276504,2012-08-07T18:49:23Z,Apkallu,Cloudkin,,,Water,Lightning,,,,"A, S",,,ge-mob-family-pages
Category:Aurelia,459911,2012-08-08T19:32:43Z,Aurelia,Wavekin,,,,,,,,"A, H",,,ge-mob-family-pages
Category:Bat,346383,2012-08-07T18:52:54Z,Bat,Cloudkin,"Bat, Kalong",,Wind,Ice,,,,"A, H",,,ge-mob-family-pages
Category:Beetle,420442,2011-09-27T00:43:49Z,Beetle,Vilekin,,"Beetle, Ladybug, Weevil",,,,,,,,,ge-mob-family-pages
Category:Boar,365009,2012-08-08T19:37:47Z,Boar,Beastkin,"Boar, Hog",,,,,,Head (Head),"A, TH",,,ge-mob-family-pages
Category:Bomb,276259,2012-08-07T18:46:43Z,Bomb,Voidsent,"Bomb, Grenade",,Fire,Wind,,,,"A, S",,,ge-mob-family-pages
Category:Buffalo,34774,2011-09-26T23:59:50Z,Buffalo,Beastkin,,,,,,,,,,,ge-mob-family-pages
Category:Cactuar,153238,2012-08-07T18:54:34Z,Cactuar,Seedkin,,,,,,,Legs (Legs),P,,,ge-mob-family-pages
Category:Coblyn,434044,2012-08-07T19:26:55Z,Coblyn,Soulkin,"Coblyn, Doblyn",,Earth,Water,,,Other (Outer),P,,,ge-mob-family-pages
Category:Coeurl,249862,2012-04-30T18:47:03Z,Coeurl,Beastkin,,,Lightning,,,,,,,Coeurl's Eye,ge-mob-family-pages
Category:Crab,273460,2012-08-09T16:26:32Z,Crab,Wavekin,,,Water,,,,Other (Outer),"P, H",,"Shellsplitter, Venerer's Bracers",ge-mob-family-pages
Category:Diremite,477690,2012-08-08T19:32:15Z,Diremite,Vilekin,,"Diremite, Miteling, Banemite",,,,,,"A, H",,,ge-mob-family-pages
Category:Drake,277800,2012-08-07T17:28:49Z,Drake,Scalekin,"Drake, Biast",,,,,,,"A, H",,,ge-mob-family-pages
Category:Elemental,281035,2012-08-07T18:05:48Z,Elemental,Soulkin,,,,,,,,"A, H",,,ge-mob-family-pages
Category:Enemy Humanoid,509088,2012-08-08T19:30:26Z,Enemy Humanoid,Spoken,,"Bandit,",,,,,,"A, S",,,ge-mob-family-pages
Category:Flan,13529,2012-08-08T19:35:58Z,Flan,Voidsent,,,,,,,,"A, H",,,ge-mob-family-pages
Category:Funguar,276857,2012-08-07T18:53:54Z,Funguar,Seedkin,,,,,,,,P,,,ge-mob-family-pages
Category:Gnat,341965,2012-08-08T19:41:24Z,Gnat,Vilekin,"Gnat, Ked",,Lightning,Earth,,,Head (Head),"A, TH",,,ge-mob-family-pages
Category:Goblin,11323,2012-08-08T19:27:13Z,Goblin,Spoken,,,,,,,,P,,,ge-mob-family-pages
Category:Golem,29323,2012-07-28T21:31:46Z,Golem,Voidsent,,,Earth,Water,,,,,,,ge-mob-family-pages
Category:Goobbue,278042,2012-08-07T18:06:29Z,Goobbue,Seedkin,,,,,,,,"A, H",,,ge-mob-family-pages
Category:Hippogryph,433856,2012-08-08T19:41:28Z,Hippogryph,Cloudkin,"Hippogryph, Hippocerf",,,,,,Head (Head),"A, TH",,,ge-mob-family-pages
Category:Imp,433631,2011-10-02T09:03:49Z,Imp,Voidsent,"Imp, Devilet",,Ice,Fire,,,Head (Head),,,,ge-mob-family-pages
Category:Ixal,497214,2012-08-08T19:25:59Z,Ixal,Spoken,,,,,,,,"A, S",,,ge-mob-family-pages
Category:Kobold,383187,2012-08-08T19:25:57Z,Kobold,Spoken,,,,,,,,"A, S",,,ge-mob-family-pages
Category:Landtrap,262839,2012-08-08T19:35:05Z,Landtrap,Seedkin,,"Roseling, Flytrap",Wind,Ice,,,Maw (Head),"A, H",,,ge-mob-family-pages
Category:Mole,299629,2012-08-07T18:38:17Z,Mole,Beastkin,,"Mole, Shrew, Hedgemole",,,,,,P,,,ge-mob-family-pages
Category:Morbol,152042,2012-08-08T19:41:20Z,Morbol,Seedkin,,,,,,,,"A, TH",,,ge-mob-family-pages
Category:Ogre,274210,2012-08-07T18:47:31Z,Ogre,Voidsent,,,,,,,Head (Head),"A, S",,,ge-mob-family-pages
Category:Opo-opo,79578,2012-08-07T18:39:08Z,Opo-opo,Beastkin,,,,,,,"Head (Head), Legs (Lower)",P,,,ge-mob-family-pages
Category:Plasmoid,89329,2012-08-08T19:35:02Z,Plasmoid,Voidsent,,,Lightning,,,,,"A, H",,,ge-mob-family-pages
Category:Puk,273986,2011-09-27T01:08:45Z,Puk,Scalekin,,,,,,,,,,,ge-mob-family-pages
Category:Qiqirn,339906,2012-08-08T19:27:48Z,Qiqirn,Spoken,,,,,,,,P,,,ge-mob-family-pages
Category:Raptor,273735,2012-08-07T17:31:08Z,Raptor,Scalekin,,"Raptor, Anole",,fire,male,dragoon,,"A, S, L",,,ge-mob-family-pages
Category:Rodent,496658,2012-08-07T18:12:50Z,Rodent,Beastkin,,"Dormouse, Marmot, Rat, Squirrel",,,,,,P,,,ge-mob-family-pages
Category:Salamander,277453,2012-08-16T19:56:08Z,Salamander,Scalekin,,,,,,,"Other (Right), Other (Left)","A, H",,,ge-mob-family-pages
Category:Slug,357631,2011-09-27T00:55:37Z,Slug,Wavekin,,,,,,,,,,,ge-mob-family-pages
Category:Snurble,172856,2012-05-05T20:58:16Z,Snurble,Voidsent,,,Lightning,,,Conjurer,,,Snurble Tufts,,ge-mob-family-pages
Category:Spriggan,275916,2012-08-08T18:59:18Z,Spriggan,Soulkin,,,Lightning,Earth,,,,"A, S",,,ge-mob-family-pages
Category:Swarm,94843,2012-08-16T21:22:56Z,Swarm,Vilekin,"Bees, Midges, Syrphids",,Wind,Ice,,,,,,,ge-mob-family-pages
Category:Sylph,497227,2011-09-27T00:31:25Z,Sylph,Spoken,,,,,,,,,,,ge-mob-family-pages
Category:Toad,499471,2012-08-07T17:30:41Z,Toad,Scalekin,,,,,,,,"A, S",,,ge-mob-family-pages
Category:Treant,275496,2012-08-07T17:30:00Z,Treant,Seedkin,,,Earth,,,,,"A, H",,,ge-mob-family-pages
Category:Vulture,94978,2012-08-07T18:08:16Z,Vulture,Cloudkin,"Vulture, Condor",,Wind,Ice,,,,"A, S",,,ge-mob-family-pages
Category:Wight,94917,2012-08-08T19:34:06Z,Wight,Ashkin,,,Ice,,,,"Skull(Head), Right Humerus(Limbs), Left Humerus(Limbs), Femur(Limbs)","A, H","Bone Chip, Soiled Femur",Skull Eyepatch (Black),ge-mob-family-pages
Category:Wisp,89388,2011-09-30T05:31:28Z,Wisp,Voidsent,,,Fire,,,,,,,,ge-mob-family-pages
Category:Yarzon,443940,2012-08-08T19:35:55Z,Yarzon,Vilekin,,,,,,,,"A, H",,,ge-mob-family-pages
