side,family,client_race_id,ge_mob_count,counterpart,evidence_counterpart,evidence_mobs,nearest_unmatched
ge,Ahriman,,15,Ahriman,Ahriman,15,
ge,Aldgoat,,13,Aldgoats,Aldgoats,13,
ge,Amalj'aa,,30,,Amlaj'aa,14,Amlaj'aa
ge,Angler,,16,Angler,Angler,15,
ge,Antelope,,9,Antelope,Antelope,9,
ge,Antling,,11,Antling,Antling,11,
ge,Apkallu,,4,Apkallu,Apkallu,4,
ge,Ascian,,1,Ascian,Ascian,1,
ge,Aurelia,,12,,Jellyfish,12,
ge,Basilisk,,12,Basilisk,Basilisk,12,
ge,Bat,,10,Bat,Bat,10,
ge,Beetle,,11,,Weevil,11,
ge,Boar,,10,Boar,Boar,10,
ge,Bomb,,14,Bomb,Bomb,13,
ge,Buffalo,,3,Buffalo,Buffalo,3,
ge,Cactuar,,9,,Sabotender,9,
ge,Chigoe,,11,Chigoe,Chigoe,11,
ge,Chimera,,1,,キマイラ (仮),1,Chigoe
ge,Coblyn,,10,Coblyn,Coblyn,10,
ge,Cockatrice,,12,Cockatrice,Cockatrice,12,
ge,Coeurl,,1,,Couerl,1,Couerl
ge,Crab,,18,Crab,Crab,18,
ge,Cyclopes,,1,,サイクロプス,1,
ge,Diremite,,19,,Crab,19,
ge,Drake,,19,Drake,Drake,19,
ge,Elemental,,10,Elemental,,,
ge,Enemy Humanoid,,103,,Imperial,3,
ge,Firefly,,5,Firefly,Firefly,5,
ge,Flan,,4,Flan,Flan,4,
ge,Fomor,,14,,Zombie,14,
ge,Funguar,,12,Funguar,Funguar,12,
ge,Gargoyle,,2,Gargoyle,Gargoyle,2,
ge,Ghost,,17,Ghost,Ghost,16,
ge,Gnat,,12,Gnat,Gnat,12,
ge,Goblin,,7,Goblin,Goblin,7,
ge,Golem,,2,,Golem (1.2),2,Golem (1.2) | Gargoyle
ge,Goobbue,,4,Goobbue,Goobbue,4,
ge,Hippogryph,,8,Hippogryph,Hippogryph,8,
ge,Hyur,,1,,,,
ge,Imp,,10,Imp,Imp,8,
ge,Ixal,,24,Ixal,Ixal,24,
ge,Juggernaut,,1,Juggernaut,Juggernaut,1,
ge,Kobold,,24,Kobold,Kobold,24,
ge,Landtrap,,24,,Flytrap,24,
ge,Magitek Armor,,3,,キラーマシン(仮),1,
ge,Mole,,15,,Hedgemole,15,Morbol
ge,Moogle,,7,,モーグリ,7,Morbol
