client_display_name,client_race_id,client_race_name,actor_ids,name_relation,documented_siblings,id_neighbors,bracket_basis,race_run_position,spawn_container,leve_basis,client_leve,client_quest,leve_candidates,leve_one_sided,band_level_floor,band_zone_hint,level_bracket_low,level_bracket_high,zone_candidates
11th order patriarch gu bu,1066,Kobold,2206610 2206613,race-documented,,Kobold Bedesman | Kobold Ashman,flanked,0.7979,leve-or-quest,flanked,,,Caravan Security,,,,52,52,Western La Noscea
59th order matriarch go zu,1066,Kobold,2206623,race-documented,,Kobold Junkman | Kobold Bedesman,flanked,0.9362,leve-or-quest,flanked,,,Caravan Security,,,,52,53,Western La Noscea
abacus slug,1042,Slug,2304205,sibling-base,Ghost Slug | Giant Slug | Sand Slug,Sulfur Slug,above-race-high,1.0000,instanced-dungeon,,,,,,35,The Aurum Vale,,,
acid bomb,1016,Bomb,2201608,sibling-base,Bomb | Brimstone Bomb | Fire Bomb,Grenade | Void Flame,flanked,0.8077,leve-or-quest,above-band-high,,,,Preventing the Plague,,,39,60,Central Thanalan | The Thousand Maws of Toto-Rak
agitated aurelia,1054,Jellyfish,2205409,sibling-base,Aurelia | Drifting Aurelia | Frenzied Aurelia,Anemone | Drifting Anemone,flanked,0.8889,leve-or-quest,flanked,,,Sharing the Load | Soft Targets,,,,45,45,Eastern La Noscea | Lower La Noscea | Mistbeard Cove
ajattara,1007,Basilisk,2200707,race-documented,,Fellbite Peiste | Peiste Familiar,flanked,0.8286,leve-or-quest,flanked,,,Bigger Fish to Fry | Desert Defilement | Dunesfolk for Dinner,,,,19,45,Eastern La Noscea | Eastern Thanalan | Southern Thanalan
aloes rosetrap,1027,Flytrap,2302705,race-documented,,Lily of the Vale,above-race-high,1.0000,instanced-dungeon,,,,,,35,The Aurum Vale | The Thousand Maws of Toto-Rak,,,
alpha dreadwolf,1014,Wolf/Hyena/Hellhound,2201422,sibling-base,Dreadwolf | Hungry Dreadwolf | Territorial Dreadwolf,Dreadwolf | Hungry Dreadwolf,flanked,0.8667,leve-or-quest,flanked,,,Cat Eat Dog | The Call of Nature | Thwack Ye Mole,,,,25,29,Central Shroud | Coerthas Eastern Lowlands | The Mun-Tuy Cellars
alpha imp,1026,Imp,2202609,sibling-base,Firestarter Imp | Runagate Imp,Devilet | Dusty Devilet,flanked,0.9130,leve-or-quest,flanked,,,A Devilet's Best Friend | Behest: Humblehearth | Escape from Cell E05,,,,30,40,The Mun-Tuy Cellars | The Tam-Tara Deepcroft | Western La Noscea
amalj'aa archer,1065,Amlaj'aa,2106516 2206512,sibling-prefix,,Amalj'aa Bowyer | Amalj'aa Shaman,flanked,0.1705,persistent | leve-or-quest,flanked,,,Caravan Security | Operation: Broken Thunder | Operation: Warm Welcome,,,,42,55,Eastern Thanalan | The Battle for the Golden Bazaar
amalj'aa augur,1065,Amlaj'aa,2106524 2106525 2106526 2106527 2106528 2206518,sibling-prefix,,Amalj'aa Shaman | Amalj'aa Grunt,flanked,0.2614,persistent | leve-or-quest,flanked,,,The Battle for the Golden Bazaar,,,,30,55,Eastern Thanalan | The Battle for the Golden Bazaar
amalj'aa drudge,1065,Amlaj'aa,2106542,sibling-prefix,,Amalj'aa Striker | Amalj'aa Bowyer,flanked,0.4659,persistent,,,Rustproof,,,,,32,42,Eastern Thanalan
amalj'aa halberdier,1065,Amlaj'aa,2106509,sibling-prefix,,Amalj'aa Lancer | Amalj'aa Bowyer,flanked,0.0909,persistent,,,,,,,,42,55,Eastern Thanalan | The Battle for the Golden Bazaar
amalj'aa high divinator,1065,Amlaj'aa,2206527,sibling-prefix,,Amalj'aa Shaman | Amalj'aa Chief,flanked,0.7727,leve-or-quest,flanked,,,The Battle for the Golden Bazaar,,,,55,59,The Battle for the Golden Bazaar
amalj'aa impaler,1065,Amlaj'aa,2106510 2106511 2106512 2106513 2106514,sibling-prefix,,Amalj'aa Lancer | Amalj'aa Bowyer,flanked,0.1023,persistent,,,,,,,,42,55,Eastern Thanalan | The Battle for the Golden Bazaar
amalj'aa marksman,1065,Amlaj'aa,2106517 2106518 2106519 2106520 2106521,sibling-prefix,,Amalj'aa Bowyer | Amalj'aa Shaman,flanked,0.1818,persistent,,,,,,,,42,55,Eastern Thanalan | The Battle for the Golden Bazaar
amalj'aa mesmerizer,1065,Amlaj'aa,2106523,sibling-prefix,,Amalj'aa Shaman | Amalj'aa Grunt,flanked,0.2500,persistent,,,,,,,,30,55,Eastern Thanalan | The Battle for the Golden Bazaar
amalj'aa pennoncier,1065,Amlaj'aa,2206525,sibling-prefix,,Amalj'aa Shaman | Amalj'aa Chief,flanked,0.7500,leve-or-quest,flanked,,,The Battle for the Golden Bazaar,,,,55,59,The Battle for the Golden Bazaar
amalj'aa pennoncier captain,1065,Amlaj'aa,2206526,sibling-prefix,,Amalj'aa Shaman | Amalj'aa Chief,flanked,0.7614,leve-or-quest,flanked,,,The Battle for the Golden Bazaar,,,,55,59,The Battle for the Golden Bazaar
amalj'aa warrior,1065,Amlaj'aa,2106529 2106530 2106531 2106532 2106533 2106534 2106535 2106536,sibling-prefix,,Amalj'aa Shaman | Amalj'aa Grunt,flanked,0.3182,persistent,,,,,,,,30,55,Eastern Thanalan | The Battle for the Golden Bazaar
angry lead coblyn,1021,Coblyn,2202113,sibling-base,Cavernulous Coblyn | Copper Coblyn | Corroded Coblyn,Lead Coblyn | Territorial Coblyn,flanked,0.9318,leve-or-quest,flanked,,,Caravan Security | The Unheard Horizon,,,,15,25,Western Thanalan
angry mongrel,1014,Wolf/Hyena/Hellhound,2101410,sibling-base,Blotched Mongrel | Dirty Mongrel | Dusty Mongrel,Dusty Mongrel | Laughing Mongrel,flanked,0.1500,persistent,,,,,,,,45,55,Central Thanalan | Northern Thanalan | Western Thanalan
antling drone,1030,Antling,2203009,sibling-base,Myrmidon Drone,Territorial Antling | Territorial Digger,flanked,0.7000,leve-or-quest,flanked,,,Caravan Security,,,,27,50,Eastern Thanalan | Western Thanalan
arbor bee swarm,1053,Swarm,2105304,sibling-base,Emerald Bee Swarm | Honeybee Swarm | Hoverfly Swarm,Shroud Bee Swarm | Syrphid Swarm,flanked,0.1154,persistent,,,,,,,,15,17,Eastern La Noscea | Lower La Noscea | South Shroud
ashkin walker,1018,Zombie,2201805,race-documented,,Zombie Mage | Zombie Mage,flanked,0.8125,leve-or-quest,flanked,,,Eyeopener | Restless be the Damned | The Battle for Hyrstmill,,,,40,40,Eastern Thanalan | North Shroud | The Battle for Hyrstmill
babe snatcher,1039,Weevil,2203906,race-documented,,Gorgebug | Ladybug,flanked,0.8824,leve-or-quest,above-band-high,,,,Annexing the Shore,,,20,25,Central Shroud | Eastern La Noscea | South Shroud
battle wolf,1014,Wolf/Hyena/Hellhound,2101423,sibling-base,Black Wolf | Bloodthirsty Wolf | Lone Wolf,Scarred Watchwolf | Feral Watchdog,flanked,0.3667,persistent,,,,,,,,30,59,Central Shroud | Natalan
bee swarm,1053,Swarm,2105313,sibling-base,Emerald Bee Swarm | Honeybee Swarm | Hoverfly Swarm,Sun Midge Swarm | Syrphid Swarm,flanked,0.4615,persistent,,,,,,,,6,15,Eastern La Noscea | Lower La Noscea | Southern Thanalan
befuddled bat,1041,Bat,2204109,sibling-base,Black Bat | Cave Bat | Giant Bat,Croft Kalong | Sand Bat,flanked,0.9545,leve-or-quest,above-band-high,,,,Necrologos: The Ever-reaching Claw,,,35,52,Cutter's Cry | The Mun-Tuy Cellars
big-bellied orobon,1045,Angler,2204509,sibling-base,Alpgrot Orobon | Bigmouth Orobon | Orobon,Orobon | Territorial Angler,flanked,0.8929,leve-or-quest,flanked,,,Caravan Security | From the Sea to the Trees | Necrologos: Celeritous Impetus,,,,35,50,Cassiopeia Hollow | Eastern Thanalan
billygoat,1023,Aldgoats,2102312,sibling-base,Longhorn Billygoat | Lowland Billygoat | Mosshorn Billygoat,Elder Mosshorn | Aldgoat Billy,flanked,0.3667,persistent,,,,,,,,30,60,Eastern La Noscea | Lower La Noscea | Western Thanalan
bison,1008,Buffalo,2100802 2200802,race-documented,,Great Buffalo | Tarbh Uisge,flanked,0.1429,persistent | leve-or-quest,flanked,,,Skirmish | Wanted: Mammoth and Master,,,,60,65,Eastern La Noscea | Western La Noscea
blood-eyed buzzard,1012,Vulture,2201201 2201202,sibling-base,Buzzard | Nestling Buzzard,Scout Vulture | Buzzard,flanked,0.6364,leve-or-quest,below-band-low,,,,Proof is in the Pudding.,,,40,50,East Shroud | Eastern La Noscea | Northern Thanalan
bloodhound,1014,Wolf/Hyena/Hellhound,2201417,race-documented,,Blotched Mongrel | Imperial War Hound,flanked,0.7833,leve-or-quest,flanked,,,Cat Eat Dog | The Call of Nature | Thwack Ye Mole,,,,40,54,Castrum Novum | Eastern Thanalan | Mor Dhona
bloodshore eft,1013,Salamander,2101303,sibling-base,Alpha Eft | Bark Eft | Black Eft,Surf Eft,below-race-low,0.0625,persistent,,,,,,,,,,
bloodsucker,1042,Slug,2104211,race-documented,,Dew Hare | Slippery Sykes,flanked,0.2857,persistent,,,,,,,,36,45,Eastern La Noscea | South Shroud | West Shroud
blue dewflower sylph,1067,Sylph,2206706,sibling-base,Green Dewflower Sylph | Red Dewflower Sylph | Turquoise Dewflower Sylph,Yellow Dewflower Sylph,above-race-high,0.8000,leve-or-quest,above-band-high,,,,Operation: Sylph Stalkings,,,,,
bombard king,1016,Bomb,2201607 2201612,race-documented,,Grenade | Void Flame,flanked,0.7692,leve-or-quest,above-band-high,,,,Preventing the Plague,,,39,60,Central Thanalan | The Thousand Maws of Toto-Rak
