mob_name,zone,map_coords,event_or_quest,level_range,drops,behavior_flags,source
Aetherbound Slave,Locke's Lie,,Skirmish,55,,A,ge-mob-pages
Ahriman,Upper La Noscea,,,,,A,ge-mob-pages
Ahriman,Southern Thanalan,,,,,A,ge-mob-pages
Akoman,Locke's Lie,,Skirmish,55,,A,ge-mob-pages
Akoman's Daewa,Locke's Lie,,Skirmish,55,,A,ge-mob-pages
Ala Mhigan Axeman,Mor Dhona,11-16,Return of the King...of Ruin,53,,A,ge-mob-pages
Ala Mhigan Bladedancer,Ul'dah,5-5,Thrill of the Fight,36,,A,ge-mob-pages
Ala Mhigan Bowman,Mor Dhona,11-16,Return of the King...of Ruin,53,,A,ge-mob-pages
Ala Mhigan Challenger,Ul'dah,5-5,All Bark and No Bite,20,,A,ge-mob-pages
Ala Mhigan Challenger,Ul'dah,5-5,Thrill of the Fight,36,,A,ge-mob-pages
Ala Mhigan Pikeman,Mor Dhona,11-16,Return of the King...of Ruin,53,,A,ge-mob-pages
Ala Mhigan Shaman,Mor Dhona,11-16,Return of the King...of Ruin,53,,A,ge-mob-pages
Alchemist's Tinder,U'Ghamaro Mines,6-5,,50,,A,ge-mob-pages
Aldgoat Billy,Lower La Noscea,,,21-24,"{{Drops|Name=Aldgoat Skin||}}, {{Drops|Name=Aldgoat Chuck||}}, {{Drops|Name=Straw||}}, {{Drops|Name=Salt Leek||}}",P,ge-mob-pages
Aldgoat Billy,Eastern La Noscea,"38-20, 37-17",,30 - 34,"{{Drops|Name=Aldgoat Skin||}}, {{Drops|Name=Aldgoat Chuck||}}, {{Drops|Name=Straw||}}, {{Drops|Name=Salt Leek||}}",P,ge-mob-pages
Aldgoat Billy,Western Thanalan,,,20-33,"{{Drops|Name=Aldgoat Skin||}}, {{Drops|Name=Aldgoat Chuck||}}, {{Drops|Name=Straw||}}, {{Drops|Name=Thanalan Tea Leaves||}}, {{Drops|Name=Sagolii Sage||}}",P,ge-mob-pages
Aldgoat Nanny,Lower La Noscea,,,,"{{Drops|Name=Aldgoat Chuck||}}, {{Drops|Name=Aldgoat Skin||}}, {{Drops|Name=Aldgoat Milk||}}, {{Drops|Name=Cieldalaes Spinach||}}, {{Drops|Name=Sagolii Sage||}}",P,ge-mob-pages
Aldgoat Nanny,Western Thanalan,,,20-29,"{{Drops|Name=Aldgoat Chuck||}}, {{Drops|Name=Aldgoat Skin||}}, {{Drops|Name=Aldgoat Milk||}}, {{Drops|Name=Cieldalaes Spinach||}}, {{Drops|Name=Sagolii Sage||}}",P,ge-mob-pages
Aldgoat Nanny,Western La Noscea,12-21,,17 - 19,"{{Drops|Name=Aldgoat Chuck||}}, {{Drops|Name=Aldgoat Skin||}}, {{Drops|Name=Aldgoat Milk||}}, {{Drops|Name=Cieldalaes Spinach||}}, {{Drops|Name=Sagolii Sage||}}",P,ge-mob-pages
Aldgoat Nanny,Eastern La Noscea,"35-14, 35-21, 34-26, 35-25, 37-25, 36-22, 36-21, 35-18, 34-18, 33-18, 38-17",,17 - 24,"{{Drops|Name=Aldgoat Chuck||}}, {{Drops|Name=Aldgoat Skin||}}, {{Drops|Name=Aldgoat Milk||}}, {{Drops|Name=Cieldalaes Spinach||}}, {{Drops|Name=Sagolii Sage||}}",P,ge-mob-pages
All-seeing Eye,The Dzemael Darkhold,,,N/A,,P,ge-mob-pages
Alpgrot Orobon,The Dzemael Darkhold,,,52,{{Drops|Name=Orobon Liver|Link=|0|0}},A,ge-mob-pages
Alpha Coywolf,Central Shroud,,Dendrological Duties,,,A,ge-mob-pages
