client_display_name,likely_cause,client_race_id,client_proper_name,quest_pages,quest_level_floor,quest_classification,ge_page_title,ge_revision_id,ge_revision_timestamp
agitated aurelia,ge-gap,1054,0,1,20,Sidequest,Moonstruck,233370,2012-02-11T12:18:18Z
amalj'aa,race-name-only,1065,1,13,,Grand Company Quest | Grand Company Sidequest | Job Quest | Main Scenario Quest | Sidequest,Clasping to Hope | Freedom Isn't Free | Hearing Voices (1.x) | International Relations | It Kills with Fire (Gridania) | It Kills with Fire (Limsa Lominsa) | It Kills with Fire (Ul'dah) | Lord Errant | Rustproof | Sanguine Studies | Toll of the Warden | Traumaturgy | When Alchemists Cry,233816 | 55904 | 94267 | 92984 | 97101 | 96800 | 97377 | 488506 | 29370 | 234346 | 405971 | 8110 | 96534,2012-01-14T15:47:41Z | 2012-01-14T15:55:03Z | 2012-09-12T20:55:59Z | 2012-08-25T01:40:24Z | 2012-07-30T22:02:41Z | 2012-07-30T22:19:42Z | 2012-08-27T20:03:40Z | 2012-05-21T06:32:53Z | 2012-01-14T15:50:15Z | 2012-01-14T15:50:19Z | 2012-01-14T16:00:59Z | 2012-06-19T17:24:35Z | 2012-07-06T16:22:02Z
amalj'aa drudge,ge-gap,1065,1,1,28,Sidequest,Rustproof,29370,2012-01-14T15:50:15Z
amalj'aa warrior,ge-gap,1065,1,1,27,Sidequest,Sanguine Studies,234346,2012-01-14T15:50:19Z
angry lead coblyn,ge-gap,1021,0,1,25,Grand Company Sidequest,Prying Eyes,95549,2012-07-30T22:13:32Z
audhumbla,named-boss-gap,1008,1,1,45,Job Quest,Proof Is the Pudding,166770,2012-07-11T05:07:16Z
bandit archer,faction-filler,1801,0,1,45,Job Quest,The Wheel of Disaster,105583,2012-07-03T18:12:09Z
bandit butcher,faction-filler,1890,0,1,45,Job Quest,The Wheel of Disaster,105583,2012-07-03T18:12:09Z
bandit grappler,faction-filler,1890,0,1,45,Job Quest,The Wheel of Disaster,105583,2012-07-03T18:12:09Z
bandit lancer,faction-filler,1890,0,1,45,Job Quest,The Wheel of Disaster,105583,2012-07-03T18:12:09Z
bandit pathfinder,faction-filler,1801,0,1,30,Class Quest,The Foreboding Forest,153340,2012-06-21T04:28:15Z
bandit scout,faction-filler,1801,0,1,30,Class Quest,The Foreboding Forest,153340,2012-06-21T04:28:15Z
bloodhound,ge-gap,1014,0,1,,Main Scenario Quest,Of Men They Sing,157498,2012-06-13T04:02:35Z
