ge_page_title,ge_revision_id,ge_revision_timestamp,removed_before_arr,mob_name,family,subfamily,subspecies,mob_type,job,gender,element,elemental_weakness,aggressive,behavior_flags,notorious_monster,level_low,level_high,hp_low,hp_high,mp_low,mp_high,drops_no_shards,drops_no_crystals,notes,etymology,source
Aetherbound Slave,30728,2012-07-29T18:41:28Z,0,Aetherbound Slave,Ogre,,,,,,Fire,Wind,Y,,Y,55,,,,,,Y,Y,,,ge-mob-pages
Ahriman,151160,2011-09-25T00:45:00Z,0,Ahriman,Ahriman,,,,,,,,x,,,65,74,6087,7267,6030,7190,,,,"In ancient Persia, Ahriman were demons who opposed Ahura Mazda and are considered to be the first personification of the devil himself.",ge-mob-pages
Akoman,30023,2012-07-29T18:35:30Z,0,Akoman,Ahriman,,,,Thaumaturge,,,,Y,,Y,55,,,,,,Y,Y,Spawns along with several Akoman's Daewas.,,ge-mob-pages
Akoman's Daewa,30132,2012-07-29T18:37:28Z,0,Akoman's Daewa,Ahriman,,,,Thaumaturge,,,,Y,,,55,,,,,,Y,Y,Spawns with Akoman,,ge-mob-pages
Ala Mhigan Axeman,320859,2012-05-31T05:26:10Z,0,Ala Mhigan Axeman,Enemy Humanoid,Hyur,,,Marauder,Male,,,Y,,Y,53,53,,,,,Y,Y,,,ge-mob-pages
Ala Mhigan Bladedancer,322113,2012-06-01T03:38:07Z,0,Ala Mhigan Bladedancer,Enemy Humanoid,Hyur,,,Marauder,,,,Y,,Y,36,36,,,,,X,X,,,ge-mob-pages
Ala Mhigan Bowman,320907,2012-05-31T05:26:47Z,0,Ala Mhigan Bowman,Enemy Humanoid,Hyur,,,Archer,Male,,,Y,,Y,53,53,,,,,Y,Y,,,ge-mob-pages
Ala Mhigan Challenger,295301,2012-06-01T03:56:22Z,0,Ala Mhigan Challenger,Enemy Humanoid,Lalafell,,,"Gladiator, Marauder",Male,,,x,,x,20,36,,,,,,,,,ge-mob-pages
Ala Mhigan Pikeman,320961,2012-05-31T05:27:21Z,0,Ala Mhigan Pikeman,Enemy Humanoid,Hyur,,,Lancer,Male,,,Y,,Y,53,53,,,,,Y,Y,,,ge-mob-pages
Ala Mhigan Shaman,321017,2012-05-31T05:27:41Z,0,Ala Mhigan Shaman,Enemy Humanoid,Hyur,,,Conjurer,Male,,,Y,,Y,53,53,,,,,Y,Y,,,ge-mob-pages
Alchemist's Tinder,10342,2012-02-25T21:22:50Z,0,Alchemist's Tinder,Wisp,,,,Thaumaturge,,Fire,,Yes,,,50,,2393,,3930,,,,,,ge-mob-pages
Aldgoat Billy,280177,2012-05-29T23:51:48Z,0,Aldgoat Billy,Aldgoat,,,,,Male,Earth,,,,,30,39,2193,2813,568,726,,,,,ge-mob-pages
Aldgoat Nanny,280536,2012-05-29T23:50:06Z,0,Aldgoat Nanny,Aldgoat,,,,,Female,Earth,Water,,,,20,29,2046,2661,427,552,,,,,ge-mob-pages
All-seeing Eye,1020,2012-08-07T18:50:00Z,0,All-seeing Eye,Ahriman,,,,,,,,,P,x,N/A,,N/A,,N/A,,,,"All-seeing Eye is invulnerable to all harm. It will patrol a specific sector of The Dzemael Darkhold relative to how much progress the party has made. At particular locations, it will pause briefly and cast Death March, regardless of whether or not there are players near the location at the time.","The All-seeing Eye, or Eye of Providence, is a religious symbol found in many forms across many faiths; it often symbolizes the ubiquitous eye of God.",ge-mob-pages
Alpgrot Orobon,323022,2012-06-01T21:24:28Z,0,Alpgrot Orobon,Angler,,,,,,Water,,Y,,,52,52,,,,,,,,,ge-mob-pages
Alpha Coywolf,373778,2011-09-19T00:00:07Z,0,Alpha Coywolf,Wolf,,,,,,,,x,,,13,,801,,350,,,,,,ge-mob-pages
Alpha Eft,326644,2012-06-06T18:56:39Z,0,Alpha Eft,Salamander,,,,,,,,Y,,,50,50,,,,,,,,,ge-mob-pages
Alpha Gnat,372607,2012-06-20T22:33:52Z,0,Alpha Gnat,Gnat,,,,,,Lightning,,Y,,,30,,,,,,,,,,ge-mob-pages
Alpha Miteling,308316,2012-06-14T00:53:30Z,0,Alpha Miteling,Diremite,Diremite,,,,,,,Y,,,50,,,,,,,,"Despite its name, it is a full Diremite and has a tail.",,ge-mob-pages
Alpha Roseling,329241,2012-06-05T03:45:27Z,0,Alpha Roseling,Landtrap,Roseling,,,,,Earth,,Y,,,30,30,,,,,,,,,ge-mob-pages
Alpha Toad,372674,2012-06-20T22:35:42Z,0,Alpha Toad,Toad,,,,,,Water,,Y,,,50,,,,,,,,,,ge-mob-pages
Alux,216116,2012-08-29T04:17:36Z,0,Alux,Imp,,,,Conjurer,,Ice,,x,,x,42,,"27,489",,"23,190",,,,Involved in the quest Honor Lost.,,ge-mob-pages
Alvara Sourkiss,28320,2010-12-20T20:38:15Z,0,Alvara Sourkiss,Enemy Humanoid,,,Quest,,,,,,,,,,,,,,,,,,ge-mob-pages
Amalj'aa Bowyer,363007,2012-06-14T00:54:49Z,0,Amalj'aa Bowyer,Amalj'aa,,,,Archer,,Fire,,Y,,,42,,,,,,,,,,ge-mob-pages
