npc_name,ge_page_title,join_pass,client_display_name,actor_id_count,actor_ids,actor_id_prefixes,race,clan,gender,occupation,affiliation,zones,map_coords
269th Order Mendicant Da Za,269th Order Mendicant Da Za,exact,269th order mendicant da za,1,1060038,10,Kobold,,Male,,,Western Thanalan,11-28
???,???,exact,???,86,1000174 1000376 1000902 1000903 1000904 1000919 1000920 1000921,10 12,,,,,,Mor Dhona,21-10
A'mihgazoo,A'mihgazoo,exact,a'mihgazoo,1,1500424,15,Miqo'te,Seekers of the Sun,Female,Mercantile House Representative,Ul'dah,Ul'dahn Mercantile House,1-1
A'naidjaa,A'naidjaa,exact,a'naidjaa,1,1000465,10,Miqo'te,Seekers of the Sun,Female,,Gridania,Gridania,6-5
A'nimuili,A'nimuili,exact,a'nimuili,1,1600032,16,Miqo'te,Seekers of the Sun,Female,Merchant,Gridania,Gridania,7-4
A'shakkal,A'shakkal,exact,a'shakkal,1,1000078,10,Miqo'te,Seekers of the Sun,Female,Linkshell Merchant,Limsa Lominsa,Limsa Lominsa,7-5
Abandoned Child,Abandoned Child,exact,abandoned child,1,1001223,10,Hyur,Midlander,Male,,Ul'dah,Ul'dah,5-5
Abelard,Abelard,exact,abelard,1,1001596,10,Hyur,Highlander,Male,Miner,,Western Thanalan,9-27
Abraham,Abraham,exact,abraham,1,1002066,10,Hyur,Midlander,Male,,Limsa Lominsa,Lower La Noscea,22-29
Abylbenn,Abylbenn,exact,abylbenn,1,1500290,15,Roegadyn,,Male,Chocobo Caravan Leader,Limsa Lominsa,Western La Noscea,
Abylgo Hamylgo,Abylgo Hamylgo,exact,abylgo hamylgo,1,1000965,10,Lalafell,Plainsfolk,Male,,Ul'dah,Ul'dah,5-5
Adeldreda,Adeldreda,exact,adeldreda,1,1500064,15,Hyur,Midlander,Female,,Ul'dah,Eastern Thanalan,19-37
Adri,Adri,exact,adri,1,1600081,16,Hyur,Highlander,Male,Merchant,Limsa Lominsa,Limsa Lominsa,7-7
Adventurer,Adventurer (Coral Tower 1),exact,adventurer,4,1000101 1000869 1000870 1000871,10,Lalafell,,Female,,Limsa Lominsa,Limsa Lominsa,2-6
Adventurer,Adventurer (Coral Tower 2),exact,adventurer,4,1000101 1000869 1000870 1000871,10,,,,,Limsa Lominsa,Limsa Lominsa,2-6
Adventurer,Adventurer (Coral Tower 3),exact,adventurer,4,1000101 1000869 1000870 1000871,10,,,,,Limsa Lominsa,Limsa Lominsa,2-6
Adventurer,Adventurer (Coral Tower 4),exact,adventurer,4,1000101 1000869 1000870 1000871,10,,,,,Limsa Lominsa,Limsa Lominsa,2-6
Aeduin,Aeduin,exact,aeduin,1,1600092,16,Hyur,Midlander,Male,,Gridania,Gridania,6-6
Aeglyffe,Aeglyffe (1.x),exact,aeglyffe,1,1001176,10,Hyur,Midlander,Male,,Ul'dah,Ul'dah,5-5
Aenore,Aenore,exact,aenore,1,1001705,10,Hyur,Midlander,Female,,Limsa Lominsa,Limsa Lominsa,1-1
Aentfoet,Aentfoet,exact,aentfoet,1,1000064,10,Roegadyn,Sea Wolves,Male,,Limsa Lominsa,Limsa Lominsa,7-3
Aergfloh,Aergfloh,exact,aergfloh,1,1001579,10,Roegadyn,,Male,,,Thanalan,22-29
Aerghaemr,Aerghaemr,exact,aerghaemr,1,1001609,10,Roegadyn,Sea Wolf,Male,,,Western La Noscea,7-20
Aergwynt Ironbellow,Aergwynt,exact,aergwynt,1,1000347,10,Roegadyn,,Male,,Limsa Lominsa,Limsa Lominsa,7-5
Aerstsyn,Aerstsyn,exact,aerstsyn,1,1000627,10,Roegadyn,,Male,,Gridania,Gridania,8-2
Agzu Rungzu,Agzu Rungzu,exact,agzu rungzu,1,1001324,10,Lalafell,,Male,,Ul'dah,Western Thanalan,36-12
Ahldbyrt,Ahldbyrt,exact,ahldbyrt,1,1001715,10,Roegadyn,,Male,,Ul'dah,Ul'dah,
Ahldiyrn,Ahldiyrn,exact,ahldiyrn,1,1600023,16,Roegadyn,Hellsguard,Male,Merchant,Gridania,Gridania,8-3
Ahldoen,Ahldoen,exact,ahldoen,1,1000361,10,Roegadyn,,Male,Gatewarden,Limsa Lominsa,Western La Noscea,15-18
Ahldskyf,Ahldskyf,exact,ahldskyf,1,1000332,10,Roegadyn,Sea Wolves,Male,,,Limsa Lominsa,4-5
Ahldwaen,Ahldwaen,exact,ahldwaen,1,1500069,15,Roegadyn,Sea Wolves,Male,Gatewarden,Gridania,East Shroud,29-47
Ahldwilf,Ahldwilf,exact,ahldwilf,1,1500420,15,Roegadyn,,Male,Mercantile House Representative,Ul'dah,Ul'dahn Mercantile House,1-1
Ailith,Ailith,exact,ailith,1,1001628,10,Hyur,Midlander,Female,Thaumaturge,Ul'dah,South Shroud,44-47
Aistan,Aistan,exact,aistan,1,1001726,10,Hyur,,Male,,,Ul'dah,6-3
Aistrach,Aistrach,exact,aistrach,1,1500101,15,Roegadyn,Sea Wolves,Male,Quartermaster,,Western Thanalan,13-29
Ajin Zukajin,Ajin Zukajin,exact,ajin zukajin,1,1001700,10,Lalafell,,Male,,Limsa Lominsa,Limsa Lominsa,1-1
Ala Mhigan Challenger,Ala Mhigan Challenger (NPC),exact,ala mhigan challenger,1,1000601,10,Lalafell,Plainsfolk,Male,,Ala Mhigo,Ul'dah,5-5
Ala Mhigan Resistance Captain,Ala Mhigan Resistance Captain,exact,ala mhigan resistance captain,1,1000477,10,Hyur,,Male,,Ala Mhigo,,
Alaire,Alaire,exact,alaire,1,1000831,10,Hyur,Midlander,Male,,Gridania,Gridania,8-5
Alamenain,Alamenain,exact,alamenain,1,1500276,15,Elezen,Wildwood Elezen,Male,Cauldron Carrier,,Central Thanalan,29-20
Alberic,Alberic,exact,alberic,1,1002001,10,Hyur,Midlander,Male,,Ishgard,Coerthas Central Highlands,35-18
Aldebrand,Aldebrand,exact,aldebrand,1,1001601,10,Hyur,Midlander,Male,Miner,,Eastern Thanalan,40-28
Aldyet,Aldyet,exact,aldyet,1,1001703,10,Hyur,Midlander,Female,Adventurer,Limsa Lominsa,Limsa Lominsa,1-1
Alfgar,Alfgar,exact,alfgar,2,1500195 1500231,15,Hyur,Midlander,Male,,Limsa Lominsa,Limsa Lominsa,7-5
Alistair,Alistair,exact,alistair,1,1500237,15,Hyur,Highlander,Male,Repair Merchant,Limsa Lominsa,Eastern La Noscea,36-20
Alixe,Alixe,exact,alixe,1,1000066,10,Elezen,Wildwood Elezen,Female,,Gridania,Gridania,7-3
Allenaure,Allenaure,exact,allenaure,1,1600044,16,Elezen,Wildwood Elezen,Female,Merchant,Ul'dah,Ul'dah,7-4
Allond,Allond,other-locale,storm sergeant allond,2,1001617 1002103,10,Hyur,Midlander,Male,Event NPC,Limsa Lominsa,Limsa Lominsa,7-6
Almxio,Almxio,exact,almxio,1,1001085,10,Sylph,,,,,Merchants Ward,
Alret,Alret,exact,alret,1,1002114,10,Hyur,Midlander,Male,Farmer,,,
Amenie,Amenie,exact,amenie,1,1600072,16,Elezen,,Female,Merchant,Ul'dah,Tradescraft Row,1-1
Amianne,Amianne,exact,amianne,1,1001355,10,Elezen,Wildwood Elezen,Female,Culinarian,,Coerthas Eastern Lowlands,62-34
Anene,Anene,exact,anene,1,1000427,10,Lalafell,,Male,,Gridania,Gridania,6-6
Angry River,Angry River,exact,angry river,1,1001510,10,Roegadyn,Sea Wolves,Male,,Limsa Lominsa,Limsa Lominsa,4-5
Anselm,Anselm (1.x),exact,anselm,1,1001951,10,Hyur,Midlander,Male,,Gridania,Gridania,6-6
Ansgor,Ansgor,exact,ansgor,2,1500117 1700037,15 17,Hyur,Highlander,Male,Parley Merchant,Limsa Lominsa,Limsa Lominsa,6-5
Anthoinette,Anthoinette,exact,anthoinette,1,1001415,10,Hyur,Midlander,Female,Priestess,Ul'dah,Ul'dah,7-6
Anxious Adventurer,Anxious Adventurer,exact,anxious adventurer,1,1000441,10,Hyur,Midlander,Male,,,Limsa Lominsa Opening,
Apacho Naccho,Apacho Naccho,exact,apacho naccho,1,1001417,10,Lalafell,,Male,,Ul'dah,Ul'dah,7-6
