ge_page_title,ge_revision_id,ge_revision_timestamp,removed_before_arr,npc_name,race,clan,gender,occupation,affiliation,zones,locations,map_coords,npc_type,sells,source
269th Order Mendicant Da Za,250307,2012-04-30T20:54:36Z,0,269th Order Mendicant Da Za,Kobold,,Male,,,Western Thanalan,The Footfalls,11-28,,,ge-npc-pages
A'mihgazoo,244112,2012-04-28T17:22:31Z,0,A'mihgazoo,Miqo'te,Seekers of the Sun,Female,Mercantile House Representative,Ul'dah,Ul'dahn Mercantile House,Market Wards,1-1,,,ge-npc-pages
A'naidjaa,499582,2010-10-11T19:31:20Z,0,A'naidjaa,Miqo'te,Seekers of the Sun,Female,,Gridania,Gridania,The Oak Atrium,6-5,,,ge-npc-pages
A'nimuili,475706,2012-04-21T19:47:55Z,0,A'nimuili,Miqo'te,Seekers of the Sun,Female,Merchant,Gridania,Gridania,Fen-Yll Fineries,7-4,,"{{Sells|Weathered Workboots|552}} {{Sells|Weathered Thighboots (Grey)|446}} {{Sells|Sheepskin Duckbills|312}} {{Sells|Sheepskin Leggings|7,654}} {{Sells|Dodoskin Shoes|5,632}} {{Sells|Leather Crakows|46,800}}",ge-npc-pages
A'shakkal,438119,2011-08-29T00:24:32Z,0,A'shakkal,Miqo'te,Seekers of the Sun,Female,Linkshell Merchant,Limsa Lominsa,Limsa Lominsa,"The Drowning Wench, Mizzenmast Inn, Upper Decks",7-5,,{{Sells|Linkshell|}},ge-npc-pages
Abandoned Child,321999,2012-06-01T03:23:18Z,0,Abandoned Child,Hyur,Midlander,Male,,Ul'dah,Ul'dah,The Coliseum,5-5,Instance,,ge-npc-pages
Abelard,29741,2011-07-22T07:31:27Z,0,Abelard,Hyur,Highlander,Male,Miner,,Western Thanalan,The Coffer & Coffin,9-27,,,ge-npc-pages
Abraham,361345,2012-06-11T16:06:27Z,0,Abraham,Hyur,Midlander,Male,,Limsa Lominsa,Lower La Noscea,Bearded Rock,22-29,Instance,,ge-npc-pages
Abylbenn,372550,2012-06-20T22:31:40Z,0,Abylbenn,Roegadyn,,Male,Chocobo Caravan Leader,Limsa Lominsa,Western La Noscea,Skull Valley,,,,ge-npc-pages
Abylgo Hamylgo,491442,2012-02-06T11:37:03Z,0,Abylgo Hamylgo,Lalafell,Plainsfolk,Male,,Ul'dah,Ul'dah,The Coliseum,5-5,,,ge-npc-pages
Adeldreda,512412,2012-06-03T23:50:41Z,0,Adeldreda,Hyur,Midlander,Female,,Ul'dah,Eastern Thanalan,The Golden Bazaar,19-37,,,ge-npc-pages
Adri,177467,2012-05-04T14:53:15Z,0,Adri,Hyur,Highlander,Male,Merchant,Limsa Lominsa,Limsa Lominsa,Naldiq & Vymelli's,7-7,,{{Sells|Weathered Cross-pein Hammer|600}} {{Sells|Birdsbeak Hammer|26600}} {{Sells|Crowsbeak Hammer|69600}} {{Sells|Steel Cross-pein Hammer|163400}} {{Sells|Bronze File|13376}} {{Sells|Steel File|95304}} {{Sells|Sheepskin Calot|432}} {{Sells|Dodoskin Skullcap|26928}} {{Sells|Velveteen Wedge Cap|59136}} {{Sells|Linen Wedge Cap|104576}} {{Sells|Hempen Kurta|780}} {{Sells|Dodoskin Harness|44880}} {{Sells|Velveteen Coatee|110880}} {{Sells|Linen Coatee|196080}} {{Sells|Hempen Shepherd's Slops|288}} {{Sells|Dodoskin Subligar|13464}} {{Sells|Velveteen Bottom|40656}} {{Sells|Linen Bottom|71896}} {{Sells|Sheepskin Wristguards|168}} {{Sells|Dodoskin Wristguards|4928}} {{Sells|Velveteen Shortgloves|36960}} {{Sells|Linen Shortgloves|65360}} {{Sells|Sheepskin Duckbills|312}} {{Sells|Dodoskin Espadrilles|20944}} {{Sells|Velveteen Gaiters|48048}} {{Sells|Linen Gaiters|84968}},ge-npc-pages
Adventurer (Coral Tower 1),336888,2010-08-14T04:02:10Z,0,Adventurer,Lalafell,,Female,,Limsa Lominsa,Limsa Lominsa,Coral Tower,2-6,,,ge-npc-pages
Adventurer (Coral Tower 2),338568,2010-08-14T03:57:10Z,0,Adventurer,,,,,Limsa Lominsa,Limsa Lominsa,Coral Tower,2-6,,,ge-npc-pages
Adventurer (Coral Tower 3),338621,2010-08-11T17:03:29Z,0,Adventurer,,,,,Limsa Lominsa,Limsa Lominsa,Coral Tower,2-6,Instance,,ge-npc-pages
Adventurer (Coral Tower 4),338657,2010-08-11T17:03:59Z,0,Adventurer,,,,,Limsa Lominsa,Limsa Lominsa,Coral Tower,2-6,Instance,,ge-npc-pages
Aeduin,366973,2012-04-28T01:41:46Z,0,Aeduin,Hyur,Midlander,Male,,Gridania,Gridania,Airship Landing,6-6,,"{{Sells|Midland Cabbage|1,688}} {{Sells|Blood Currants|1,310}} {{Sells|Faerie Apple|638}} {{Sells|Apple Juice|4,590}} {{Sells|Tinolqa Mistletoe|1,331}} {{Sells|Matron's Mistletoe|8,243}}",ge-npc-pages
Aeglyffe (1.x),322349,2012-06-01T03:52:23Z,0,Aeglyffe,Hyur,Midlander,Male,,Ul'dah,Ul'dah,The Coliseum,5-5,Cutscene,,ge-npc-pages
Aenore,240667,2012-05-01T01:44:49Z,0,Aenore,Hyur,Midlander,Female,,Limsa Lominsa,Limsa Lominsa,Airship Landing,1-1,,,ge-npc-pages
Aentfoet,338720,2012-05-04T20:11:30Z,0,Aentfoet,Roegadyn,Sea Wolves,Male,,Limsa Lominsa,Limsa Lominsa,The Bismarck,7-3,,,ge-npc-pages
Aergfloh,282551,2011-11-27T03:40:42Z,0,Aergfloh,Roegadyn,,Male,,,Thanalan,Central Thanalan,22-29,,,ge-npc-pages
Aerghaemr,57678,2011-08-02T00:26:38Z,0,Aerghaemr,Roegadyn,Sea Wolf,Male,,,Western La Noscea,Halfstone,7-20,,,ge-npc-pages
Aergwynt,338819,2012-05-06T17:39:39Z,0,Aergwynt Ironbellow,Roegadyn,,Male,,Limsa Lominsa,Limsa Lominsa,Lower Decks,7-5,,,ge-npc-pages
Aerstsyn,502897,2012-05-15T16:26:07Z,0,Aerstsyn,Roegadyn,,Male,,Gridania,Gridania,Wailing Barracks,8-2,,,ge-npc-pages
Agzu Rungzu,508534,2012-05-29T03:44:56Z,0,Agzu Rungzu,Lalafell,,Male,,Ul'dah,Western Thanalan,The Silver Bazaar,36-12,,,ge-npc-pages
Ahldbyrt,240778,2012-04-28T01:47:42Z,0,Ahldbyrt,Roegadyn,,Male,,Ul'dah,Ul'dah,Airship Landing,,,,ge-npc-pages
Ahldiyrn,477724,2012-04-21T20:00:06Z,0,Ahldiyrn,Roegadyn,Hellsguard,Male,Merchant,Gridania,Gridania,Ebony Stalls,8-3,,"{{Sells|Weathered Cross-pein Hammer|600}} {{Sells|Bronze File|13,376}} {{Sells|Bronze Ingot|1,500}} {{Sells|Iron Ingot|5,000}} {{Sells|Steel Ingot|10,500}} {{Sells|Bronze Rivets|600}} {{Sells|Iron Rivets|2,000}} {{Sells|Steel Rivets|4,200}} {{Sells|Ragstone Whetstone|612}} {{Sells|Mudstone Whetstone|1,368}}",ge-npc-pages
Ahldoen,338929,2010-12-25T01:55:42Z,0,Ahldoen,Roegadyn,,Male,Gatewarden,Limsa Lominsa,Western La Noscea,Camp Skull Valley,15-18,,,ge-npc-pages
Ahldskyf,447306,2011-07-18T16:46:44Z,0,Ahldskyf,Roegadyn,Sea Wolves,Male,,,Limsa Lominsa,Ferry Docks Limsa Lominsa,4-5,,,ge-npc-pages
Ahldwaen,505241,2011-05-23T23:24:56Z,0,Ahldwaen,Roegadyn,Sea Wolves,Male,Gatewarden,Gridania,East Shroud,Camp Nine Ivies,29-47,,,ge-npc-pages
Ahldwilf,244185,2012-04-28T17:29:41Z,0,Ahldwilf,Roegadyn,,Male,Mercantile House Representative,Ul'dah,Ul'dahn Mercantile House,Market Wards,1-1,,,ge-npc-pages
Ailith,49650,2011-07-31T11:09:03Z,0,Ailith,Hyur,Midlander,Female,Thaumaturge,Ul'dah,South Shroud,Quarrymill,44-47,,,ge-npc-pages
Aistan,412994,2012-07-27T17:35:00Z,0,Aistan,Hyur,,Male,,,Ul'dah,,6-3,,,ge-npc-pages
Aistrach,475754,2010-11-08T02:04:31Z,0,Aistrach,Roegadyn,Sea Wolves,Male,Quartermaster,,Western Thanalan,Camp Horizon,13-29,,,ge-npc-pages
Ajin Zukajin,252694,2012-05-01T01:40:13Z,0,Ajin Zukajin,Lalafell,,Male,,Limsa Lominsa,Limsa Lominsa,Airship Landing,1-1,,,ge-npc-pages
Ala Mhigan Challenger (NPC),322299,2012-06-01T03:45:00Z,0,Ala Mhigan Challenger,Lalafell,Plainsfolk,Male,,Ala Mhigo,Ul'dah,The Coliseum,5-5,,,ge-npc-pages
Ala Mhigan Resistance Captain,208857,2012-05-21T18:57:36Z,0,Ala Mhigan Resistance Captain,Hyur,,Male,,Ala Mhigo,,,,Instance,,ge-npc-pages
Alaire,503353,2012-05-15T15:19:21Z,0,Alaire,Hyur,Midlander,Male,,Gridania,Gridania,Quiver's Hold,8-5,,,ge-npc-pages
Alamenain,289418,2012-05-08T21:46:20Z,0,Alamenain,Elezen,Wildwood Elezen,Male,Cauldron Carrier,,Central Thanalan,Black Brush,29-20,,,ge-npc-pages
Alberic,251799,2012-05-12T15:49:18Z,0,Alberic,Hyur,Midlander,Male,,Ishgard,Coerthas Central Highlands,Dragonhead,35-18,,,ge-npc-pages
Aldebrand,29040,2011-07-22T03:53:07Z,0,Aldebrand,Hyur,Midlander,Male,Miner,,Eastern Thanalan,Mythril Pit T-8,40-28,,,ge-npc-pages
Aldyet,252850,2012-05-01T01:54:01Z,0,Aldyet,Hyur,Midlander,Female,Adventurer,Limsa Lominsa,Limsa Lominsa,Airship Landing,1-1,,,ge-npc-pages
Alfgar,18527,2012-05-03T14:51:12Z,0,Alfgar,Hyur,Midlander,Male,,Limsa Lominsa,Limsa Lominsa,The Drowning Wench,7-5,,,ge-npc-pages
Alistair,380639,2012-01-21T05:50:25Z,0,Alistair,Hyur,Highlander,Male,Repair Merchant,Limsa Lominsa,Eastern La Noscea,Camp Bloodshore,36-20,,,ge-npc-pages
Alixe,503222,2010-11-08T07:05:38Z,0,Alixe,Elezen,Wildwood Elezen,Female,,Gridania,Gridania,Atelier Fen-Yll,7-3,,,ge-npc-pages
Allenaure,473314,2011-10-06T11:47:55Z,0,Allenaure,Elezen,Wildwood Elezen,Female,Merchant,Ul'dah,Ul'dah,Sapphire Avenue Exchange,7-4,,"{{Sells|Weathered Doming Hammer|624}} {{Sells|Bronze Pliers|14,080}} {{Sells|Bronze Plate|3,300}} {{Sells|Iron Plate|11,000}} {{Sells|Steel Plate|23,100}} {{Sells|Bronze Rings|1,200}} {{Sells|Iron Rings|4,000}} {{Sells|Steel Rings|8,400}}",ge-npc-pages
Allond,36582,2012-03-05T06:54:14Z,0,Allond,Hyur,Midlander,Male,Event NPC,Limsa Lominsa,Limsa Lominsa,,7-6,,,ge-npc-pages
Almxio,424594,2012-05-10T15:58:52Z,0,Almxio,Sylph,,,,,Merchants Ward,,,Instance,,ge-npc-pages
Alret,52626,2012-08-14T22:09:24Z,0,Alret,Hyur,Midlander,Male,Farmer,,,,,Instance,,ge-npc-pages
Amenie,180595,2012-04-29T00:09:51Z,0,Amenie,Elezen,,Female,Merchant,Ul'dah,Tradescraft Row,Market Wards,1-1,,"{{Sells|Weathered Saw|660}} {{Sells|Chocobotail Saw|9,744}} {{Sells|Weathered Cross-pein Hammer|600}} {{Sells|Birdsbeak Hammer|8,512}} {{Sells|Weathered Doming Hammer|624}} {{Sells|Bronze Raising Hammer|8,512}} {{Sells|Weathered Chaser Hammer|636}} {{Sells|Bronze Ornamental Hammer|8,512}} {{Sells|Weathered Head Knife|588}} {{Sells|Brass Head Knife|8,341}} {{Sells|Rusty Needle|432}} {{Sells|Bat Fang Needle|6,236}} {{Sells|Weathered Alembic|612}} {{Sells|Brass Alembic|9,180}} {{Sells|Weathered Skillet|624}} {{Sells|Iron Skillet|9,360}}",ge-npc-pages
Amianne,59504,2011-08-02T22:59:52Z,0,Amianne,Elezen,Wildwood Elezen,Female,Culinarian,,Coerthas Eastern Lowlands,Owl's Nest,62-34,,,ge-npc-pages
Anene,474494,2012-05-07T17:21:44Z,0,Anene,Lalafell,,Male,,Gridania,Gridania,Carline Canopy,6-6,,,ge-npc-pages
Angry River,423029,2010-10-02T17:49:47Z,0,Angry River,Roegadyn,Sea Wolves,Male,,Limsa Lominsa,Limsa Lominsa,Mealvaan's Gate,4-5,,,ge-npc-pages
Anselm (1.x),259765,2012-05-07T17:30:42Z,0,Anselm,Hyur,Midlander,Male,,Gridania,Gridania,The Roost,6-6,,,ge-npc-pages
Ansgor,444264,2012-05-06T17:21:30Z,0,Ansgor,Hyur,Highlander,Male,Parley Merchant,Limsa Lominsa,Limsa Lominsa,East Hawkers' Alley,6-5,,,ge-npc-pages
Anthoinette,483403,2012-04-29T15:55:54Z,0,Anthoinette,Hyur,Midlander,Female,Priestess,Ul'dah,Ul'dah,Milvaneth Sacrarium,7-6,,,ge-npc-pages
Anxious Adventurer,341673,2010-09-04T03:11:05Z,0,Anxious Adventurer,Hyur,Midlander,Male,,,Limsa Lominsa Opening,,,Instance,,ge-npc-pages
Apacho Naccho,483538,2012-04-29T16:22:20Z,0,Apacho Naccho,Lalafell,,Male,,Ul'dah,Ul'dah,Milvaneth Sacrarium,7-6,,,ge-npc-pages
Arlth,380802,2012-01-21T05:59:21Z,0,Arlth,Hyur,Midlander,Male,,Limsa Lominsa,Eastern La Noscea,Camp Bloodshore,36-20,,,ge-npc-pages
Armantel,501897,2010-11-08T07:08:04Z,0,Armantel,Elezen,Wildwood Elezen,Male,,,,Falcon's Nest,,,,ge-npc-pages
Arnald,335137,2012-04-21T18:55:45Z,0,Arnald,Hyur,Midlander,Male,Merchant,Limsa Lominsa,Limsa Lominsa,East Hawkers' Alley,6-5,,"{{Sells|Weathered Head Knife|588}} {{Sells|Bronze Awl|15840}} {{Sells|Sheep Leather|1,200}} {{Sells|Dodo Leather|2,400}} {{Sells|Aldgoat Leather|4,000}} {{Sells|Toad Leather|6,000}} {{Sells|Mole Sinew|240}} {{Sells|Antelope Sinew|720}} {{Sells|Diremite Sinew|1987}}",ge-npc-pages
Arnegis,341729,2011-07-18T17:45:04Z,0,Arnegis,Hyur,Midlanders,Male,Limsa Lominsa,,Limsa Lominsa,Lower Decks,7-4,,,ge-npc-pages
Arscelin,22625,2011-08-02T23:10:47Z,0,Arscelin,Elezen,Wildwood Elezen,Male,,,Coerthas Eastern Lowlands,Owl's Nest,63-34,,,ge-npc-pages
Arthurioux,341777,2011-07-18T17:24:03Z,0,Arthurioux,Elezen,Wildwood Elezen,Male,,Limsa Lominsa,Limsa Lominsa,Coral Tower,6-2,,,ge-npc-pages
Ascilia,471046,2010-10-21T17:08:07Z,0,Ascilia,Hyur,Midlander,Female,,Ul'dah,Ul'dah,Sapphire Avenue Exchange,4-7,Instance,,ge-npc-pages
Aspipi,482701,2012-06-06T19:00:48Z,0,Aspipi,Lalafell,,Female,,Ul'dah,Ul'dah,Sunsilk Tapestries,7-6,,,ge-npc-pages
Astrid (1.x),346833,2012-05-06T17:12:23Z,0,Astrid,Elezen,Wildwood Elezen,Female,,Limsa Lominsa,Limsa Lominsa,Fisherman's Bottom,6-6,,,ge-npc-pages
Astute Merchant,346876,2010-08-25T01:02:01Z,0,Astute Merchant,Hyur,Midlander,Male,,,Limsa Lominsa Opening,,,Instance,,ge-npc-pages
Atelloune,288719,2012-01-21T05:39:35Z,0,Atelloune,Elezen,Wildwood,Female,,Limsa Lominsa,Eastern La Noscea,Red Rooster Stead,36-25,,,ge-npc-pages
Athalwolf,508391,2012-05-29T03:38:53Z,0,Athalwolf,Hyur,Highlander,Male,,Ul'dah,Western Thanalan,The Silver Bazaar,35-13,,,ge-npc-pages
Aubrenard,502992,2012-05-15T15:26:24Z,0,Aubrenard,Elezen,Wildwood Elezen,Male,,Gridania,Gridania,,7-4,,,ge-npc-pages
Audaine (1.x),346940,2010-10-02T17:39:45Z,0,Audaine,Elezen,Wildwood Elezen,Female,,Limsa Lominsa,Limsa Lominsa,East Hawkers' Alley,6-5,,,ge-npc-pages
Augustiniel (1.x),244342,2012-04-28T17:55:33Z,0,Augustiniel,Elezen,,Male,Mercantile House Representative,Ul'dah,Ul'dahn Mercantile House,Market Wards,1-1,,,ge-npc-pages
Aunillie,501312,2012-05-09T17:20:14Z,0,Aunillie,Hyur,Midlander,Female,Youngling,Gridania,Gridania,Acorn Orchard,5-5,,,ge-npc-pages
Austere Adventurer,346999,2011-07-01T09:57:09Z,0,Austere Adventurer,Hyur,Midlander,Male,,,,,,Instance,,ge-npc-pages
Autgar,367266,2012-04-28T01:57:43Z,0,Autgar,Hyur,Midlander,Male,,Ul'dah,Ul'dah,Airship Landing,2-1,,,ge-npc-pages
