spell,class,healing_magic_potency,vit,mnd,notes,normal_n,normal_min,normal_max,normal_predict,normal_dev_pct,normal_mean,crit_n,crit_min,crit_max,crit_predict,crit_dev_pct,crit_mean,crit_rate_pct,crit_bonus_pct,source
Cure,CNJ,424,178,263,,63,515,547,531.0,3.01,531.02,5,628,653,640.5,1.95,636.40,7.35,120.62,stat-testing-1-cure-formula
Cure,THM,424,178,274,,26,455,483,469.0,2.99,468.81,3,575,597,586.0,1.88,589.00,10.34,124.95,stat-testing-1-cure-formula
Cure,CNJ,465,178,263,,14,565,600,582.5,3.00,589.29,1,693,693,693.0,0.00,693.00,6.67,118.97,stat-testing-1-cure-formula
Cure,PGL,384,188,173,,19,413,439,426.0,3.05,428.37,0,0,0,0.0,#DIV/0!,#DIV/0!,0.00,0.00,stat-testing-1-cure-formula
Cure,PGL,394,192,213,,33,424,451,437.5,3.09,437.27,1,532,532,532.0,0.00,532.00,2.94,121.60,stat-testing-1-cure-formula
Cure,THM,404,168,252,,41,433,459,446.0,2.91,445.98,5,550,562,556.0,1.08,556.80,10.87,124.66,stat-testing-1-cure-formula
Cure,GLA,404,252,252,,126,442,469,455.5,2.96,455.31,10,547,572,559.5,2.23,560.10,7.35,122.83,stat-testing-1-cure-formula
Cure,THM,434,168,252,,43,463,491,477.0,2.94,476.63,1,584,584,584.0,0.00,584.00,2.27,122.43,stat-testing-1-cure-formula
Cure,THM,432,172,304,,22,463,492,477.5,3.04,478.14,2,579,584,581.5,0.43,581.50,8.33,121.78,stat-testing-1-cure-formula
Cure,THM,406,168,263,,25,436,463,449.5,3.00,449.36,4,544,562,553.0,1.63,552.50,13.79,123.03,stat-testing-1-cure-formula
Cure,THM,414,182,294,,77,445,472,458.5,2.94,456.79,9,554,579,566.5,2.21,567.44,10.47,123.56,stat-testing-1-cure-formula
Cure,CNJ,440,178,265,,98,535,569,552.0,3.08,552.82,11,653,693,673.0,2.97,680.00,10.09,121.92,stat-testing-1-cure-formula
Cure,CNJ,440,178,327,,55,550,584,567.0,3.00,565.38,5,685,700,692.5,1.08,693.40,8.33,122.13,stat-testing-1-cure-formula
Cure,ARC,400,178,238,,77,429,456,442.5,3.05,442.69,7,525,547,536.0,2.05,536.00,8.33,121.13,stat-testing-1-cure-formula
Cure,THM,410,178,277,,136,440,467,453.5,2.98,453.33,28,544,578,561.0,3.03,561.29,17.07,123.70,stat-testing-1-cure-formula
Cure,THM,410,178,277,+58 crit potency,158,440,467,453.5,2.98,453.46,18,589,625,607.0,2.97,612.33,10.23,133.85,stat-testing-1-cure-formula
Cure,THM,420,178,257,,50,451,479,465.0,3.01,464.32,4,567,588,577.5,1.82,582.00,7.41,124.19,stat-testing-1-cure-formula
Cure,THM,440,178,284,,37,472,502,487.0,3.08,485.24,2,590,619,604.5,2.40,604.50,5.13,124.13,stat-testing-1-cure-formula
Cure,THM,440,178,284,+58 crit potency,46,472,502,487.0,3.08,486.09,4,643,670,656.5,2.06,658.00,8.00,134.80,stat-testing-1-cure-formula
Cure,CNJ,63,15,26,lv2 self,12,40,42,41.0,2.44,41.50,2,49,50,49.5,1.01,49.50,14.29,120.73,stat-testing-1-cure-formula
Cure,ARC,63,15,24,lv2 self,6,35,37,36.0,2.78,36.00,1,44,44,44.0,0.00,44.00,14.29,122.22,stat-testing-1-cure-formula
Cura,CNJ,424,178,263,,10,1031,1095,1063.0,3.01,1059.60,0,0,0,0.0,#DIV/0!,#DIV/0!,0.00,0.00,stat-testing-1-cure-formula
Cura,CNJ,465,178,263,,99,1131,1200,1165.5,2.96,1167.00,5,1428,1463,1445.5,1.21,1445.60,4.81,124.02,stat-testing-1-cure-formula
Cura,CNJ,440,178,265,,39,1072,1137,1104.5,2.94,1104.31,5,1309,1376,1342.5,2.50,1339.20,11.36,121.55,stat-testing-1-cure-formula
Cura,CNJ,440,178,273,,23,1076,1142,1109.0,2.98,1106.39,2,1343,1374,1358.5,1.14,1358.50,8.00,122.50,stat-testing-1-cure-formula
Cura,CNJ,440,178,327,,86,1103,1169,1136.0,2.90,1133.94,10,1342,1412,1377.0,2.54,1378.30,10.42,121.21,stat-testing-1-cure-formula
