slug,date,topics,source_url,words,images
beginners-2010-10-25,2010-10-25,Maps; Enemies; Class Rank,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=1e61594542692375bcf4e3f19739271b62246c3b,1256,40
beginners-2010-11-01,2010-11-01,The Interactions Menu; Guildleves,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=045ed7dcd7f3d4932bd25621bf58477744aa1669,1057,13
beginners-2010-11-08,2010-11-08,Getting Around,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=44a5dbf09bf4036bee6eb412a21bad70f571e50d,1576,16
beginners-2010-11-15,2010-11-15,Battle; Passive & Active Modes,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=0e3b156291e322e78c6b7f2ae326693be2037591,1053,16
beginners-2010-11-22,2010-11-22,,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=3c4c2174afc1d32fdb9bbdf6baa0e586d0373a75,1330,27
beginners-2010-11-29,2010-11-29,,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=e752f2d11440e1efe5085cf80e921ab92461d5f6,621,17
beginners-2010-12-06,2010-12-06,,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=2f663a2ffe918a3b1484af130cf8e1a1cd88946e,424,10
beginners-2010-12-24,2010-12-24,Trading Items & Gil; Using Items,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=516d5c905934e9053dab2bd59b146b4c960af097,494,12
beginners-2011-01-11,2011-01-11,,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=8e174aef30f8e990495334bbe00fa5ee1e4b5f36,739,20
beginners-2011-01-17,2011-01-17,,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=988d5b53ff87b73f2172bcff7c64ded284583f44,1545,24
beginners-2011-02-08,2011-02-08,,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=07c7f2420b795e081100eb075362eb576294b07e,1434,12
beginners-2011-02-14,2011-02-14,Local Guildleves; Useful Stats for Disciples of the Hand,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=31027699ab52402701e16e5fb254e0866aa89b46,702,8
