slug,subclass,company,issue,date,title,source_url,words,images
mythril-eye-01,gc-newsletters,immortal-flames,1,,Disaster at the Darkhold,http://lodestone.finalfantasyxiv.com/pl/company/immortalflames/news/num01.html,508,1
mythril-eye-02,gc-newsletters,immortal-flames,2,,Mutamix's Materia,http://lodestone.finalfantasyxiv.com/pl/company/immortalflames/news/num02.html,500,1
mythril-eye-03,gc-newsletters,immortal-flames,3,,Flames Burn for Talent,http://lodestone.finalfantasyxiv.com/pl/company/immortalflames/news/num03.html,595,1
mythril-eye-04,gc-newsletters,immortal-flames,4,,Immortal Flames Afire,http://lodestone.finalfantasyxiv.com/pl/company/immortalflames/news/num04.html,484,1
mythril-eye-05,gc-newsletters,immortal-flames,5,,Ifrit Rising,http://lodestone.finalfantasyxiv.com/pl/company/immortalflames/news/num05.html,548,1
mythril-eye-06,gc-newsletters,immortal-flames,6,,Alvak's Spyglass - Much Ado about Aether,http://lodestone.finalfantasyxiv.com/pl/company/immortalflames/news/num06.html,232,1
mythril-eye-07,gc-newsletters,immortal-flames,7,,Alvak's Spyglass - In with the Old,http://lodestone.finalfantasyxiv.com/pl/company/immortalflames/news/num07.html,238,1
mythril-eye-08,gc-newsletters,immortal-flames,8,,Alvak's Spyglass - An Alliance Actually,http://lodestone.finalfantasyxiv.com/pl/company/immortalflames/news/num08.html,229,1
mythril-eye-09,gc-newsletters,immortal-flames,9,,Alvak's Spyglass - Clarion Call to the Commission of Officer,http://lodestone.finalfantasyxiv.com/pl/company/immortalflames/news/num09.html,307,1
mythril-eye-10,gc-newsletters,immortal-flames,10,,Prognostications of the Prophetess,http://lodestone.finalfantasyxiv.com/pl/company/immortalflames/news/num10.html,419,1
mythril-eye-11,gc-newsletters,immortal-flames,11,,On the Eve of Battle,http://lodestone.finalfantasyxiv.com/pl/company/immortalflames/news/num11.html,342,2
raven-01,gc-newsletters,twin-adder,1,,Toto-Rak Investigation Team Feared Lost,http://lodestone.finalfantasyxiv.com/pl/company/twinadder/news/num01.html,488,2
raven-02,gc-newsletters,twin-adder,2,,Twin Adder in a Tangle,http://lodestone.finalfantasyxiv.com/pl/company/twinadder/news/num02.html,647,1
raven-03,gc-newsletters,twin-adder,3,,Light of the Future,http://lodestone.finalfantasyxiv.com/pl/company/twinadder/news/num03.html,446,1
raven-04,gc-newsletters,twin-adder,4,,Moogle Myth Made Manifest,http://lodestone.finalfantasyxiv.com/pl/company/twinadder/news/num04.html,599,1
raven-05,gc-newsletters,twin-adder,5,,Dalamud Nigh,http://lodestone.finalfantasyxiv.com/pl/company/twinadder/news/num05.html,688,1
raven-06,gc-newsletters,twin-adder,6,,'Neath Garuda's Shadow,http://lodestone.finalfantasyxiv.com/pl/company/twinadder/news/num06.html,523,1
raven-07,gc-newsletters,twin-adder,7,,Coerthas Pummeled!,http://lodestone.finalfantasyxiv.com/pl/company/twinadder/news/num07.html,352,1
raven-08,gc-newsletters,twin-adder,8,,Alliance Takes the Offensive!,http://lodestone.finalfantasyxiv.com/pl/company/twinadder/news/num08.html,416,1
raven-09,gc-newsletters,twin-adder,9,,United in Prayer,http://lodestone.finalfantasyxiv.com/pl/company/twinadder/news/num09.html,424,1
harbor-herald-01,gc-newsletters,maelstrom,1,,The Maelstrom in Ishgard,http://lodestone.finalfantasyxiv.com/pl/company/maelstrom/news/num01.html,765,3
harbor-herald-02,gc-newsletters,maelstrom,2,,Adventurers in a Maelstrom,http://lodestone.finalfantasyxiv.com/pl/company/maelstrom/news/num02.html,704,1
harbor-herald-03,gc-newsletters,maelstrom,3,,My Little Chocobo,http://lodestone.finalfantasyxiv.com/pl/company/maelstrom/news/num03.html,629,1
harbor-herald-04,gc-newsletters,maelstrom,4,,Maelstrom in Motion,http://lodestone.finalfantasyxiv.com/pl/company/maelstrom/news/num04.html,501,1
harbor-herald-05,gc-newsletters,maelstrom,5,,My Little Chocobo Makeover,http://lodestone.finalfantasyxiv.com/pl/company/maelstrom/news/num05.html,751,2
harbor-herald-06,gc-newsletters,maelstrom,6,,Garleans in the Vale,http://lodestone.finalfantasyxiv.com/pl/company/maelstrom/news/num06.html,540,1
harbor-herald-07,gc-newsletters,maelstrom,7,,Imperial Invasion!,http://lodestone.finalfantasyxiv.com/pl/company/maelstrom/news/num07.html,439,1
harbor-herald-08,gc-newsletters,maelstrom,8,,The Cieldalaes to See Combat,http://lodestone.finalfantasyxiv.com/pl/company/maelstrom/news/num08.html,514,1
harbor-herald-09,gc-newsletters,maelstrom,9,,Wandering Minstrel Arrested,http://lodestone.finalfantasyxiv.com/pl/company/maelstrom/news/num09.html,357,2
harbor-herald-10,gc-newsletters,maelstrom,10,,Final Reckoning Nigh,http://lodestone.finalfantasyxiv.com/pl/company/maelstrom/news/num10.html,456,1
last-word-2011-04-27,the-last-word,,,2011-04-27,Storm over Gridania,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=e6b917db6b16abe848f566165ce66c98f455b272,268,0
last-word-2011-06-17,the-last-word,,,2011-06-17,A Tempest of Testimonies,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=2ea2230fd4f7228237d2b95a364e95893a614777,822,0
last-word-2012-01-17,the-last-word,,,2012-01-17,The Goobbue Tamer,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=24ab38a4500e23f35f250b53080a4821c1c8c78e,330,0
last-word-2012-01-26,the-last-word,,,2012-01-26,Wolves in Sheep's Clothing,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=b36e747f261459e12d181adc19d173c9c79d52ef,447,0
last-word-2012-08-10,the-last-word,,,2012-08-10,Imperial Concerns,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=ea141f78ca52386f721cf6950090aeda9d7899aa,385,0
last-word-2012-08-15,the-last-word,,,2012-08-15,Dalamud Approaches,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=42f5af2e69734d07720107684f4744b0e9b92bce,294,0
last-word-2012-08-23,the-last-word,,,2012-08-23,Aetheryte Camps Under Siege,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=8f3dad02224dbfa6778ebde492d0a1c11cb7bd35,343,0
last-word-2012-09-05,the-last-word,,,2012-09-05,Atomos Identified,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=0d67567395b229cfbf30a7aa26b2dd0de7270929,266,0
last-word-2012-09-25,the-last-word,,,2012-09-25,Unquiet Atomos,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=f1dcf2b0058a251b4d26ce557f72c429fcca7730,334,0
last-word-2012-10-11,the-last-word,,,2012-10-11,Garlean Movements,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=3e8a6d6705c30d2ccf26e92a596d5767ae15c7b3,333,0
last-word-2012-10-18,the-last-word,,,2012-10-18,Rising Panic,http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=8a121b0cb9d28313cd26b3d52eaca70ac9b51918,297,0
last-word-2012-11-01,the-last-word,,,2012-11-01,"Goodbye, and Good Luck",http://lodestone.finalfantasyxiv.com/pl/topics/detail?id=16dd1d55504ac5a0a0f3c5903e075b42f164c630,383,0
