slug,title,section,source_url,words,images
getting-started,Getting Started,getting-started,http://lodestone.finalfantasyxiv.com/pl/guide/start02.html,720,6
character-creation,Character Creation & World Selection,getting-started,http://lodestone.finalfantasyxiv.com/pl/guide/start01.html,304,4
launching-the-game,Launching & Closing the Game,getting-started,http://lodestone.finalfantasyxiv.com/pl/guide/basis02.html,463,5
controlling-your-character,Controlling Your Character,getting-started,http://lodestone.finalfantasyxiv.com/pl/guide/basis01.html,1993,0
the-game-screen,The Game Screen,interface,http://lodestone.finalfantasyxiv.com/pl/guide/gamescreen01.html,1828,44
menus,Menus,interface,http://lodestone.finalfantasyxiv.com/pl/guide/gamescreen02.html,1420,13
configuration,Configuration,interface,http://lodestone.finalfantasyxiv.com/pl/guide/config01.html,1656,1
text-commands-and-macros,Text Commands & Macros,interface,http://lodestone.finalfantasyxiv.com/pl/guide/macro01.html,3977,2
getting-around,Getting Around,travel,http://lodestone.finalfantasyxiv.com/pl/guide/transport01.html,1329,8
aetheryte,Aetheryte,travel,http://lodestone.finalfantasyxiv.com/pl/guide/aetheryte01.html,1089,4
classes-and-jobs,Classes and Jobs,classes,http://lodestone.finalfantasyxiv.com/pl/guide/armoury01.html,2168,29
actions-and-traits,"Actions, Traits, and Abilities",classes,http://lodestone.finalfantasyxiv.com/pl/guide/action01.html,744,12
battle-and-being-ko,Battle & Being KO'd,battle,http://lodestone.finalfantasyxiv.com/pl/guide/battle01.html,1961,9
effect-inducing-tactics,Effect-Inducing Tactics,battle,http://lodestone.finalfantasyxiv.com/pl/guide/battle02.html,896,4
means-of-communication,Means of Communication,social,http://lodestone.finalfantasyxiv.com/pl/guide/comm01.html,1094,4
parties,Parties,social,http://lodestone.finalfantasyxiv.com/pl/guide/comm02.html,817,7
search,Search,social,http://lodestone.finalfantasyxiv.com/pl/guide/pcsearch01.html,716,9
mining-and-quarrying,Mining & Quarrying,gathering,http://lodestone.finalfantasyxiv.com/pl/guide/gather01.html,658,6
logging-and-harvesting,Logging & Harvesting,gathering,http://lodestone.finalfantasyxiv.com/pl/guide/gather02.html,654,6
fishing-and-spearfishing,Fishing & Spearfishing,gathering,http://lodestone.finalfantasyxiv.com/pl/guide/gather03.html,839,6
synthesis,Synthesis,crafting,http://lodestone.finalfantasyxiv.com/pl/guide/craft01.html,1440,3
repair,Repair,crafting,http://lodestone.finalfantasyxiv.com/pl/guide/repair01.html,1006,16
materia,Materia,crafting,http://lodestone.finalfantasyxiv.com/pl/guide/materia01.html,2881,25
guildleves,Guildleves,content,http://lodestone.finalfantasyxiv.com/pl/guide/guildleve01.html,1275,6
quests,Quests,content,http://lodestone.finalfantasyxiv.com/pl/guide/growth01.html,673,1
hamlet-defense,Hamlet Defense,content,http://lodestone.finalfantasyxiv.com/pl/guide/hamletdef01.html,1427,13
inns,Inns,content,http://lodestone.finalfantasyxiv.com/pl/guide/inn01.html,1115,13
achievements-and-titles,Achievements & Titles,content,http://lodestone.finalfantasyxiv.com/pl/guide/achieve01.html,934,9
grand-company-guide,Grand Company Guide,grand-company,http://lodestone.finalfantasyxiv.com/pl/guide/cont01.html,3160,9
immortal-flames,Immortal Flames,grand-company,http://lodestone.finalfantasyxiv.com/pl/company/immortalflames/index.html,686,2
order-of-the-twin-adder,Order of the Twin Adder,grand-company,http://lodestone.finalfantasyxiv.com/pl/company/twinadder/index.html,819,1
maelstrom,Maelstrom,grand-company,http://lodestone.finalfantasyxiv.com/pl/company/maelstrom/index.html,828,1
grand-companies,The Grand Companies of Eorzea,grand-company,http://lodestone.finalfantasyxiv.com/pl/company/index.html,161,0
the-garlean-empire,The Garlean Empire,grand-company,http://lodestone.finalfantasyxiv.com/pl/company/empire/index.html,296,0
blogs-and-other-features,Blogs and Other Features,meta,http://lodestone.finalfantasyxiv.com/pl/guide/webcomm01.html,2518,52
fansites,Fansites,meta,http://lodestone.finalfantasyxiv.com/pl/community/index.html,496,0
