function,type_a,type_b,source_page
Confirm,Enter,Numpad 0,controlling-your-character
Cancel,Esc,Numpad . Backspace,controlling-your-character
Move anchor left,Directional Key (<-),Numpad 4,controlling-your-character
Move anchor up,Directional Key (up),Numpad 8,controlling-your-character
Move anchor right,Directional Key (->),Numpad 6,controlling-your-character
Move anchor down,Directional Key (down),Numpad 2,controlling-your-character
Scroll pages (when applicable),PageUp / PageDown,Numpad 9 / Numpad 3,controlling-your-character
Select right tab,Tab,Tab,controlling-your-character
Select left tab,Shift+Tab,Shift+Tab,controlling-your-character
Move character forward,W Numpad 8,W,controlling-your-character
Move character back,S Numpad 2,S,controlling-your-character
Move left (in third-person view) Turn left (in first-person view),A Numpad 4,A,controlling-your-character
Move right (in third-person view) Turn right (in first-person view),D Numpad 6,D,controlling-your-character
Move left (in third-person view) Strafe left (in first-person view),Q,Q,controlling-your-character
Move right (in third-person view) Strafe right (in first-person view),E,E,controlling-your-character
Toggle between walking modes,X Numpad 1,Z,controlling-your-character
Toggle auto-run on/off,R Numpad 7,R,controlling-your-character
Move camera up (in third-person view) Look up (in first-person view),I,Directional Key (up),controlling-your-character
Move camera down (in third-person view) Look down (in first-person view),K,Directional Key (down),controlling-your-character
Move camera right (in third-person view) Look right (in first-person view),L,Directional Key (->),controlling-your-character
Move camera left (in third-person view) Look left (in first-person view),J,Directional Key (<-),controlling-your-character
Zoom in camera,O Numpad 9,PageUp Numpad 9,controlling-your-character
Zoom out camera,P Numpad 3,PageDown Numpad 3,controlling-your-character
Toggle between camera modes,V Numpad 5,Home,controlling-your-character
Set camera to default position,End,End,controlling-your-character
Save current camera settings,Ctrl+End,Ctrl+End,controlling-your-character
Reset camera settings to system default,Ctrl+Shift+End,Ctrl+Shift+End,controlling-your-character
Change target,Tab Numpad 0,Tab,controlling-your-character
Target previous character,Shift+Tab,Shift+Tab,controlling-your-character
Target nearest (right),Directional Key (->),Numpad 6,controlling-your-character
Target nearest (left),Directional Key (<-),Numpad 4,controlling-your-character
Target next enemy,T,T,controlling-your-character
Target previous enemy,Shift+T,Shift+T,controlling-your-character
Target next engaged enemy,,,controlling-your-character
Target previous engaged enemy,,,controlling-your-character
Next target filter *1,Directional Key (down),Numpad 1,controlling-your-character
Previous target filter *1,Directional Key (up),Numpad 7,controlling-your-character
Lock on/off a target,C Numpad *,L,controlling-your-character
Face target,H,,controlling-your-character
Target self,F1,F1,controlling-your-character
Target party member 1,F2,F2,controlling-your-character
Target party member 2,F3,F3,controlling-your-character
Target party member 3,F4,F4,controlling-your-character
Target party member 4,F5,F5,controlling-your-character
Target party member 5,F6,F6,controlling-your-character
Target party member 6,F7,F7,controlling-your-character
Target party member 7,F8,F8,controlling-your-character
Target last enemy to attack you,F9,F9 F,controlling-your-character
Target nearest enemy,F10,F10,controlling-your-character
Target nearest PC,F11,F11,controlling-your-character
Target nearest NPC,F12,F12,controlling-your-character
Open/Close main menu,Home Numpad -,Esc Numpad -,controlling-your-character
Open Attributes interface,,N,controlling-your-character
Open Gear interface,,G,controlling-your-character
Open Actions & Traits interface,,K,controlling-your-character
Open Point Allotment interface,,K,controlling-your-character
Open Inventory interface,,I,controlling-your-character
Open Journal interface,,J,controlling-your-character
Open Achievements interface,,J,controlling-your-character
Open Search interface,,J,controlling-your-character
Open Party interface,,P,controlling-your-character
Open Social Lists interface,,Y,controlling-your-character
Open Linkshells interface,,,controlling-your-character
Open Retainer List interface,,B,controlling-your-character
Open/Close map,M,M,controlling-your-character
Open NPC Linkpearls interface,,,controlling-your-character
Open Teleport interface,,,controlling-your-character
Warp via Return command,,,controlling-your-character
Open Support Desk interface,,,controlling-your-character
Open Configuration interface,,U,controlling-your-character
Exit game or return to the Character Selection screen,,Ctrl+Esc,controlling-your-character
Open chat prompt,Spacebar,Enter,controlling-your-character
Open /say chat prompt *2,Ctrl+S,Ctrl+S,controlling-your-character
Open /shout chat prompt *2,Ctrl+H,Ctrl+H,controlling-your-character
Open /party chat prompt *2,Ctrl+P,Ctrl+P,controlling-your-character
Open /linkshell chat prompt *2,Ctrl+L,Ctrl+L,controlling-your-character
Open /tell chat prompt to last player to whom a /tell was sent *2,Ctrl+T,Ctrl+T,controlling-your-character
Open /tell chat prompt to last player from whom a /tell was received *2,Ctrl+R,Ctrl+R,controlling-your-character
Cycle action bar (next),Shift+Directional Key (down),,controlling-your-character
Cycle action bar (previous),Shift+Directional Key (up),,controlling-your-character
Begin synthesis/gathering,,,controlling-your-character
Browse target's bazaar,,,controlling-your-character
Examine target,,,controlling-your-character
Open Loot List tab,,,controlling-your-character
Toggle between active/passive mode,F,C,controlling-your-character
Open Emotes & Signs interface,N,,controlling-your-character
Open Use Item interface,U,,controlling-your-character
Target status effect,B,H,controlling-your-character
Mount/Dismount,,,controlling-your-character
UI Lock,,,controlling-your-character
Popup Help,,,controlling-your-character
Text command shortcut,/,/,controlling-your-character
Execute action bar commands,0 - 9,0 - 9,controlling-your-character
Execute macro (Ctrl),Ctrl+0-9,Ctrl+0-9,controlling-your-character
Execute macro (Alt),Alt+0-9,Alt+0-9,controlling-your-character
Capture screenshot,ScrollLock+PrintScreen,ScrollLock+PrintScreen,controlling-your-character
