gathering_class,catalyst,area,source_page
Miner,Carbonized Matter,Horizon's Edge,materia
Miner,Petrified Matter,Nophica's Wells,materia
Miner,Fossilized Matter,Dragonhead,materia
Miner,Crystallized Matter,Treespeak,materia
Botanist,Germinated Matter,Tranquil Paths,materia
Botanist,Decayed Matter,Humblehearth,materia
Botanist,Decomposed Matter,Iron Lake,materia
Botanist,Liquefied Matter,Halatali,materia
Fisher,Calcified Matter,Bloodshore,materia
Fisher,Cultured Matter,Cedarwood,materia
Fisher,Ossified Matter,Bald Knoll,materia
Fisher,Cretified Matter,Nine Ivies,materia
