scope,relative_event,is_anchor,lane_index,lane,direction,direction_event_index,frame_index,frame_stream_offset,subevent_index,subevent_offset,outer_timestamp_or_seq_hex,outer_value_delta,capture_packet_index,capture_delta_us,opcode,opcode_name,subevent_size,subevent_sha256
same-lane-s2c-window,-6,no,0,main,s2c,220,21,9097,0,0,a41e8bee3b010000,0,977,0,0x0144,SetActorSubStatePacket,40,0dda43a311db095c53224cc9a2ce1fa48ed54cfdbf8830011bff1eadd3465c6a
same-lane-s2c-window,-5,no,0,main,s2c,221,21,9097,1,40,a41e8bee3b010000,0,977,0,0x0179,SetActorStatusAllPacket,72,78e186133dec07460864f692c009fa32418e6bce0d9432cfc1703114bef8e20a
same-lane-s2c-window,-4,no,0,main,s2c,222,21,9097,2,112,a41e8bee3b010000,0,977,0,0x0145,SetActorIconPacket,40,17feb109d4e26218db99284e5fd8a9e689c171afd256b706c88892424fc6fb35
same-lane-s2c-window,-3,no,0,main,s2c,223,21,9097,3,152,a41e8bee3b010000,0,977,0,0x017B,SetActorIsZoningPacket,40,64321001ab41edbba51d723e9f0db4c2d22b1d920f364e92c37725f59ab4f1fa
same-lane-s2c-window,-2,no,0,main,s2c,224,21,9097,4,192,a41e8bee3b010000,0,977,0,0x00CC,ActorInstantiatePacket,296,4b20610d1ee4206c738b7c10d1d800ce21b4b6fb6a1d3eb9ac35b79d39c5be93
same-lane-s2c-window,-1,no,0,main,s2c,225,21,9097,5,488,a41e8bee3b010000,0,977,0,0x0137,SetActorPropetyPacket,168,eb29e09d07f98b17dc5383e51e8c14d0023160450799214c7952936f34e032d7
same-lane-s2c-window,0,yes,0,main,s2c,226,21,9097,6,656,a41e8bee3b010000,0,977,0,0x018A,_0x018A,136,5525cde8cf9851c96f50b1c4200e7b6c8cf04f2d99664b24515ad19677d36854
same-lane-s2c-window,1,no,0,main,s2c,227,21,9097,7,792,a41e8bee3b010000,0,977,0,0x0189,CreateNamedGroupMultiple,552,41f17aaac30b5c86ebac414a8e2905fadeb14e926b2335d2edab23861a176cc3
same-lane-s2c-window,2,no,0,main,s2c,228,21,9097,8,1344,a41e8bee3b010000,0,977,0,0x0136,SetEventStatusPacket,72,47ac8f7d4d0fbec7585469c3e2eabc8b27bac02e5aab8fa492b6affca69f52a8
same-lane-s2c-window,3,no,0,main,s2c,229,21,9097,9,1416,a41e8bee3b010000,0,977,0,0x0136,SetEventStatusPacket,72,e2d3501027c014a2e9224f41f42ba3166799eda1e72ba005c5a85f498f61e414
same-lane-s2c-window,4,no,0,main,s2c,230,21,9097,10,1488,a41e8bee3b010000,0,977,0,0x0136,SetEventStatusPacket,72,92d3e163ad8b4a7b27642e92f89ae10369748c0ab7821861712f03c045a9c132
same-lane-s2c-window,5,no,0,main,s2c,231,21,9097,11,1560,a41e8bee3b010000,0,977,0,0x0136,SetEventStatusPacket,72,5364f13598aa926d09f1a3bc6e577e59350b28b517fdfb7a51797ad3f1c86a35
same-lane-s2c-window,6,no,0,main,s2c,232,21,9097,12,1632,a41e8bee3b010000,0,977,0,0x0136,SetEventStatusPacket,72,d8a67ad574a51a3712633648d2bc3d16a8bd72c7d20eda3cf84f9798a94172b6
previous-c2s-frame,,no,0,main,c2s,11,7,680,0,0,ce1d8bee3b010000,-214,976,-107421,0x0007,ZoneInCompletePacket,40,3f9dfd4b4a209610f715d2b350bfcbe4ada155419a5beaa97a7210501d289f25
previous-c2s-frame,,no,0,main,c2s,12,7,680,1,40,ce1d8bee3b010000,-214,976,-107421,0x0007,ZoneInCompletePacket,40,8605e7ac8fad9a14965fe5ab4c4a237bcc5caed45048fc53b793d5c164fa2b75
previous-c2s-frame,,no,0,main,c2s,13,7,680,2,80,ce1d8bee3b010000,-214,976,-107421,0x0007,ZoneInCompletePacket,40,20e135cded0f746c80fb6a1aa74f30660ae7a1e6f247c0e0344ebba85895c0bc
following-c2s-frame,,no,0,main,c2s,14,8,816,0,0,3b1f8bee3b010000,151,981,257778,0x01CE,_0x01CEHandler,40,d00b7792f068832ada79afcfb4a22a7829c3281ca90b97533a58676a00c2a42e
following-c2s-frame,,no,0,main,c2s,15,8,816,1,40,3b1f8bee3b010000,151,981,257778,0x0007,ZoneInCompletePacket,40,12983955cb1f60bfea6650adc35510867eab5f443e5633535b97770aefba9207
following-c2s-frame,,no,0,main,c2s,16,8,816,2,80,3b1f8bee3b010000,151,981,257778,0x0001,PingPacket,56,b311a06950ddb1446ff75abc5fe606ac96247cb67518297795b2ee7456dcc7ff
