source_id,capture,channel,lane,direction,opcode,event_index,frame_index,frame_offset,body_offset,source_actor,subevent_size
pcap-1.23b,chat_say.pcapng,map,main,c2s,0x0003,22,9,0x5b8,0x40,0x029b2941,576
pcap-1.23b,chat_shout.pcapng,map,main,c2s,0x0003,18,7,0x460,0x78,0x029b2941,576
pcap-1.23b,party_battle_leve.pcapng,world,chat,c2s,0x00c9,4273,1805,0x4a3d8,0x0,0x029b2941,552
pcap-1.23b,party_battle_leve.pcapng,world,chat,c2s,0x00c9,4274,1807,0x4a638,0x0,0x029b2941,552
pcap-1.23b,party_battle_leve.pcapng,world,chat,c2s,0x00c9,4275,1809,0x4a898,0x0,0x029b2941,552
pcap-1.23b,party_battle_leve.pcapng,world,chat,c2s,0x00c9,4276,1812,0x4ab20,0x0,0x029b2941,552
pcap-1.23b,party_battle_leve.pcapng,world,chat,c2s,0x00c9,4277,1813,0x4ad58,0x0,0x029b2941,552
pcap-1.23b,party_battle_leve.pcapng,world,chat,c2s,0x00c9,4278,1814,0x4af90,0x0,0x029b2941,552
pcap-1.23b,party_battle_leve.pcapng,world,chat,c2s,0x00c9,4279,1818,0x4b240,0x0,0x029b2941,552
pcap-1.23b,party_battle_leve.pcapng,world,chat,c2s,0x00c9,4280,1822,0x4b4f0,0x0,0x029b2941,552
pcap-1.23b,party_battle_leve.pcapng,world,chat,c2s,0x00c9,4281,1823,0x4b728,0x0,0x029b2941,552
pcap-1.23b,war_quest_update2.pcapng,world,chat,c2s,0x00c9,407,206,0x73c0,0x0,0x029b2941,552
pcap-1.23b,war_quest_update2.pcapng,world,chat,c2s,0x00c9,408,207,0x75f8,0x0,0x029b2941,552
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13375,3477,0x69e0a,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13376,3478,0x6a062,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13377,3480,0x6a2e2,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13378,3481,0x6a53a,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13379,3483,0x6a7ba,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13380,3484,0x6aa12,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13381,3486,0x6ac92,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13382,3487,0x6aeea,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13383,3488,0x6b142,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13384,3490,0x6b3c2,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13385,3491,0x6b61a,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13386,3492,0x6b872,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13387,3493,0x6baca,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13388,3494,0x6bd22,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13389,3496,0x6bfa2,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13390,3498,0x6c222,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13391,3500,0x6c4a2,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13392,3502,0x6c722,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13393,3504,0x6c9a2,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13394,3505,0x6cbfa,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13395,3508,0x6cea2,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13396,3510,0x6d122,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13397,3511,0x6d37a,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13398,3513,0x6d5fa,0x0,0x029b27d3,584
pcap-1.23b,party_battle_leve.pcapng,world,chat,s2c,0x00c9,13399,3514,0x6d852,0x0,0x029b27d3,584
pcap-1.23b,war_quest_update2.pcapng,world,chat,s2c,0x00c9,1832,668,0x10e21,0x0,0x029b27d3,584
