anchor_index,capture,lane_index,lane,direction,opcode,relative_event,neighbor_direction_event_index,same_frame,frame_index,subevent_index,subevent_offset,subevent_type,neighbor_opcode,transport_source_actor_id_hex,transport_target_actor_id_hex,capture_delta_us,outer_value_delta
0,emote_dance.pcapng,0,main,s2c,0x00e1,-3,25,no,10,3,240,0x0003,0x00cf,0x47a0000c,0x029b2941,-1169379,-1161
0,emote_dance.pcapng,0,main,s2c,0x00e1,-2,26,no,10,4,320,0x0003,0x00cf,0x47a0000f,0x029b2941,-1169379,-1161
0,emote_dance.pcapng,0,main,s2c,0x00e1,-1,27,no,11,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-849524,-831
0,emote_dance.pcapng,0,main,s2c,0x00e1,1,29,no,13,0,0,0x0003,0x0001,0x029b2941,0x029b2941,397934,330
0,emote_dance.pcapng,0,main,s2c,0x00e1,2,30,no,14,0,0,0x0003,0x00cf,0x47a00006,0x029b2941,840099,850
0,emote_dance.pcapng,0,main,s2c,0x00e1,3,31,no,14,1,80,0x0003,0x00cf,0x47a00007,0x029b2941,840099,850
1,emote_kneel.pcapng,0,main,s2c,0x00e1,-3,17,no,5,4,320,0x0003,0x00cf,0x47a0000f,0x029b2941,-1179753,-1170
1,emote_kneel.pcapng,0,main,s2c,0x00e1,-2,18,no,6,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-911063,-1161
1,emote_kneel.pcapng,0,main,s2c,0x00e1,-1,19,no,7,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-430045,-421
1,emote_kneel.pcapng,0,main,s2c,0x00e1,1,21,no,9,0,0,0x0003,0x0001,0x029b2941,0x029b2941,630169,639
1,emote_kneel.pcapng,0,main,s2c,0x00e1,2,22,no,10,0,0,0x0003,0x00cf,0x47a00006,0x029b2941,898470,840
1,emote_kneel.pcapng,0,main,s2c,0x00e1,3,23,no,10,1,80,0x0003,0x00cf,0x47a00007,0x029b2941,898470,840
2,gear_changesoul.pcapng,0,main,s2c,0x00da,-3,24,no,12,0,0,0x0003,0x0137,0x029b2941,0x029b2941,-623556,-461
2,gear_changesoul.pcapng,0,main,s2c,0x00da,-2,25,no,12,1,168,0x0003,0x0001,0x029b2941,0x029b2941,-623556,-461
2,gear_changesoul.pcapng,0,main,s2c,0x00da,-1,26,no,13,0,0,0x0003,0x01a4,0x029b2941,0x029b2941,-284193,-116
2,gear_changesoul.pcapng,0,main,s2c,0x00da,1,28,yes,14,1,40,0x0003,0x015a,0x5ff80001,0x029b2941,0,0
2,gear_changesoul.pcapng,0,main,s2c,0x00da,2,29,yes,14,2,120,0x0003,0x0144,0x029b2941,0x029b2941,0,0
2,gear_changesoul.pcapng,0,main,s2c,0x00da,3,30,yes,14,3,160,0x0003,0x00d0,0x029b2941,0x029b2941,0,0
3,local_leve_complete.pcapng,0,main,s2c,0x00da,-3,80,no,26,9,720,0x0003,0x00cf,0x44b00c68,0x029b2941,-762060,-1043
3,local_leve_complete.pcapng,0,main,s2c,0x00da,-2,81,no,27,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-349949,-351
3,local_leve_complete.pcapng,0,main,s2c,0x00da,-1,82,yes,28,0,0,0x0003,0x0166,0x5ff80001,0x029b2941,0,0
3,local_leve_complete.pcapng,0,main,s2c,0x00da,1,84,yes,28,2,80,0x0003,0x0130,0x029b2941,0x029b2941,0,0
3,local_leve_complete.pcapng,0,main,s2c,0x00da,2,85,no,29,0,0,0x0003,0x0137,0x029b2941,0x029b2941,314401,96
3,local_leve_complete.pcapng,0,main,s2c,0x00da,3,86,no,30,0,0,0x0003,0x0131,0x029b2941,0x029b2941,662781,467
4,local_leve_complete.pcapng,0,main,s2c,0x00da,-3,2222,yes,502,2,128,0x0003,0x0169,0x5ff80001,0x029b2941,0,0
4,local_leve_complete.pcapng,0,main,s2c,0x00da,-2,2223,yes,502,3,200,0x0003,0x0167,0x5ff80001,0x029b2941,0,0
4,local_leve_complete.pcapng,0,main,s2c,0x00da,-1,2224,yes,502,4,256,0x0003,0x0139,0x029b2941,0x029b2941,0,0
4,local_leve_complete.pcapng,0,main,s2c,0x00da,1,2226,yes,502,6,384,0x0003,0x0167,0x5ff80001,0x029b2941,0,0
4,local_leve_complete.pcapng,0,main,s2c,0x00da,2,2227,yes,502,7,440,0x0003,0x0169,0x5ff80001,0x029b2941,0,0
4,local_leve_complete.pcapng,0,main,s2c,0x00da,3,2228,yes,502,8,512,0x0003,0x0169,0x5ff80001,0x029b2941,0,0
5,local_leve_complete.pcapng,0,main,s2c,0x00da,-3,2228,yes,502,8,512,0x0003,0x0169,0x5ff80001,0x029b2941,0,0
5,local_leve_complete.pcapng,0,main,s2c,0x00da,-2,2229,yes,502,9,584,0x0003,0x0167,0x5ff80001,0x029b2941,0,0
5,local_leve_complete.pcapng,0,main,s2c,0x00da,-1,2230,yes,502,10,640,0x0003,0x0133,0x029b2941,0x029b2941,0,0
5,local_leve_complete.pcapng,0,main,s2c,0x00da,1,2232,yes,502,12,904,0x0003,0x0130,0x029b2941,0x029b2941,0,0
5,local_leve_complete.pcapng,0,main,s2c,0x00da,2,2233,no,503,0,0,0x0003,0x0137,0x029b2941,0x029b2941,0,30
5,local_leve_complete.pcapng,0,main,s2c,0x00da,3,2234,no,504,0,0,0x0003,0x00cf,0x44b00005,0x029b2941,408716,460
6,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,123,no,48,7,560,0x0003,0x00cf,0x451004f2,0x029b2941,-243653,-46
6,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,124,no,48,8,640,0x0003,0x00cf,0x451004f1,0x029b2941,-243653,-46
6,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,125,no,48,9,720,0x0003,0x00cf,0x451000bb,0x029b2941,-243653,-46
6,party_battle_leve.pcapng,0,main,s2c,0x00da,1,127,yes,49,1,40,0x0003,0x0168,0x5ff80001,0x029b2941,0,0
6,party_battle_leve.pcapng,0,main,s2c,0x00da,2,128,yes,49,2,96,0x0003,0x0168,0x5ff80001,0x029b2941,0,0
6,party_battle_leve.pcapng,0,main,s2c,0x00da,3,129,no,50,0,0,0x0003,0x00ca,0x45100d44,0x029b2941,0,75
7,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,1148,no,305,0,0,0x0003,0x00cb,0x45100530,0x029b2941,0,-69
7,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,1149,yes,306,0,0,0x0003,0x0133,0x029b2941,0x029b2941,0,0
7,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,1150,yes,306,1,224,0x0003,0x0169,0x5ff80001,0x029b2941,0,0
7,party_battle_leve.pcapng,0,main,s2c,0x00da,1,1152,no,307,0,0,0x0003,0x0137,0x029b27d3,0x029b2941,362910,344
7,party_battle_leve.pcapng,0,main,s2c,0x00da,2,1153,no,308,0,0,0x0003,0x0001,0x029b2941,0x029b2941,728548,570
7,party_battle_leve.pcapng,0,main,s2c,0x00da,3,1154,no,309,0,0,0x0003,0x00d2,0x029b27d3,0x029b2941,728548,604
8,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,1275,no,340,2,120,0x0003,0x00cf,0x029b27d3,0x029b2941,0,-20
8,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,1276,yes,341,0,0,0x0003,0x0133,0x029b2941,0x029b2941,0,0
8,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,1277,yes,341,1,224,0x0003,0x0169,0x5ff80001,0x029b2941,0,0
8,party_battle_leve.pcapng,0,main,s2c,0x00da,1,1279,yes,341,3,336,0x0003,0x00cb,0x451004f0,0x029b2941,0,0
8,party_battle_leve.pcapng,0,main,s2c,0x00da,2,1280,no,342,0,0,0x0003,0x00ca,0x45100021,0x029b2941,0,181
8,party_battle_leve.pcapng,0,main,s2c,0x00da,3,1281,no,342,1,40,0x0003,0x012e,0x45100021,0x029b2941,0,181
9,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,1375,no,366,8,640,0x0003,0x00cf,0x45100d2a,0x029b2941,0,-91
9,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,1376,no,366,9,720,0x0003,0x00cf,0x451004f2,0x029b2941,0,-91
9,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,1377,no,367,0,0,0x0003,0x0001,0x029b2941,0x029b2941,0,-57
9,party_battle_leve.pcapng,0,main,s2c,0x00da,1,1379,no,369,0,0,0x0003,0x00cb,0x45100d2a,0x029b2941,0,20
9,party_battle_leve.pcapng,0,main,s2c,0x00da,2,1380,no,370,0,0,0x0003,0x00cf,0x029b27d3,0x029b2941,364793,159
9,party_battle_leve.pcapng,0,main,s2c,0x00da,3,1381,no,371,0,0,0x0003,0x018b,0x029b2941,0x029b2941,364793,243
10,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,2679,no,760,1,40,0x0003,0x0001,0x029b2941,0x029b2941,0,-97
10,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,2680,yes,761,0,0,0x0003,0x0133,0x029b2941,0x029b2941,0,0
10,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,2681,yes,761,1,224,0x0003,0x0169,0x5ff80001,0x029b2941,0,0
10,party_battle_leve.pcapng,0,main,s2c,0x00da,1,2683,no,762,0,0,0x0003,0x00cf,0x45100405,0x029b2941,0,109
10,party_battle_leve.pcapng,0,main,s2c,0x00da,2,2684,no,762,1,80,0x0003,0x00cf,0x45100d43,0x029b2941,0,109
10,party_battle_leve.pcapng,0,main,s2c,0x00da,3,2685,no,762,2,160,0x0003,0x00cf,0x4510000a,0x029b2941,0,109
11,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,3980,no,1104,2,120,0x0003,0x00cf,0x029b27d3,0x029b2941,0,-91
11,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,3981,yes,1105,0,0,0x0003,0x0133,0x029b2941,0x029b2941,0,0
11,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,3982,yes,1105,1,224,0x0003,0x0169,0x5ff80001,0x029b2941,0,0
11,party_battle_leve.pcapng,0,main,s2c,0x00da,1,3984,no,1106,0,0,0x0003,0x018d,0x029b2941,0x029b2941,363183,205
11,party_battle_leve.pcapng,0,main,s2c,0x00da,2,3985,no,1107,0,0,0x0003,0x018b,0x029b2941,0x029b2941,363183,249
11,party_battle_leve.pcapng,0,main,s2c,0x00da,3,3986,no,1107,1,88,0x0003,0x00cf,0x029b27d3,0x029b2941,363183,249
12,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,4840,no,1355,0,0,0x0003,0x00cf,0x029b27d3,0x029b2941,-265591,-18
12,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,4841,no,1355,1,80,0x0003,0x00d2,0x029b27d3,0x029b2941,-265591,-18
12,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,4842,no,1355,2,120,0x0003,0x00cf,0x029b27d3,0x029b2941,-265591,-18
12,party_battle_leve.pcapng,0,main,s2c,0x00da,1,4844,no,1357,0,0,0x0003,0x00cf,0x029b27d3,0x029b2941,0,222
12,party_battle_leve.pcapng,0,main,s2c,0x00da,2,4845,no,1358,0,0,0x0003,0x0001,0x029b2941,0x029b2941,363762,352
12,party_battle_leve.pcapng,0,main,s2c,0x00da,3,4846,no,1359,0,0,0x0003,0x017c,0x029b2941,0x029b2941,363762,438
13,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,6591,no,1825,0,0,0x0003,0x00cf,0x029b27d3,0x029b2941,0,-115
13,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,6592,no,1825,1,80,0x0003,0x00d2,0x029b27d3,0x029b2941,0,-115
13,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,6593,no,1825,2,120,0x0003,0x00cf,0x029b27d3,0x029b2941,0,-115
13,party_battle_leve.pcapng,0,main,s2c,0x00da,1,6595,no,1827,0,0,0x0003,0x00cf,0x45100c42,0x029b2941,334421,215
13,party_battle_leve.pcapng,0,main,s2c,0x00da,2,6596,no,1827,1,80,0x0003,0x00cf,0x45100d4c,0x029b2941,334421,215
13,party_battle_leve.pcapng,0,main,s2c,0x00da,3,6597,no,1827,2,160,0x0003,0x00cf,0x45100d54,0x029b2941,334421,215
14,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,7566,yes,2050,0,0,0x0003,0x0167,0x5ff80001,0x029b2941,0,0
14,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,7567,yes,2050,1,56,0x0003,0x0169,0x5ff80001,0x029b2941,0,0
14,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,7568,yes,2050,2,128,0x0003,0x0169,0x5ff80001,0x029b2941,0,0
14,party_battle_leve.pcapng,0,main,s2c,0x00da,1,7570,yes,2050,4,240,0x0003,0x0137,0x029b2941,0x029b2941,0,0
14,party_battle_leve.pcapng,0,main,s2c,0x00da,2,7571,no,2051,0,0,0x0003,0x00cf,0x029b27d3,0x029b2941,363352,229
14,party_battle_leve.pcapng,0,main,s2c,0x00da,3,7572,no,2052,0,0,0x0003,0x0001,0x029b2941,0x029b2941,363352,349
15,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,8275,no,2259,0,0,0x0003,0x0137,0x029b27d3,0x029b2941,0,-20
15,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,8276,no,2260,0,0,0x0003,0x00d3,0x029b27d3,0x029b2941,0,-7
15,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,8277,no,2260,1,40,0x0003,0x00d2,0x029b27d3,0x029b2941,0,-7
15,party_battle_leve.pcapng,0,main,s2c,0x00da,1,8279,no,2262,0,0,0x0003,0x00d2,0x029b27d3,0x029b2941,498870,703
15,party_battle_leve.pcapng,0,main,s2c,0x00da,2,8280,no,2262,1,40,0x0003,0x00d3,0x029b27d3,0x029b2941,498870,703
15,party_battle_leve.pcapng,0,main,s2c,0x00da,3,8281,no,2262,2,80,0x0003,0x0001,0x029b2941,0x029b2941,498870,703
16,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,8330,no,2278,3,200,0x0003,0x018b,0x029b2941,0x029b2941,0,-40
16,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,8331,yes,2279,0,0,0x0003,0x0133,0x029b2941,0x029b2941,0,0
16,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,8332,yes,2279,1,224,0x0003,0x0169,0x5ff80001,0x029b2941,0,0
16,party_battle_leve.pcapng,0,main,s2c,0x00da,1,8334,no,2280,0,0,0x0003,0x0001,0x029b2941,0x029b2941,365801,233
16,party_battle_leve.pcapng,0,main,s2c,0x00da,2,8335,no,2281,0,0,0x0003,0x00cf,0x029b27d3,0x029b2941,365801,313
16,party_battle_leve.pcapng,0,main,s2c,0x00da,3,8336,no,2282,0,0,0x0003,0x0137,0x45100d44,0x029b2941,365801,390
17,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,10452,no,2799,0,0,0x0003,0x00d2,0x029b27d3,0x029b2941,0,-57
17,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,10453,no,2799,1,40,0x0003,0x0001,0x029b2941,0x029b2941,0,-57
17,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,10454,no,2800,0,0,0x0003,0x0137,0x029b27d3,0x029b2941,0,-17
17,party_battle_leve.pcapng,0,main,s2c,0x00da,1,10456,no,2802,0,0,0x0003,0x0137,0x029b2941,0x029b2941,366304,429
17,party_battle_leve.pcapng,0,main,s2c,0x00da,2,10457,no,2803,0,0,0x0003,0x0177,0x029b27d3,0x029b2941,366304,581
17,party_battle_leve.pcapng,0,main,s2c,0x00da,3,10458,no,2804,0,0,0x0003,0x00d2,0x029b27d3,0x029b2941,729655,593
18,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,10648,no,2858,2,120,0x0003,0x00cf,0x029b27d3,0x029b2941,0,-90
18,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,10649,yes,2859,0,0,0x0003,0x0133,0x029b2941,0x029b2941,0,0
18,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,10650,yes,2859,1,224,0x0003,0x0169,0x5ff80001,0x029b2941,0,0
18,party_battle_leve.pcapng,0,main,s2c,0x00da,1,10652,no,2860,0,0,0x0003,0x017a,0x029b2941,0x029b2941,335877,133
18,party_battle_leve.pcapng,0,main,s2c,0x00da,2,10653,no,2861,0,0,0x0003,0x00cf,0x45100d47,0x029b2941,335877,210
18,party_battle_leve.pcapng,0,main,s2c,0x00da,3,10654,no,2861,1,80,0x0003,0x00cf,0x4510000a,0x029b2941,335877,210
19,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,12816,no,3348,1,40,0x0003,0x00d3,0x029b27d3,0x029b2941,-730835,-636
19,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,12817,no,3349,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-366255,-416
19,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,12818,no,3350,0,0,0x0003,0x000c,0x029b2941,0x029b2941,0,-97
19,party_battle_leve.pcapng,0,main,s2c,0x00da,1,12820,yes,3351,1,40,0x0003,0x00da,0x45100d5a,0x029b2941,0,0
19,party_battle_leve.pcapng,0,main,s2c,0x00da,2,12821,no,3352,0,0,0x0003,0x0134,0x029b2941,0x029b2941,0,50
19,party_battle_leve.pcapng,0,main,s2c,0x00da,3,12822,no,3352,1,40,0x0003,0x0139,0x029b2941,0x029b2941,0,50
20,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,12817,no,3349,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-366255,-416
20,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,12818,no,3350,0,0,0x0003,0x000c,0x029b2941,0x029b2941,0,-97
20,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,12819,yes,3351,0,0,0x0003,0x00da,0x029b2941,0x029b2941,0,0
20,party_battle_leve.pcapng,0,main,s2c,0x00da,1,12821,no,3352,0,0,0x0003,0x0134,0x029b2941,0x029b2941,0,50
20,party_battle_leve.pcapng,0,main,s2c,0x00da,2,12822,no,3352,1,40,0x0003,0x0139,0x029b2941,0x029b2941,0,50
20,party_battle_leve.pcapng,0,main,s2c,0x00da,3,12823,no,3352,2,128,0x0003,0x0131,0x029b2941,0x029b2941,0,50
21,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,12992,no,3411,7,648,0x0003,0x00cf,0x45100d31,0x029b2941,-929458,-930
21,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,12993,no,3411,8,728,0x0003,0x0137,0x029b2941,0x029b2941,-929458,-930
21,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,12994,no,3412,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-339904,-337
21,party_battle_leve.pcapng,0,main,s2c,0x00da,1,12996,no,3414,0,0,0x0003,0x0001,0x029b2941,0x029b2941,700524,703
21,party_battle_leve.pcapng,0,main,s2c,0x00da,2,12997,no,3415,0,0,0x0003,0x00d3,0x029b2941,0x029b2941,1050091,1055
21,party_battle_leve.pcapng,0,main,s2c,0x00da,3,12998,no,3416,0,0,0x0003,0x00cf,0x4510000a,0x029b2941,1340447,1139
22,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,13008,no,3420,0,0,0x0003,0x0130,0x029b2941,0x029b2941,-666303,-609
22,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,13009,no,3421,0,0,0x0003,0x0137,0x029b2941,0x029b2941,-666303,-530
22,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,13010,no,3422,0,0,0x0003,0x0137,0x029b27d3,0x029b2941,-334328,-190
22,party_battle_leve.pcapng,0,main,s2c,0x00da,1,13012,no,3424,0,0,0x0003,0x0001,0x029b2941,0x029b2941,0,21
22,party_battle_leve.pcapng,0,main,s2c,0x00da,2,13013,no,3425,0,0,0x0003,0x0137,0x029b27d3,0x029b2941,0,230
22,party_battle_leve.pcapng,0,main,s2c,0x00da,3,13014,no,3426,0,0,0x0003,0x00cf,0x4510000a,0x029b2941,423294,700
23,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,13025,no,3428,3,224,0x0003,0x0147,0x029b2941,0x029b2941,-393940,-12
23,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,13026,no,3428,4,264,0x0003,0x016e,0x029b2941,0x029b2941,-393940,-12
23,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,13027,yes,3429,0,0,0x0003,0x0167,0x5ff80001,0x029b2941,0,0
23,party_battle_leve.pcapng,0,main,s2c,0x00da,1,13029,yes,3429,2,96,0x0003,0x0130,0x029b2941,0x029b2941,0,0
23,party_battle_leve.pcapng,0,main,s2c,0x00da,2,13030,no,3430,0,0,0x0003,0x0137,0x029b2941,0x029b2941,0,336
23,party_battle_leve.pcapng,0,main,s2c,0x00da,3,13031,no,3431,0,0,0x0003,0x018b,0x029b2941,0x029b2941,396023,437
24,party_battle_leve.pcapng,0,main,s2c,0x00da,-3,13049,no,3437,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-1160455,-1155
24,party_battle_leve.pcapng,0,main,s2c,0x00da,-2,13050,no,3438,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-380872,-381
24,party_battle_leve.pcapng,0,main,s2c,0x00da,-1,13051,yes,3439,0,0,0x0003,0x0166,0x5ff80001,0x029b2941,0,0
24,party_battle_leve.pcapng,0,main,s2c,0x00da,1,13053,yes,3439,2,80,0x0003,0x018d,0x029b2941,0x029b2941,0,0
24,party_battle_leve.pcapng,0,main,s2c,0x00da,2,13054,no,3440,0,0,0x0003,0x0137,0x029b2941,0x029b2941,242074,86
24,party_battle_leve.pcapng,0,main,s2c,0x00da,3,13055,no,3440,1,168,0x0003,0x0137,0x029b2941,0x029b2941,242074,86
25,return_to_inn.pcapng,0,main,s2c,0x00da,-3,9,no,4,2,160,0x0003,0x00cf,0x467000aa,0x029b2941,-890183,-880
25,return_to_inn.pcapng,0,main,s2c,0x00da,-2,10,no,4,3,240,0x0003,0x00cf,0x46700039,0x029b2941,-890183,-880
25,return_to_inn.pcapng,0,main,s2c,0x00da,-1,11,no,5,0,0,0x0003,0x0001,0x029b2941,0x029b2941,-319773,-318
25,return_to_inn.pcapng,0,main,s2c,0x00da,1,13,yes,6,1,40,0x0003,0x0130,0x029b2941,0x029b2941,0,0
25,return_to_inn.pcapng,0,main,s2c,0x00da,2,14,no,7,0,0,0x0003,0x0001,0x029b2941,0x029b2941,749762,750
25,return_to_inn.pcapng,0,main,s2c,0x00da,3,15,no,8,0,0,0x0003,0x00cf,0x46700082,0x029b2941,1149903,1160
26,return_to_inn.pcapng,0,main,s2c,0x00da,-3,24,no,12,2,160,0x0003,0x00cf,0x467000aa,0x029b2941,-835267,-840
26,return_to_inn.pcapng,0,main,s2c,0x00da,-2,25,no,12,3,240,0x0003,0x00cf,0x46700039,0x029b2941,-835267,-840
