capture,lane_index,lane,direction,direction_event_index,frame_index,frame_stream_offset,capture_packet_index,capture_timestamp_utc,outer_timestamp_or_seq_hex,outer_frame_size,inflated_frame_body_size,subevent_index,subevent_offset,subevent_size,subevent_type,transport_source_actor_id_hex,transport_target_actor_id_hex,transport_counter_hex,inner_header_word0,opcode,inner_reserved_hex,inner_body_size,inner_body_hex,inner_payload_size,game_message_preamble_hex,preamble_word0_u32_hex,preamble_word1_u32_hex,application_size,application_hex,application_u16_le,application_u32_le,inner_body_sha256
emote_dance.pcapng,0,main,s2c,28,12,1020,81,2012-12-31T01:48:01.282909Z,52e2a4ee3b010000,59,48,0,0,48,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00e1,00000000,32,1400e10000000000d1eee0500000000000b0000541299b026e52000000000000,24,d1eee05000000000,0x50e0eed1,0x00000000,16,00b0000541299b026e52000000000000,0xb000 0x0500 0x2941 0x029b 0x526e 0x0000 0x0000 0x0000,0x0500b000 0x029b2941 0x0000526e 0x00000000,55a71ac2162e02d9dfae5eab37648c12d8dc15693021e297042eca63f8f616c0
emote_kneel.pcapng,0,main,s2c,20,8,707,41,2012-12-31T01:47:32.873227Z,6273a4ee3b010000,59,48,0,0,48,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00e1,00000000,32,1400e10000000000b5eee050000000000030010541299b02be52000000000000,24,b5eee05000000000,0x50e0eeb5,0x00000000,16,0030010541299b02be52000000000000,0x3000 0x0501 0x2941 0x029b 0x52be 0x0000 0x0000 0x0000,0x05013000 0x029b2941 0x000052be 0x00000000,5614af4969fd29c582ef2b9ad71075ea2d2b300934da35c07668906d93c8d8dd
gear_changesoul.pcapng,0,main,s2c,27,14,1182,69,2012-12-31T01:53:49.045266Z,2b30aaee3b010000,557,1592,0,0,40,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da00000000002df0e050000000002900000400000000,16,2df0e05000000000,0x50e0f02d,0x00000000,8,2900000400000000,0x0029 0x0400 0x0000 0x0000,0x04000029 0x00000000,a86c6eca83e1b28aa81ce63acd7ad06ba64428b73ab7b4d19ccb7c2806c0a431
local_leve_complete.pcapng,0,main,s2c,83,28,3316,89,2012-12-31T02:48:38.796814Z,6e63dcee3b010000,156,256,1,40,40,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da000000000007fde050000000008586000b00000000,16,07fde05000000000,0x50e0fd07,0x00000000,8,8586000b00000000,0x8685 0x0b00 0x0000 0x0000,0x0b008685 0x00000000,9471cb57f4cb7eccfa8314b4642811261850375a43b674b9ef1b7994f3a70d79
local_leve_complete.pcapng,0,main,s2c,2225,502,67643,1751,2012-12-31T02:51:53.854874Z,205ddfee3b010000,310,1080,5,344,40,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da0000000000cafde050000000000200000200000000,16,cafde05000000000,0x50e0fdca,0x00000000,8,0200000200000000,0x0002 0x0200 0x0000 0x0000,0x02000002 0x00000000,162e4e5573d2684e50a74afeb2d210c5be347e0a1a5e0a556f1e0868bf65a5fd
local_leve_complete.pcapng,0,main,s2c,2231,502,67643,1751,2012-12-31T02:51:53.854874Z,205ddfee3b010000,310,1080,11,864,40,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da0000000000cafde05000000000de0b000400000000,16,cafde05000000000,0x50e0fdca,0x00000000,8,de0b000400000000,0x0bde 0x0400 0x0000 0x0000,0x04000bde 0x00000000,87ae7de6fb49542a6bb981bef903fca29c35d06e4c9d62e0eb03ede916da0ba4
party_battle_leve.pcapng,0,main,s2c,126,49,5514,118,2012-12-31T04:58:01.393560Z,55d552ef3b010000,94,152,0,0,40,0x0003,0x029b2941,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da0000000000591be150000000008581000b00000000,16,591be15000000000,0x50e11b59,0x00000000,8,8581000b00000000,0x8185 0x0b00 0x0000 0x0000,0x0b008185 0x00000000,206dc04b1f9620715dbbf42b89004433183acf95190337751f768e9a1853278d
party_battle_leve.pcapng,0,main,s2c,1151,306,41556,500,2012-12-31T04:58:46.999731Z,f18753ef3b010000,127,336,2,296,40,0x0003,0x45100d46,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da0000000000871be1500000000000900c0400000000,16,871be15000000000,0x50e11b87,0x00000000,8,00900c0400000000,0x9000 0x040c 0x0000 0x0000,0x040c9000 0x00000000,289c392db10f59257f8031045548c2bc1235ddd9e4036b0ce15f985903cce816
party_battle_leve.pcapng,0,main,s2c,1278,341,46181,548,2012-12-31T04:58:52.379785Z,739c53ef3b010000,134,376,2,296,40,0x0003,0x45100d49,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da00000000008c1be1500000000000900c0400000000,16,8c1be15000000000,0x50e11b8c,0x00000000,8,00900c0400000000,0x9000 0x040c 0x0000 0x0000,0x040c9000 0x00000000,b5b88e027e38f538ea19736be3cde2ae64ad2ab6a6f96fff4e1655d9dce61a37
party_battle_leve.pcapng,0,main,s2c,1378,368,49798,574,2012-12-31T04:58:56.724557Z,a4ad53ef3b010000,55,40,0,0,40,0x0003,0x45100d4d,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da0000000000901be1500000000000900c0400000000,16,901be15000000000,0x50e11b90,0x00000000,8,00900c0400000000,0x9000 0x040c 0x0000 0x0000,0x040c9000 0x00000000,aa5f56b65245a8b770a8c1d236fca90e4c7366d31df29767db69c34d3abbdd75
party_battle_leve.pcapng,0,main,s2c,2682,761,94887,1063,2012-12-31T04:59:59.817656Z,2ba454ef3b010000,127,336,2,296,40,0x0003,0x45100d4b,0x029b2941,0xfed2e000,20,0x00da,00000000,24,1400da0000000000cf1be1500000000000900c0400000000,16,cf1be15000000000,0x50e11bcf,0x00000000,8,00900c0400000000,0x9000 0x040c 0x0000 0x0000,0x040c9000 0x00000000,06cb0e40c2fff57e83be7dc15c1b90acaadec76a56a601c07c6b3b912e6d305b
