span_id,capture,lane_index,lane,begin_frame,begin_subevent,end_frame,end_subevent,record_count,first_record_frame,first_record_subevent,last_record_frame,last_record_subevent,prior_same_lane_opcode,next_same_lane_opcode,intervening_non_target_opcodes,inventory_frame_overlap,equipment_carrier_overlap,change_frame_overlap
span-001,combat_autoattack.pcapng,0,main,95,0,101,26,200,95,1,101,25,0x0001,0x018d,,no,no,no
span-002,combat_autoattack.pcapng,0,main,128,1,134,26,200,128,2,134,25,0x000c,0x017a,,no,no,no
span-003,combat_skills.pcapng,0,main,85,1,91,26,200,85,2,91,25,0x000c,0x0137,,no,no,no
span-004,gather_wood.pcapng,0,main,225,0,231,25,199,225,1,231,24,0x0130,0x0144,,no,no,no
span-005,harvest.pcapng,0,main,25,0,31,24,198,25,1,31,23,0x016e,0x0001,,no,no,no
span-006,harvest.pcapng,0,main,72,5,78,26,198,72,6,78,25,0x016e,0x0144,,no,no,no
span-007,local_leve_complete.pcapng,0,main,184,0,190,23,197,184,1,190,22,0x0001,0x0169,,no,no,no
span-008,local_leve_complete.pcapng,0,main,350,0,356,23,197,350,1,356,22,0x0139,0x0169,,no,no,no
span-009,local_leve_complete.pcapng,0,main,454,0,461,3,197,454,1,461,2,0x0139,0x0169,,no,no,no
span-010,party_battle_leve.pcapng,0,main,595,0,601,25,199,595,1,601,24,0x0001,0x0137,,no,no,no
span-011,party_battle_leve.pcapng,0,main,733,0,739,25,199,733,1,739,24,0x0137,0x0137,,no,no,no
span-012,party_battle_leve.pcapng,0,main,938,0,944,25,199,938,1,944,24,0x018b,0x00cf,,no,no,no
span-013,party_battle_leve.pcapng,0,main,1572,0,1578,25,199,1572,1,1578,24,0x0001,0x0137,,no,no,no
span-014,party_battle_leve.pcapng,0,main,1717,1,1723,26,199,1717,2,1723,25,0x0137,0x0137,,no,no,no
span-015,party_battle_leve.pcapng,0,main,1740,0,1746,25,199,1740,1,1746,24,0x0177,0x0139,,no,no,no
span-016,party_battle_leve.pcapng,0,main,2027,0,2033,25,199,2027,1,2033,24,0x00cf,0x00ca,,no,no,no
span-017,party_battle_leve.pcapng,0,main,2223,0,2229,25,199,2223,1,2229,24,0x0001,0x0137,,no,no,no
span-018,party_battle_leve.pcapng,0,main,2477,0,2483,25,199,2477,1,2483,24,0x00cf,0x0001,,no,no,no
span-019,party_battle_leve.pcapng,0,main,2518,1,2524,26,199,2518,2,2524,25,0x0137,0x00ca,,no,no,no
span-020,party_battle_leve.pcapng,0,main,2695,0,2701,25,199,2695,1,2701,24,0x00cf,0x0137,,no,no,no
span-021,party_battle_leve.pcapng,0,main,2762,0,2768,25,199,2762,1,2768,24,0x0001,0x0137,,no,no,no
span-022,party_battle_leve.pcapng,0,main,3041,0,3047,25,199,3041,1,3047,24,0x0001,0x0139,,no,no,no
span-023,party_battle_leve.pcapng,0,main,3063,0,3069,25,199,3063,1,3069,24,0x018b,0x0137,,no,no,no
span-024,party_battle_leve.pcapng,0,main,3185,0,3191,25,199,3185,1,3191,24,0x0001,0x00cf,,no,no,no
span-025,party_battle_leve.pcapng,0,main,3312,0,3318,25,199,3312,1,3318,24,0x00d3,0x00db,,no,no,no
span-026,party_battle_leve.pcapng,0,main,3337,0,3343,25,199,3337,1,3343,24,0x017a,0x0001,,no,no,no
span-027,repair_items.pcapng,0,main,69,0,75,26,200,69,1,75,25,0x0001,0x0144,,no,no,no
span-028,war_quest_update2.pcapng,0,main,230,8,237,1,200,230,9,237,0,0x0195,0x0195,,no,no,no
