occurrence,capture,lane_index,relative_event,neighbor_direction_event_index,same_frame,neighbor_frame_index,neighbor_subevent_index,neighbor_opcode,neighbor_capture_delta_us,neighbor_clock_minus_anchor_clock
1,gridania_to_coerthas.pcapng,0,-3,6546,no,1296,0,0x00cf,-828828,-1
1,gridania_to_coerthas.pcapng,0,-2,6547,no,1297,0,0x018d,-469589,0
1,gridania_to_coerthas.pcapng,0,-1,6548,yes,1298,0,0x0001,0,0
1,gridania_to_coerthas.pcapng,0,1,6550,yes,1298,2,0x00e2,0,0
1,gridania_to_coerthas.pcapng,0,2,6551,no,1299,0,0x00cb,260705,0
1,gridania_to_coerthas.pcapng,0,3,6552,no,1299,1,0x00cb,260705,0
2,move_out_of_room.pcapng,0,-3,21,no,8,4,0x00cf,-1070000,-1
2,move_out_of_room.pcapng,0,-2,22,no,9,0,0x0137,-783562,-1
2,move_out_of_room.pcapng,0,-1,23,no,10,0,0x0001,-320618,-1
2,move_out_of_room.pcapng,0,1,25,no,12,0,0x0131,331602,0
2,move_out_of_room.pcapng,0,2,26,no,12,1,0x00e2,331602,0
2,move_out_of_room.pcapng,0,3,27,no,13,0,0x0001,646771,0
3,party_battle_leve.pcapng,0,-3,13069,no,3446,1,0x017d,0,-1
3,party_battle_leve.pcapng,0,-2,13070,no,3446,2,0x017f,0,-1
3,party_battle_leve.pcapng,0,-1,13071,no,3446,3,0x017e,0,-1
3,party_battle_leve.pcapng,0,1,13073,no,3448,0,0x000c,273020,0
3,party_battle_leve.pcapng,0,2,13074,no,3448,1,0x00de,273020,0
3,party_battle_leve.pcapng,0,3,13075,no,3448,2,0x0143,273020,0
4,return_to_inn.pcapng,0,-3,31,no,16,2,0x00cf,-811759,-1
4,return_to_inn.pcapng,0,-2,32,no,16,3,0x00cf,-811759,-1
4,return_to_inn.pcapng,0,-1,33,no,17,0,0x0001,-408550,-1
4,return_to_inn.pcapng,0,1,35,yes,18,1,0x0193,0,0
4,return_to_inn.pcapng,0,2,36,no,19,0,0x0166,373306,0
4,return_to_inn.pcapng,0,3,37,no,19,1,0x0131,373306,0
5,return_to_inn.pcapng,0,-3,32,no,16,3,0x00cf,-811759,-1
5,return_to_inn.pcapng,0,-2,33,no,17,0,0x0001,-408550,-1
5,return_to_inn.pcapng,0,-1,34,yes,18,0,0x0193,0,0
5,return_to_inn.pcapng,0,1,36,no,19,0,0x0166,373306,0
5,return_to_inn.pcapng,0,2,37,no,19,1,0x0131,373306,0
5,return_to_inn.pcapng,0,3,38,no,20,0,0x00e2,373306,0
6,teleport_to_camp_nine_ivies.pcapng,0,-3,81,no,51,2,0x00cf,-987814,-1
6,teleport_to_camp_nine_ivies.pcapng,0,-2,82,no,52,0,0x00cf,-637893,-1
6,teleport_to_camp_nine_ivies.pcapng,0,-1,83,no,53,0,0x0001,-373915,-1
6,teleport_to_camp_nine_ivies.pcapng,0,1,85,no,55,0,0x0166,0,0
6,teleport_to_camp_nine_ivies.pcapng,0,2,86,no,55,1,0x0131,0,0
6,teleport_to_camp_nine_ivies.pcapng,0,3,87,no,55,2,0x00e2,0,0
7,teleport_to_camp_tranquil.pcapng,0,-3,26,no,24,0,0x00da,-1747166,-2
7,teleport_to_camp_tranquil.pcapng,0,-2,27,no,25,0,0x0001,-900036,-1
7,teleport_to_camp_tranquil.pcapng,0,-1,28,no,26,0,0x018d,-655295,-1
7,teleport_to_camp_tranquil.pcapng,0,1,30,no,28,0,0x0166,398081,0
7,teleport_to_camp_tranquil.pcapng,0,2,31,no,28,1,0x0131,398081,0
7,teleport_to_camp_tranquil.pcapng,0,3,32,no,28,2,0x00e2,398081,0
8,teleport_to_gridania.pcapng,0,-3,114,no,33,8,0x00cf,-1506925,-2
8,teleport_to_gridania.pcapng,0,-2,115,no,33,9,0x00cf,-1506925,-2
8,teleport_to_gridania.pcapng,0,-1,116,no,34,0,0x0001,-1040088,-1
8,teleport_to_gridania.pcapng,0,1,118,no,36,0,0x0001,247637,0
8,teleport_to_gridania.pcapng,0,2,119,no,36,1,0x0166,247637,0
8,teleport_to_gridania.pcapng,0,3,120,no,36,2,0x0131,247637,0
9,war_quest_update2.pcapng,0,-3,1433,no,630,1,0x00cf,-789905,-1
9,war_quest_update2.pcapng,0,-2,1434,no,631,0,0x00ce,-394376,0
9,war_quest_update2.pcapng,0,-1,1435,no,631,1,0x00cf,-394376,0
9,war_quest_update2.pcapng,0,1,1437,yes,632,1,0x0143,0,0
9,war_quest_update2.pcapng,0,2,1438,yes,632,2,0x0143,0,0
9,war_quest_update2.pcapng,0,3,1439,no,633,0,0x0137,0,0
