pool_id,pool_name,source,actor_class_id,display_name_id,base_model_id,identity_pair_catalog_count,catalog_class_path,configured_class_path,retail_observation_count,retail_class_paths,verdict,adoption_path
31,amateur_footpad,lower_la_noscea_observations,2280101,3280101,1,1,,/Chara/Npc/Monster/Fighter/FighterEnemyPugilistStandard,0,,unresolved,
32,amateur_highwayman,lower_la_noscea_observations,2280103,3280103,1,1,,/Chara/Npc/Monster/Fighter/FighterEnemyGladiatorStandard,0,,unresolved,
33,amateur_raider,lower_la_noscea_observations,2280105,3280105,1,1,,/Chara/Npc/Monster/Fighter/FighterEnemyMarauderStandard,0,,unresolved,
34,black_crow_archer,lower_la_noscea_observations,2180215,3180221,7,2,,/Chara/Npc/Monster/Pirate/PirateArcherStandard,0,,unresolved,
35,black_crow_cleaver,lower_la_noscea_observations,2180217,3180222,7,2,,/Chara/Npc/Monster/Pirate/PirateMarauderStandard,0,,unresolved,
36,black_crow_swashbuckler,lower_la_noscea_observations,2180214,3180220,7,2,,/Chara/Npc/Monster/Pirate/PirateGladiatorStandard,0,,unresolved,
37,dire_rat,lower_la_noscea_observations,2104004,3104004,10502,1,/Chara/Npc/Monster/Lemming/LemmingStandard,,0,,catalog_only,/Chara/Npc/Monster/Lemming/LemmingStandard
38,diremite,mor_dhona_observations,2101102,3101102,10017,1,,/Chara/Npc/Monster/Spider/SpiderFemaleStandard,0,,unresolved,
39,dodo,lower_la_noscea_observations,2102001,3102001,10032,1,/Chara/Npc/Monster/Dodo/DodoLesserStandard,,0,,catalog_only,/Chara/Npc/Monster/Dodo/DodoLesserStandard
40,evil_eye,mor_dhona_observations,2101703,3101703,10029,1,,/Chara/Npc/Monster/Ahriman/AhrimanNormalStandard,0,,unresolved,
41,giant_crab,lower_la_noscea_observations,2107601,3107601,10013,1,,/Chara/Npc/Monster/Crab/CrabNormalStandard,0,,unresolved,
42,goblin_bouncer,mor_dhona_observations,2110305,3110305,10912,1,,/Chara/Npc/Monster/Goblin/GoblinBommerglaStandard,0,,unresolved,
43,headrip_ogre,mor_dhona_observations,2102504,3102504,10037,1,,/Chara/Npc/Monster/Ogre/OgreLesserStandard,0,,unresolved,
44,hoverfly_swarm,lower_la_noscea_observations,2105307,3105307,10509,1,,/Chara/Npc/Monster/Fly/FlyStandard,0,,unresolved,
