actor_class_id,pool_name,era_family,decoded_race_name,catalog_class_path,configured_class_path,runtime_class_paths
2280101,amateur_footpad,Enemy Humanoid,,,/Chara/Npc/Monster/Fighter/FighterEnemyPugilistStandard,
2280103,amateur_highwayman,Enemy Humanoid,,,/Chara/Npc/Monster/Fighter/FighterEnemyGladiatorStandard,
2280105,amateur_raider,Enemy Humanoid,,,/Chara/Npc/Monster/Fighter/FighterEnemyMarauderStandard,
2180215,black_crow_archer,,,,/Chara/Npc/Monster/Pirate/PirateArcherStandard,
2180217,black_crow_cleaver,Enemy Humanoid,,,/Chara/Npc/Monster/Pirate/PirateMarauderStandard,
2180214,black_crow_swashbuckler,Enemy Humanoid,,,/Chara/Npc/Monster/Pirate/PirateGladiatorStandard,
2104004,dire_rat,Rodent,Rat,/Chara/Npc/Monster/Lemming/LemmingStandard,,
2101102,diremite,Diremite,Crab,,/Chara/Npc/Monster/Spider/SpiderFemaleStandard,
2102001,dodo,Cockatrice,Cockatrice,/Chara/Npc/Monster/Dodo/DodoLesserStandard,,
2101703,evil_eye,Ahriman,Ahriman,,/Chara/Npc/Monster/Ahriman/AhrimanNormalStandard,
2107601,giant_crab,Crab,Crab,,/Chara/Npc/Monster/Crab/CrabNormalStandard,
2110305,goblin_bouncer,Goblin,Goblin,,/Chara/Npc/Monster/Goblin/GoblinBommerglaStandard,
2102504,headrip_ogre,Ogre,Ogre,,/Chara/Npc/Monster/Ogre/OgreLesserStandard,
2105307,hoverfly_swarm,Swarm,Swarm,,/Chara/Npc/Monster/Fly/FlyStandard,
2104109,hunter_kalong,Bat,Bat,,/Chara/Npc/Monster/Bat/BatYellowStandard,
2180017,imperial_sagittarius,,,,/Chara/Npc/Monster/Empire/EmpireArcherStandard,
2107602,island_crab,Crab,Crab,,/Chara/Npc/Monster/Crab/CrabLesserStandard,
2205401,jellyfish,Aurelia,Jellyfish,,/Chara/Npc/Monster/Jellyfish/JellyfishLesserStandard,
2106637,kobold_ascetic,Kobold,Kobold,,/Chara/Npc/Monster/Goblin/GoblinBommerglaStandard,
2106628,kobold_pickman,Kobold,Kobold,,/Chara/Npc/Monster/Goblin/GoblinBommerglaStandard,
2103904,ladybug,Beetle,Weevil,/Chara/Npc/Monster/Bug/LadyBugStandard,,
2106002,lost_ewe,Ram,Sheep,,/Chara/Npc/Monster/Sheep/SheepStandard,
2100705,mountain_peiste,Basilisk,Basilisk,,/Chara/Npc/Monster/ScaleLizard/ScaleLizardStandard,
2102717,musk_roseling,Landtrap,Flytrap,/Chara/Npc/Monster/Flower/FlowerStandard,,
2202701,ocean_roseling,Landtrap,Flytrap,,/Chara/Npc/Monster/Flower/FlowerPoisonousStandard,
2204002,pack_rat,Rodent,Rat,,/Chara/Npc/Monster/Lemming/LemmingStandard,
2104003,plains_rat,Rodent,Rat,/Chara/Npc/Monster/Lemming/LemmingStandard,,
