region,marker_order,label_raw,parsed_candidates,level_text,level_min,level_max,amount_text,amount_min,amount_max,amount_approximation,map_x,map_y,coordinates,coordinate_x,coordinate_y,coordinate_note,aggression_marker,snapshot_url,original_url,shared_slot_verdict
Coerthas,1,Fledgling Apkallu,"[""Fledgling Apkallu""]",33-36,33,36,~12,12,12,approximate,2687.5,-1625,"53.25,32",53.25,32,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,2,Brutal Sheep,"[""Brutal Sheep""]",40-42,40,42,~12,12,12,approximate,2800,-1600,"55.5,31.5",55.5,31.5,,0,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,3,Hippocerf,"[""Hippocerf""]",37-39,37,39,~12,12,12,approximate,2900,-1500,"57.5,29.5",57.5,29.5,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,4,Brutal Sheep,"[""Brutal Sheep""]",40-42,40,42,~12,12,12,approximate,2750,-1800,"54.5,35.5",54.5,35.5,,0,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,5,Fledgling Apkallu,"[""Fledgling Apkallu""]",37-39,37,39,~12,12,12,approximate,2625,-1750,"52,34.5",52,34.5,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,6,Brutal Sheep,"[""Brutal Sheep""]",40-42,40,42,~12,12,12,approximate,2625,-1675,"52,33",52,33,,0,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,7,Hippocerf,"[""Hippocerf""]",30-32,30,32,~12,12,12,approximate,2662.5,-1537.5,"52.75,30.25",52.75,30.25,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,8,Hippocerf,"[""Hippocerf""]",33-36,33,36,~12,12,12,approximate,2587.5,-1625,"51.25,32",51.25,32,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,9,Fledgling Apkallu,"[""Fledgling Apkallu""]",30-32,30,32,~12,12,12,approximate,2750,-1475,"54.5,29",54.5,29,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,10,Hippocerf,"[""Hippocerf""]",30-32,30,32,~12,12,12,approximate,2500,-1612.5,"49.5,31.75",49.5,31.75,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,11,Hippocerf,"[""Hippocerf""]",37-39,37,39,~12,12,12,approximate,2425,-1575,"48,31",48,31,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,12,Fledgling Apkallu,"[""Fledgling Apkallu""]",33-36,33,36,~12,12,12,approximate,2462.5,-1500,"48.75,29.5",48.75,29.5,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,13,Ixali Boldwing/Swordfighter/Fogcaller/Swiftbeak,"[""Ixali Boldwing"",""Swordfighter"",""Fogcaller"",""Swiftbeak""]",37-39,37,39,~12,12,12,approximate,2400,-1600,"47.5,31.5",47.5,31.5,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,unresolved_shared_slot
Coerthas,14,Brutal Sheep,"[""Brutal Sheep""]",40-42,40,42,~12,12,12,approximate,2462.5,-1637.5,"48.75,32.25",48.75,32.25,,0,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,15,Ixali Boldwing/Swordfighter/Fogcaller/Swiftbeak,"[""Ixali Boldwing"",""Swordfighter"",""Fogcaller"",""Swiftbeak""]",37-39,37,39,~8,8,8,approximate,2462.5,-1687.5,"48.75,33.25",48.75,33.25,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,unresolved_shared_slot
Coerthas,16,Lumber Toad,"[""Lumber Toad""]",30-32,30,32,~12,12,12,approximate,2550,-1700,"50.5,33.5",50.5,33.5,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,single_label
Coerthas,17,Ixali Boldwing/Swordfighter/Fogcaller/Swiftbeak,"[""Ixali Boldwing"",""Swordfighter"",""Fogcaller"",""Swiftbeak""]",33-36,33,36,~8,8,8,approximate,2575,-1762.5,"51,34.75",51,34.75,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,unresolved_shared_slot
Coerthas,18,Ixali Boldwing/Swordfighter/Fogcaller/Swiftbeak,"[""Ixali Boldwing"",""Swordfighter"",""Fogcaller"",""Swiftbeak""]",37-39,37,39,~12,12,12,approximate,2275,-1675,"45,33",45,33,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,unresolved_shared_slot
Coerthas,19,Ixali Bravewing/Fencer/Fatecaller/Strongbeak,"[""Ixali Bravewing"",""Fencer"",""Fatecaller"",""Strongbeak""]",47-49,47,49,~8,8,8,approximate,2050,-1175,"40.5,23",40.5,23,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,unresolved_shared_slot
Coerthas,20,Ixali Bravewing/Fencer/Fatecaller/Strongbeak,"[""Ixali Bravewing"",""Fencer"",""Fatecaller"",""Strongbeak""]",43-46,43,46,~8,8,8,approximate,2050,-1125,"40.5,22",40.5,22,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,unresolved_shared_slot
Coerthas,21,Ixali Bravewing/Fencer/Fatecaller/Strongbeak,"[""Ixali Bravewing"",""Fencer"",""Fatecaller"",""Strongbeak""]",40-42,40,42,~8,8,8,approximate,1925,-1075,"38,21",38,21,,1,https://web.archive.org/web/20120602044520/http://mooglebox.com/coerthas/index.php,http://www.mooglebox.com/coerthas/index.php,unresolved_shared_slot
