source_ordinal,observation_id,created_at,zone,canonical_zone_name,client_zone_name,zone_identity_status,category,category_basis,subject_type,subject_name,subject_identity_status,profile_id,map_bounds,position,rotation,notes,placement_claim_status
4,cffdee6f-d82a-46b6-92d7-49495acc1e3f,2026-09-16T03:28:48.5118592Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[-46.40143585205078,45.11766815185547,118.58069610595703]",-2.343773365020752,Bumble Beetle spawn,observation-only; home/slot/respawn unresolved
5,5b05f18f-0383-4352-b252-2a6e84aecd32,2026-09-16T03:29:00.4076975Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[-57.769195556640625,46.195213317871094,121.2761001586914]",-1.331313133239746,Bumble Beetle spawn,observation-only; home/slot/respawn unresolved
6,d1875f1f-54cf-4fe7-9aa7-2d640f58de3c,2026-09-16T03:29:12.0718146Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[-64.57601165771484,46.5,127.77388763427734]",-0.8070235252380371,Bumble Beetle spawn,observation-only; home/slot/respawn unresolved
7,21e0c4b6-ab7b-405c-a907-c0f10e7a717c,2026-09-16T03:29:30.9916793Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[-1.6111063957214355,45.47751235961914,86.36520385742188]",2.941579818725586,Bumble Beetle spawn,observation-only; home/slot/respawn unresolved
8,4bc6250e-f4b6-4f67-8b38-9d8f611b8d81,2026-09-16T03:29:40.4877386Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[0.6212533712387085,46.79794692993164,75.31285095214844]",2.842224597930908,Bumble Beetle spawn,observation-only; home/slot/respawn unresolved
9,b782d046-153b-47b1-982f-8549f0d11f3f,2026-09-16T03:29:59.9438152Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[33.70640182495117,44.108856201171875,59.973052978515625]",1.8577665090560913,Bumble Beetle spawn,observation-only; home/slot/respawn unresolved
10,661d9140-39b1-4729-8c72-1aae5fc9952b,2026-09-16T03:30:07.9598761Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[37.043643951416016,45.19593048095703,50.151126861572266]",2.850924015045166,Bumble Beetle spawn,observation-only; home/slot/respawn unresolved
11,a16d7f92-3052-45f6-9f8e-d5d145f3a483,2026-09-16T03:30:16.7679006Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Bumble Beetle,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[28.419410705566406,44.2087287902832,57.674007415771484]",-0.8667173385620117,Bumble Beetle spawn,observation-only; home/slot/respawn unresolved
12,98abbf8d-c773-489b-91f2-0578a80e9e4c,2026-09-16T03:35:58.5677334Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Kobold Pickman,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1105.796875,29.637296676635742,-990.1943969726562]",-0.9043693542480469,Kobold Pickman spawm,observation-only; home/slot/respawn unresolved
13,9640a5ca-c343-48e0-b994-07c802a36f54,2026-09-16T03:36:08.7841441Z,128,Lower La Noscea,unresolved,unresolved,ambient,remaining overworld monster ambient candidate,monster,Kobold Pickman,unresolved,profile-29e7368b41e51dd7,"[-2528.0,-3008.0,2080.0,1600.0]","[1081.9290771484375,27.251508712768555,-992.2750244140625]",-1.6102585792541504,Kobold Pickman spawn,observation-only; home/slot/respawn unresolved
