occurrence,capture,record_index,field_u32_00,field_u32_08,field_u32_0c,field_f32_14,field_f32_18,field_f32_1c,hypothesis_f32_20_unprojected
occurrence-001,accept_leve.pcapng,0,value-001,value-005,value-006,59.9616966,4,-1204.78613,-1.27599955
occurrence-002,accept_leve.pcapng,0,value-001,value-005,value-006,59.9616966,4,-1204.78613,-1.27599955
occurrence-003,accept_leve.pcapng,0,value-001,value-005,value-006,59.9616966,4,-1204.78613,-1.27599955
occurrence-004,accept_leve.pcapng,0,value-001,value-005,value-006,59.9616966,4,-1204.78613,-1.27599955
occurrence-005,accept_leve.pcapng,0,value-001,value-005,value-006,59.9616966,4,-1204.78613,-1.27599955
occurrence-006,accept_leve.pcapng,0,value-001,value-005,value-006,59.9616966,4,-1204.78613,-1.27599955
occurrence-007,accept_local_leve.pcapng,0,value-001,value-005,value-006,59.5802917,4,-1205.6958,-1.84860277
occurrence-008,accept_local_leve.pcapng,0,value-001,value-005,value-006,59.5802917,4,-1205.6958,-1.84860277
occurrence-009,accept_local_leve.pcapng,0,value-001,value-005,value-006,59.5802917,4,-1205.6958,-1.84860277
occurrence-010,accept_local_leve.pcapng,0,value-001,value-005,value-006,59.5802917,4,-1205.6958,-1.84860277
occurrence-011,accept_local_leve.pcapng,0,value-001,value-005,value-006,59.5802917,4,-1205.6958,-1.84860277
occurrence-012,accept_quest.pcapng,0,value-001,value-005,value-006,67.6306458,-6.99999809,-1207.82458,1.52462757
occurrence-013,accept_quest.pcapng,0,value-001,value-005,value-006,67.6306458,-6.99999809,-1207.82458,1.52462757
occurrence-014,accept_quest.pcapng,0,value-001,value-005,value-006,67.6306458,-6.99999809,-1207.82458,1.52462757
occurrence-015,accept_quest.pcapng,0,value-001,value-005,value-006,67.6306458,-6.99999809,-1207.82458,1.52462757
occurrence-016,add_str.pcapng,0,value-001,value-005,value-006,1823.60938,149.472565,1728.02478,-2.35400939
occurrence-017,add_str.pcapng,0,value-001,value-005,value-006,1823.60938,149.472565,1728.02478,-2.35400939
occurrence-018,battle_mode_passive_mode.pcapng,0,value-001,value-005,value-006,822.815369,0.922718287,1092.52087,1.74839211
occurrence-019,buy_square_maple_shield.pcapng,0,value-001,value-005,value-006,58.1691322,4,-1209.35168,-2.66340685
occurrence-020,buy_square_maple_shield.pcapng,0,value-001,value-005,value-006,58.1691322,4,-1209.35168,-2.66340685
occurrence-021,buy_square_maple_shield.pcapng,0,value-001,value-005,value-006,58.1691322,4,-1209.35168,-2.66340685
occurrence-022,buy_square_maple_shield.pcapng,0,value-001,value-005,value-006,58.1691322,4,-1209.35168,-2.66340685
occurrence-023,buy_square_maple_shield.pcapng,0,value-001,value-005,value-006,58.1691322,4,-1209.35168,-2.66340685
occurrence-024,buy_square_maple_shield.pcapng,0,value-001,value-005,value-006,58.1691322,4,-1209.35168,-2.66340685
occurrence-025,change_to_botanist.pcapng,0,value-001,value-005,value-006,283.415131,4.1421175,-550.660095,-2.24736404
occurrence-026,change_to_botanist.pcapng,0,value-001,value-005,value-006,283.415131,4.1421175,-550.660095,-2.24736404
occurrence-027,change_to_botanist.pcapng,0,value-001,value-005,value-006,283.415131,4.1421175,-550.660095,-2.24736404
occurrence-028,change_to_botanist.pcapng,0,value-001,value-005,value-006,283.415131,4.1421175,-550.660095,-2.24736404
occurrence-029,change_to_botanist.pcapng,0,value-001,value-005,value-006,283.415131,4.1421175,-550.660095,-2.24736404
occurrence-030,chat_say.pcapng,0,value-001,value-005,value-006,1823.60938,149.472565,1728.02478,-2.35400939
occurrence-031,chat_shout.pcapng,0,value-001,value-005,value-006,1823.60938,149.472565,1728.02478,-2.35400939
occurrence-032,coerthas_map.pcapng,0,value-001,value-005,value-006,1823.60938,149.472565,1728.02478,-2.35400939
occurrence-033,coerthas_map.pcapng,0,value-001,value-005,value-006,1823.60938,149.472565,1728.02478,-2.35400939
occurrence-034,combat_autoattack.pcapng,0,value-001,value-005,value-006,822.815369,0.922718287,1092.52087,1.74839211
occurrence-035,combat_autoattack.pcapng,0,value-001,value-005,value-006,821.0896,0.325347126,1087.85291,-2.82472205
occurrence-036,combat_autoattack.pcapng,0,value-001,value-005,value-006,821.0896,0.325347126,1087.85291,-2.82472205
occurrence-037,combat_autoattack.pcapng,0,value-001,value-005,value-006,821.0896,0.325347126,1087.85291,-2.82472205
occurrence-038,combat_autoattack.pcapng,0,value-001,value-005,value-006,821.0896,0.325347126,1087.85291,-2.82472205
occurrence-039,combat_autoattack.pcapng,0,value-001,value-005,value-006,816.789734,-0.854764223,1074.62659,-2.82741475
occurrence-040,combat_autoattack.pcapng,0,value-001,value-005,value-006,819.868164,-0.245251611,1084.10046,-2.82741284
occurrence-041,combat_autoattack.pcapng,0,value-001,value-005,value-006,818.737,-0.74556309,1080.62036,-2.82745934
occurrence-042,combat_skills.pcapng,0,value-001,value-005,value-006,819.18512,-0.846734643,1079.60986,2.72414064
occurrence-043,combat_skills.pcapng,0,value-001,value-005,value-006,822.597229,-0.029163003,1066.44092,2.7121141
occurrence-044,combat_skills.pcapng,0,value-001,value-005,value-006,822.597229,-0.029163003,1066.44092,2.7121141
occurrence-045,combat_skills.pcapng,0,value-001,value-005,value-006,822.597229,-0.029163003,1066.44092,2.7121141
