occurrence,capture,lane_index,lane,relative_event,neighbor_lane_event_index,same_frame,neighbor_opcode,zone_transition,actor_lifecycle,group_update,group_layout_018b,setup_0193
occurrence-001,accept_leve.pcapng,0,main,-5,23,no,0x00cf,no,no,no,no,no
occurrence-001,accept_leve.pcapng,0,main,-4,24,no,0x00cf,no,no,no,no,no
occurrence-001,accept_leve.pcapng,0,main,-3,25,no,0x00cf,no,no,no,no,no
occurrence-001,accept_leve.pcapng,0,main,-2,26,no,0x0001,no,no,no,no,no
occurrence-001,accept_leve.pcapng,0,main,-1,27,no,0x00d3,no,no,no,no,no
occurrence-001,accept_leve.pcapng,0,main,1,29,no,0x00d2,no,no,no,no,no
occurrence-001,accept_leve.pcapng,0,main,2,30,no,0x0130,no,no,no,no,no
occurrence-001,accept_leve.pcapng,0,main,3,31,no,0x0001,no,no,no,no,no
occurrence-001,accept_leve.pcapng,0,main,4,32,no,0x00cf,no,no,no,no,no
occurrence-001,accept_leve.pcapng,0,main,5,33,no,0x00cf,no,no,no,no,no
occurrence-002,accept_leve.pcapng,0,main,-5,52,no,0x00cf,no,no,no,no,no
occurrence-002,accept_leve.pcapng,0,main,-4,53,no,0x00cf,no,no,no,no,no
occurrence-002,accept_leve.pcapng,0,main,-3,54,no,0x00cf,no,no,no,no,no
occurrence-002,accept_leve.pcapng,0,main,-2,55,no,0x0001,no,no,no,no,no
occurrence-002,accept_leve.pcapng,0,main,-1,56,no,0x0001,no,no,no,no,no
occurrence-002,accept_leve.pcapng,0,main,1,58,no,0x00cf,no,no,no,no,no
occurrence-002,accept_leve.pcapng,0,main,2,59,no,0x00cf,no,no,no,no,no
occurrence-002,accept_leve.pcapng,0,main,3,60,no,0x00cf,no,no,no,no,no
occurrence-002,accept_leve.pcapng,0,main,4,61,no,0x00cf,no,no,no,no,no
occurrence-002,accept_leve.pcapng,0,main,5,62,no,0x00cf,no,no,no,no,no
occurrence-003,accept_leve.pcapng,0,main,-5,90,no,0x00cf,no,no,no,no,no
occurrence-003,accept_leve.pcapng,0,main,-4,91,no,0x00cf,no,no,no,no,no
occurrence-003,accept_leve.pcapng,0,main,-3,92,no,0x00cf,no,no,no,no,no
occurrence-003,accept_leve.pcapng,0,main,-2,93,no,0x00cf,no,no,no,no,no
occurrence-003,accept_leve.pcapng,0,main,-1,94,no,0x0001,no,no,no,no,no
occurrence-003,accept_leve.pcapng,0,main,1,96,no,0x0161,no,no,no,no,no
occurrence-003,accept_leve.pcapng,0,main,2,97,no,0x0130,no,no,no,no,no
occurrence-003,accept_leve.pcapng,0,main,3,98,no,0x0001,no,no,no,no,no
occurrence-003,accept_leve.pcapng,0,main,4,99,no,0x00cf,no,no,no,no,no
occurrence-003,accept_leve.pcapng,0,main,5,100,no,0x00cf,no,no,no,no,no
occurrence-004,accept_leve.pcapng,0,main,-5,123,no,0x00cf,no,no,no,no,no
occurrence-004,accept_leve.pcapng,0,main,-4,124,no,0x0001,no,no,no,no,no
occurrence-004,accept_leve.pcapng,0,main,-3,125,no,0x0001,no,no,no,no,no
occurrence-004,accept_leve.pcapng,0,main,-2,126,no,0x0167,no,no,no,no,no
occurrence-004,accept_leve.pcapng,0,main,-1,127,no,0x0130,no,no,no,no,no
occurrence-004,accept_leve.pcapng,0,main,1,129,no,0x0001,no,no,no,no,no
occurrence-004,accept_leve.pcapng,0,main,2,130,no,0x00cf,no,no,no,no,no
occurrence-004,accept_leve.pcapng,0,main,3,131,no,0x00cf,no,no,no,no,no
occurrence-004,accept_leve.pcapng,0,main,4,132,no,0x00cf,no,no,no,no,no
occurrence-004,accept_leve.pcapng,0,main,5,133,no,0x00cf,no,no,no,no,no
occurrence-005,accept_leve.pcapng,0,main,-5,166,no,0x00cf,no,no,no,no,no
occurrence-005,accept_leve.pcapng,0,main,-4,167,no,0x00cf,no,no,no,no,no
occurrence-005,accept_leve.pcapng,0,main,-3,168,no,0x00cf,no,no,no,no,no
occurrence-005,accept_leve.pcapng,0,main,-2,169,no,0x00cf,no,no,no,no,no
occurrence-005,accept_leve.pcapng,0,main,-1,170,no,0x00cf,no,no,no,no,no
